,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,147,164,83,247,15,0,14,-50,344,-700,-27,-38,-765,-1,541,540,0,0,-119,13,434,13,0,-119
2022-09-30,297,164,12,176,30,0,13,95,568,-602,-48,-36,-686,4,214,218,0,0,-120,27,125,7,0,-120
2022-06-30,218,163,22,185,-153,0,-109,-361,42,-571,-235,-29,-835,798,99,897,8,8,-119,8,794,1,0,-119
2022-03-31,158.00000,158.00000,-72.00000,86.00000,-6.00000,,26.00000,-90.00000,154.00000,184.00000,-5.00000,-20.00000,159.00000,6.00000,-263.00000,-257.00000,-8.00000,-8.00000,-109.00000,21.00000,-353.00000,-40.00000,,-109.00000
2021-12-31,645,160,-628,-468,29,0,43,235,412,-87,-57,-39,-183,3,-101,-98,0,0,-110,15,-193,36,0,-110
2021-09-30,278,161,65,226,-45,0,-12,5,509,-453,-39,-27,-519,5,79,84,0,0,-109,31,6,-4,0,-109
2021-06-30,207,158,33,191,-84,0,-21,-57,341,-410,-36,-25,-471,761,-510,251,11,11,-109,-18,135,5,0,-109
2021-03-31,133.00000,157.00000,-14.00000,143.00000,26.00000,,-66.00000,-97.00000,179.00000,-342.00000,-3.00000,-18.00000,-363.00000,-523.00000,334.00000,-189.00000,-11.00000,-11.00000,-100.00000,7.00000,-293.00000,-477.00000,,-100.00000
2020-12-31,145,153,48,201,24,17,53,92,438,-508,-76,-31,-615,8,237,245,-6,-6,-99,14,154,-23,0,-99
2020-09-30,264,154,89,243,-67,-17,6,-50,457,-444,-19,-25,-488,-13,125,112,4,4,-100,9,25,-6,0,-100
2020-06-30,176,152,45,197,-50,0,-35,-22,351,-462,-19,-27,-508,780,-506,274,7,7,-100,-8,173,16,0,-100
2020-03-31,124.00000,145.00000,25.00000,170.00000,-4.00000,,-19.00000,-114.00000,180.00000,-406.00000,-21.00000,-23.00000,-450.00000,717.00000,139.00000,856.00000,-5.00000,-5.00000,-90.00000,7.00000,768.00000,498.00000,,-90.00000
2019-12-31,98,152,125,277,29,16,-48,63,438,-508,-150,-33,-691,-3,313,310,2,2,-90,6,228,-25,0,-90
2019-09-30,240,144,72,216,-14,-16,-8,9,465,-402,-5,-30,-437,0,77,77,7,7,-90,7,1,29,0,-90
2019-06-30,170,142,36,178,-45,0,-31,-36,312,-385,-58,-23,-466,1048,-805,243,7,7,-91,-4,155,1,0,-91
2019-03-31,113.00000,144.00000,13.00000,157.00000,5.00000,,-20.00000,-102.00000,168.00000,-311.00000,-22.00000,-18.00000,-351.00000,-10.00000,237.00000,227.00000,-37.00000,-37.00000,-82.00000,2.00000,110.00000,-73.00000,,-82.00000
2018-12-31,112,141,91,232,70,-17,-51,50,394,-448,-17,-26,-491,-183,401,218,8,8,-82,-4,140,43,0,-82
2018-09-30,185,141,111,252,-29,0,28,30,467,-371,-4,-21,-396,1119,-1087,32,2,2,-82,-4,-52,19,0,-82
2018-06-30,162,134,74,208,-61,0,-22,-64,306,-374,-369,-20,-763,-108,468,360,190,190,-81,3,472,15,0,-81
2018-03-31,106.00000,129.00000,32.00000,161.00000,20.00000,,5.00000,-48.00000,219.00000,-358.00000,-8.00000,-20.00000,-386.00000,4.00000,278.00000,282.00000,-46.00000,-46.00000,-74.00000,4.00000,166.00000,-1.00000,,-74.00000
2017-12-31,-1,114,241,355,55,0,-40,75,429,-464,-167,-25,-656,-515,801,286,-6,-6,-74,-18,188,-39,0,-74
2017-09-30,203,128,112,240,-31,0,60,53,496,-357,-1,-23,-381,1000,-1014,-14,5,5,-74,-3,-86,29,0,-74
2017-06-30,131,126,60,186,-54,0,-42,-70,247,-328,-7,-15,-350,18,137,155,6,6,-74,4,91,-12,0,-74
2017-03-31,93.00000,124.00000,65.00000,189.00000,51.00000,,16.00000,-5.00000,277.00000,-270.00000,-2.00000,-13.00000,-285.00000,-4.00000,131.00000,127.00000,-44.00000,-44.00000,-67.00000,-2.00000,14.00000,6.00000,,-67.00000
2016-12-31,101,120,82,202,52,0,113,41,344,-379,-175,-22,-576,427,-101,326,-9,-9,-67,8,258,26,0,-67
2016-09-30,148,119,91,210,-70,0,-41,51,409,-328,-5,-16,-349,-7,1,-6,4,4,-67,3,-66,-6,0,-67
2016-06-30,137,115,96,211,-62,0,-17,-72,276,-312,-2,-28,-342,0,110,110,5,5,-66,3,52,-14,0,-66
