,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,961.47400,587.49800,-61.58100,525.91700,,,-81.08600,-81.08600,1406.30500,-176.15800,,,,,0.10200,-176.05600,,,-613.31900,-613.31900,-385.45200,-31.58800,-1030.35900,199.89000,75.04100,-385.45200
2022-10-31,936.226,572.614,-58.652,513.962,-343.908,-470.725,419.006,-300.852,1149.336,-304.512,0,0,0,0,-1.821,-306.333,296.13,296.13,-814.309,-814.309,-390.345,21.664,-886.86,-54.388,80.678,-390.345
2022-07-31,748.985,578.969,103.242,682.211,0,0,-183.35,-183.35,1247.846,-164.884,0,0,0,0,30.751,-134.133,0,0,-896.013,-896.013,-394.018,-28.375,-1318.406,-212.773,84.874,-394.018
2022-04-30,783.273,576.106,-53.519,522.587,0,0,-84.053,-84.053,1221.807,-118.779,0,0,0,0,5.186,-113.593,0,0,-765.258,-765.258,-397.544,14.616,-1148.186,-52.666,70.996,-397.544
2022-01-31,280.07700,569.81000,321.93600,891.74600,,,-315.41000,-315.41000,856.41300,-111.13300,,,,,7.82400,-103.30900,-519.11600,-519.11600,-67.54800,-67.54800,-362.64500,12.04100,-937.26800,-187.56500,86.93900,-362.64500
2021-10-31,75.687,478.963,343.63,822.593,-114.504,-65.114,26.206,42.444,940.724,-130.777,2450.55,0,0,0,7.032,2326.805,347.658,347.658,-2588.235,-2588.235,-371.23,-157.891,-2769.698,497.263,124.928,-371.23
2021-07-31,503.311,196.151,9.816,205.967,0,0,-79.236,-79.236,630.042,-86.341,0,0,0,0,38.829,-47.512,0,0,-151.605,-151.605,-254.506,-0.447,-406.558,175.485,41.687,-254.506
2021-04-30,422.905,198.167,29.812,227.979,0,0,85.478,85.478,736.362,-59.17,0,0,0,0,-1.527,-60.697,0,0,-165.062,-165.062,-254.429,-0.094,-419.585,257.153,40.358,-254.429
2021-01-31,388.51900,201.35300,-5.19000,196.16300,,,-156.74100,-156.74100,427.94100,-67.38800,,,,,-7.68300,-75.07100,,,-137.13700,-137.13700,-229.17900,2.49300,-363.82300,-7.79700,36.63800,-229.17900
2020-10-31,386.526,202.216,-292.453,-90.237,-101.626,1.76,343.63,376.309,672.598,-29.888,12.763,0,0,0,-13.617,-30.742,-450,-450,3.431,3.431,-229.597,0,-676.166,-34.404,36.557,-229.597
2020-07-31,362.665,201.463,34.022,235.485,0,0,-40.95,-40.95,557.2,-20.804,-12.763,0,0,0,0.07,-33.497,0,0,9.202,9.202,-228.798,0.436,-219.16,305.327,39.56,-228.798
2020-04-30,267.696,203.312,15.961,219.273,0,0,-57.928,-57.928,429.041,-60.161,0,0,0,0,-1.391,-61.552,95.646,95.646,-98.8,-98.8,-228.6,-3.956,-235.71,130.529,35.9,-228.6
2020-01-31,203.87400,203.93200,65.85100,269.78300,,,-124.00900,-124.00900,349.64800,-54.83900,,,,,0.10700,-54.73200,,,-89.91700,-89.91700,-199.16000,-0.49500,-289.57200,6.08600,37.50100,-199.16000
2019-10-31,277.694,205.164,25.777,230.9409,5.89,-42.771,117.528,149.269,657.904,-51.075,-11.17,0,0,0,-1.512,-63.757,-200,-200,-162.001,-162.001,-200.196,5.087,-557.11,36.158,37.58,-200.196
2019-07-31,362.374,204.127,10.769,214.896,0,0,-24.723,-24.723,552.547,-58.095,0,0,0,0,-0.547,-58.642,-300,-300,-92.773,-92.773,-200.068,-1.774,-594.615,-101.437,36.098,-200.068
2019-04-30,367.937,201.375,14.47,215.845,0,0,87.1,87.1,670.882,-75.209,0,0,0,0,0.637,-74.572,-250,-250,-33.844,-33.844,-199.501,-5.575,-488.92,107.737,40.229,-199.501
2019-01-31,355.00600,200.58500,63.10500,263.69000,,,-246.92900,-246.92900,371.76700,-90.99300,,,,,-5.22200,-96.21500,-100.00000,-100.00000,-207.86400,-207.86400,-177.71600,-0.56900,-486.14900,-210.72700,36.39300,-177.71600
2018-10-31,404.855,201.19,33.112,234.302,45.979,-34.636,90.844,75.284,714.441,-86.004,0,0,0,0,-3.015,-89.019,-225,-225,-173.447,-173.447,-179.416,-2.883,-580.746,44.016,37.454,-179.416
2018-07-31,408.557,199.865,42.966,242.831,0,0,-30.65,-30.65,620.738,-51.75,-0.5,0,0,0,-2.239,-54.489,-430,-430,10.848,10.848,-178.89,-1.083,-599.125,-33.942,36.895,-178.89
2018-04-30,400.328,199.543,14.219,213.762,0,0,104.404,104.404,718.494,-53.9,-52.339,0,0,0,0.249,-105.99,-456.222,-456.222,5.767,5.767,-178.282,-1.408,-630.145,-21.033,38.914,-178.282
2018-01-31,293.24000,198.46500,-632.93900,-434.47400,,,529.92200,529.92200,388.68800,-63.22200,,,,,-1.27800,-64.50000,-420.00000,-420.00000,29.88200,29.88200,-166.71900,8.81100,-548.02600,-220.28800,37.90200,-166.71900
2017-10-31,425.77,189.736,35.264,225,-65.669,-47.354,-106.245,1.687,652.457,-65.215,54.895,0.001,0,0.001,-2.717,-13.036,-350,-350,17.46,17.46,-166.857,-2.281,-501.678,139.269,32.349,-166.857
