,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,284,31,-10,21,-3,61,157,215,494,-36,318,322,443,765,-1596,-549,0,5053,5053,-50,-50,-69,-4771,163,108,5,-69
2022-09-30,217,34,60,94,9,-221,94,-118,172,-52,0,-567,816,249,-1540,-1343,0,4346,4346,-50,-50,-70,-3065,1161,-10,3,-70
2022-06-30,203,26,36,62,13,77,173,263,516,-49,0,3916,-387,3529,-1114,2366,0,379,379,-48,-48,-64,-3290,-3023,-141,5,-64
2022-03-31,203.00000,19.00000,23.00000,42.00000,29.00000,-10.00000,11.00000,30.00000,288.00000,-53.00000,,4979.00000,-3644.00000,1335.00000,-351.00000,931.00000,-290.00000,-264.00000,-554.00000,-45.00000,-45.00000,-66.00000,-449.00000,-1114.00000,105.00000,17.00000,-66.00000
2021-12-31,213,8,-46,-38,1,-68,98,31,166,-53,0,-1116,-3717,-4833,-120,-5006,-5,324,319,-321,-321,-62,4902,4838,-2,5,-62
2021-09-30,240,-11,-42,-53,7,-124,97,-20,180,-69,0,500,-2259,-1759,778,-1050,-281,-162,-443,-323,-323,-70,1778,942,72,4,-70
2021-06-30,354,-8,-80,-88,9,9,-418,-400,-201,-31,0,-2058,-1554,-3612,2118,-1525,0,-291,-291,-96,-222,-63,2251,1675,-51,5,-63
2021-03-31,322.00000,-3.00000,-48.00000,-51.00000,-3.00000,76.00000,158.00000,231.00000,484.00000,-53.00000,,-2903.00000,-1111.00000,-4014.00000,69.00000,-3998.00000,,-540.00000,-540.00000,-39.00000,-39.00000,-66.00000,4192.00000,3547.00000,33.00000,14.00000,-66.00000
2020-12-31,284,11,-24,-13,-8,-67,-12,-87,171,-48,0,-3178,-1124,-4302,1327,-3023,0,320,320,3,3,-64,2560,2819,-33,4,-64
2020-09-30,175,12,56,68,11,-38,-58,-85,150,-41,0,-1815,-400,-2215,376,-1880,0,393,393,0,0,-65,1408,1736,6,4,-65
2020-06-30,66,18,125,143,5,0,37,42,245,-54,0,-71,105,34,-5156,-5176,-429,-2906,-3335,2,2,-64,8168,4771,-160,5,-64
2020-03-31,14.00000,45.00000,225.00000,270.00000,-18.00000,22.00000,-133.00000,-129.00000,153.00000,-28.00000,,-547.00000,-358.00000,-905.00000,-1192.00000,-2125.00000,,1712.00000,1712.00000,-73.00000,-73.00000,-66.00000,424.00000,1997.00000,25.00000,13.00000,-66.00000
2019-12-31,183,45,8,53,-7,98,19,110,351,-23,0,426,445,871,130,978,495,-2526,-2031,-270,-270,-64,945,-1420,-91,4,-64
2019-09-30,222,50,10,60,-38,-132,27,-143,126,-34,0,-401,759,358,-212,112,0,-1445,-1445,-274,-274,-69,1808,20,258,5,-69
