,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,240.392,34.234,20.296,54.53,-81.162,-15.053,-24.503,-31.287,263.635,-36.92,0,-27.622,0,0.366,0.366,-64.176,435,-485,-50,-298.3799,-298.3799,-8.771,-357.151,-143.726,73.249
2022-09-30,186.305,30.759,64.65,95.409,6.727,-8.387,30.012,35.396,317.11,-44.093,-0.25,-561.163,0,0,0,-605.506,450,0,450,-96.555,-96.555,-39.974,313.471,-3.493,73.451
2022-06-30,186.92,33.136,49.972,83.108,-35.61,-4.213,18.663,54.513,324.541,-24.072,0,-25,0,0,0,-49.072,0,0,0,-345.482,-345.482,-7.201,-352.683,-105.208,64.27
2022-03-31,235.33500,35.09300,37.25700,72.35000,-28.42600,4.58000,110.97200,28.92300,336.60800,-18.13000,-0.75000,,,-1.00000,-1.00000,-19.88000,,,,-204.34300,-204.34300,-56.34300,-260.68600,45.81200,59.46900
2021-12-31,176.579,35.613,37.251,72.864,-13.118,-13.419,-63.904,-33.586,215.857,-15.321,-1.583,-6.175,0,0,0,-23.079,0,0,0,-105.856,-105.856,-9.797,-115.653,75.121,54.23
2021-09-30,176.307,35.428,16.456,51.884,63.148,-11.081,-9.247,68.092,296.283,-18.838,0,0.634,0,0.128,0.128,-18.076,0,0,0,-78.631,-78.631,-30.132,-108.763,166.659,52.746
2021-06-30,155.9,36.004,49.855,85.859,-2.089,-13.858,88.566,138.617,380.376,-14.171,0,-31.398,0,0,0,-45.569,0,0,0,-214.155,-214.155,-22.953,-237.108,104.179,50.518
2021-03-31,187.16900,36.48200,52.11600,88.59800,-45.92700,-0.66900,60.04000,-67.32500,208.44200,-16.96800,,-189.26200,,,,-206.23000,,,,-125.88300,-125.88300,-56.38500,-182.26800,-185.45100,52.59600
2020-12-31,173.738,38.917,54.553,93.47,-35.879,-32.061,-112.595,-131.686,135.522,-31.068,0,0,0,0.217,0.217,-30.851,0,-350,-350,-126.665,-126.665,-24.513,-501.178,-378.132,58.545
2020-09-30,161.63,37.375,29.9,67.275,12.442,-4.644,-10.832,-22.348,206.557,-20.21,0,-2.444,0,0,0,-22.654,0,0,0,-47.227,-47.227,-31.858,-79.085,117.378,45.334
