,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,290.298,12.594,-11.495,1.099,-77.011,-3.672,29.972,5.038,-22.015,269.382,-43.86,0,-3.934,4.536,0.602,-43.258,-0.2,-0.2,69.194,69.194,-12.587,56.407,283.524,46.303
2020-03-31,-720.64200,13.09800,97.41700,110.51500,-42.71300,-5.71200,-22.71000,-16.70100,-73.29000,-683.41700,-39.26500,,26.17300,-95.46800,-69.29500,-108.56000,-0.18700,-0.18700,14.61900,14.61900,-11.93300,2.49900,-787.91800,42.51300
2019-12-31,111.005,13.345,29.143,42.488,-32.693,-3.187,-11.729,-4.255,-21.875,131.618,-29.315,0,-0.713,0,-0.713,-30.028,-0.196,-0.196,46.267,46.267,-16.751,29.32,130.689,42.023
2019-09-30,128.271,13.862,44.43,58.292,26.564,-0.625,23.792,1.645,83.852,270.415,16.812,0,-4.528,0,-4.528,12.284,-0.217,-0.217,3.111,3.111,0,2.894,285.78,43.359
2019-06-30,105.318,13.435,51.971,65.406,-58.599,-1.688,1.221,2.795,-17.764,152.96,-47.294,0,2.147,0,2.147,-45.147,-0.214,-0.214,15.191,15.191,-5.967,9.01,116.539,40.615
2019-03-31,102.31200,13.89100,26.37800,40.26900,63.51700,-0.60000,-33.46400,5.55900,13.08200,155.66300,-18.26700,,-6.29600,,-6.29600,-24.56300,-0.19500,-0.19500,15.48100,15.48100,-10.79900,4.48700,135.71300,40.59200
2018-12-31,69.063,14.226,66.597,80.823,-59.862,1.013,8.349,-12.082,-66.048,83.838,-25.281,0,-10.816,0,-10.816,-36.097,0,0,9.462,9.462,-5.399,4.063,51.798,37.323
2018-09-30,29.176,13.818,52.756,66.574,68.574,1.152,19.919,2.259,103.398,199.148,-24.821,0,6.945,0,6.945,-17.876,0,0,2.437,2.437,0,2.437,183.671,38.001
2018-06-30,52.394,13.501,78.634,92.135,-96.12,-0.001,1.444,-4.667,-112.126,32.403,-10.791,0,6.868,0.001,6.869,-3.922,0,0,15.448,15.448,-9.886,5.562,34.143,36.605
2018-03-31,-41.14000,13.42400,20.31700,33.74100,46.10900,1.87900,6.44400,-18.92200,28.23700,20.83800,-12.59000,,-7.00100,-8.93700,-15.93800,-28.52800,,,2.59500,2.59500,,2.59500,-5.06000,36.22400
