,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-190.998,-49.948,-5.012,-54.96,24.011,-2.784,-110.322,172.441,91.683,-155.005,33.751,0,0,34.4,0,68.151,87.256,87.256,79.855,48.369,215.48,156.737,-21.953,79.855
2022-09-30,59.307,16.535,-7.426,9.109,-0.283,1.448,-36.705,48.586,14.884,85.098,-12.509,0,0,0,0,-12.509,0.148,0.148,-26.328,-2.252,-28.432,39.94,7.351,-26.328
2022-06-30,66.922,16.643,4.982,21.625,-12.029,1.453,-84.056,112.785,4.929,93.637,-10.421,0,0,-34.4,0,-44.821,-48.654,-48.654,-26.102,-25.825,-100.581,-71.303,6.503,-26.102
2022-03-31,64.76900,16.77000,7.45600,24.22600,-11.69900,-0.11700,231.08300,-333.81200,-111.49600,-23.73000,-10.82100,,,,,-10.82100,-38.75000,-38.75000,-27.42500,-20.29200,-86.46700,-125.37400,8.09900,-27.42500
2021-12-31,52.185,16.351,7.082,23.433,3.778,-0.397,-72.481,144.337,70.513,145.711,-11.399,0,0,0,0,-11.399,-44.849,-44.849,-24.793,-0.519,-70.161,61.766,7.002,-24.793
2021-09-30,57.958,15.651,8.192,23.843,19.254,0.046,25.197,-65.802,-19.118,62.813,-12.949,0,0,0,0,-12.949,-1.953,-1.953,-24.761,0.911,-26.849,18.558,6.754,-24.761
2021-06-30,67.288,14.801,7.143,21.944,0.446,-11.411,-34.043,60.519,7.596,96.726,-13.936,-17.078,0,0,0,-31.014,-9.015,-9.015,-24.784,-6.86,-73.915,-7.439,6.134,-24.784
2021-03-31,80.45700,13.44300,8.01500,21.45800,-7.88000,3.88200,177.54100,-303.35700,-125.00000,-23.15900,-12.33200,,,,,-12.33200,-0.27600,-0.27600,-25.45400,-27.42200,-18.85000,-55.36800,7.42400,-25.45400
2020-12-31,72.931,12.288,8.138,20.426,2.217,4.464,-6.167,128.935,135.54,227.62,-11.482,-22.77,0,0,0,-34.252,2.577,2.577,-22.462,-7.856,-27.741,170.749,6.694,-22.462
2020-09-30,67.776,10.853,10.365,21.218,17.225,-1.098,141.47,-299.731,-135.875,-48.353,-11.879,0.006,102.061,102.061,0,90.188,-4.156,-4.156,-22.436,-6.784,-33.376,12.568,6.451,-22.436
2020-06-30,83.854,9.985,7.798,17.783,-5.817,5.81,-12.363,13.534,3.053,104.853,-11.198,0,-0.428,-0.428,0,-11.626,-5.214,-5.214,-22.424,-6.535,-34.173,58.736,5.791,-22.424
2020-03-31,74.81600,9.71200,9.41100,19.12300,-31.64000,56.10500,16.39200,-18.41300,24.39400,120.36900,-11.06900,-0.53300,36.15900,36.15900,,24.55700,-5.33500,-5.33500,-23.24400,-21.24300,-49.82200,91.74400,6.67700,-23.24400
2019-12-31,50.273,9.221,8.826,18.047,12.517,4.068,1.18,1.254,22.485,89.141,-12.154,-97.43,2.875,2.875,-0.052,-106.761,-5.494,-5.494,-18.998,-7.549,-32.041,-47.389,6.225,-18.998
2019-09-30,54.002,8.169,6.386,14.555,-6.596,-9.252,-1.123,14.542,-2.047,67.692,-9.122,0,4.548,4.548,0.02,-4.554,-2.407,-2.407,-18.91,-6.21,-27.527,34.329,7.944,-18.91
2019-06-30,48.105,7.889,5.538,13.427,4.57,2.642,2.887,3.739,7.91,69.733,-9.591,0,-11.724,-11.724,0.017,-21.298,-3.136,-3.136,-18.911,-0.258,-22.305,25.208,5.929,-18.911
2019-03-31,52.52200,7.37300,7.21800,14.59100,-13.45300,4.46900,-3.76400,-16.67600,-27.15700,39.36900,-3.83300,,14.41000,14.41000,-0.01500,10.56200,-5.01200,-5.01200,-19.41200,-11.80300,-36.22700,14.64700,5.19600,-19.41200
2018-12-31,45.831,5.848,2.964,8.812,4.443,-5.431,9.91,2.572,15.214,70.105,-14.601,0,1.275,1.275,0.014,-13.312,-4.6,-4.6,-15.539,-0.103,-20.242,36.237,4.299,-15.539
2018-09-30,38.594,6.173,2.664,8.837,-0.21,9.845,-0.945,10.473,19.572,67.994,-10.421,0,2.84,2.84,0.009,-7.572,-5.065,-5.065,-15.543,0.057,-20.551,39.399,3.95,-15.543
2018-06-30,40.487,5.79,3.037,8.827,5.605,-6.384,5.252,4.86,3.865,54.379,-16.703,0,-0.02,-0.02,0.04,-16.683,-6.523,-6.523,-15.536,-0.376,-22.435,14.517,3.65,-15.536
2018-03-31,47.94000,5.26900,6.01200,11.28100,-14.95500,1.89300,0.30700,-19.14500,-27.59600,31.43900,-5.86800,,-6.83700,-6.83700,-0.02400,-12.72900,-6.01000,-6.01000,-15.81400,-7.62100,-29.44500,-10.84500,3.95100,-15.81400
2017-12-31,33.473,5.208,9.696,14.904,10.182,-25.528,1.303,2.408,-2.588,46.452,-8.218,0,22.478,22.478,-0.006,14.254,-5.777,-5.777,-12.171,-14.785,-32.733,28.022,3.432,-12.171
2017-09-30,34.13,4.583,2.448,7.031,-7.866,8.339,-2.476,12.966,10.754,52.465,-4.895,0,-8.655,-8.655,-0.02,-13.57,-11.903,-11.903,-12.182,-4.795,-28.88,10.849,3.521,-12.182
2017-06-30,38.023,4.79,3.097,7.887,1.444,0.984,-1.515,1.833,-7.688,38.569,-5.123,0,-20.179,-20.179,-0.028,-25.33,-11.102,-11.102,-12.179,-0.469,-23.75,-9.512,3.525,-12.179
2017-03-31,42.46300,4.69300,5.77000,10.46300,-6.11300,-2.71500,1.07400,-22.38200,-22.77000,30.54900,-7.32100,,-21.68100,-21.68100,-0.00500,-29.00700,-11.70700,-11.70700,-12.35600,-7.64200,-31.70500,-30.58800,3.94300,-12.35600
2016-12-31,33.165,4.292,2.681,6.973,6.01,0.341,-0.302,5.772,15.885,56.607,-4.691,0,-24.621,-24.621,0.031,-29.281,-9.924,-9.924,-9.581,0.756,-18.749,6.799,3.875,-9.581
2016-09-30,30.918,4.325,2.005,6.33,6.238,-2.183,-0.062,10.157,15.163,53.236,-3.766,0,-22.405,-22.405,0.284,-25.887,-8.44,-8.44,-9.601,-0.344,-18.385,8.169,3.699,-9.601
2016-06-30,33.126,4.54,1.419,5.959,-10.331,0.808,-2.015,8.732,-10.688,32.647,-4.359,0,-0.065,-0.065,0.073,-4.351,-2.894,-2.894,-9.586,-0.355,-12.835,15.28,3.443,-9.586
2016-03-31,28.96300,4.68100,5.82500,10.50600,-12.34600,-74.48800,4.72300,-21.09600,-97.18100,-52.74300,-5.68700,,12.00000,12.00000,0.02600,6.33900,-0.36800,-0.36800,-9.72700,-5.23000,-15.32500,-61.73300,3.49400,-9.72700
2015-12-31,24.491,4.685,2.069,6.754,8.847,0,-1.253,4.24,12.202,48.168,-4.137,0,10.2,10.2,-0.501,5.562,-2.839,-2.839,-7.333,-4.248,-14.42,39.352,3.243,-7.333
2015-09-30,22.715,4.642,1.143,5.785,-2.398,0,-0.005,11.854,6.806,35.743,-4.086,0,-28.357,-28.357,-0.137,-32.58,-5.021,-5.021,-7.339,0.24,-12.12,-8.887,3.251,-7.339
2015-06-30,24.238,4.603,2.122,6.725,-0.908,0,0.4,1.708,-1.174,30.561,-3.69,0,-6.174,-6.174,-0.023,-9.887,-5.227,-5.227,-7.345,0.989,-11.583,8.215,2.983,-7.345
2015-03-31,24.59300,4.61200,4.76100,9.37300,-12.28900,,0.84900,-16.63100,-24.36100,10.03400,-3.47100,,2.40400,2.40400,0.01900,-1.04800,-8.24700,-8.24700,-7.51700,-1.47700,-17.24100,-7.87600,3.04200,-7.51700
2014-12-31,21.636,4.425,0.641,5.066,3.148,0,0.576,8.219,14.418,41.363,-3.373,0,-8.204,-8.204,0.016,-11.561,-11.411,-11.411,-5.879,1.028,-16.262,13.824,2.59,-5.879
2014-09-30,17.504,4.482,1.557,6.039,4.443,0,-3.195,9.437,8.004,32.177,-2.689,0,8.126,8.126,0.628,6.065,-11.149,-11.149,-5.898,0.587,-16.46,21.946,2.528,-5.898
2014-06-30,18.191,4.351,2.722,7.073,-1.845,0,0.198,3.245,0.707,26.265,-4.532,0,-2.521,-2.521,-0.027,-7.08,-9.936,-9.936,-5.932,0.283,-15.585,3.109,2.335,-5.932
2014-03-31,17.47500,4.12100,4.47500,8.59600,-4.91900,,1.47100,-16.49600,-16.48200,10.14700,-4.19300,,3.75000,3.75000,-0.00600,-0.44900,-2.96700,-2.96700,-6.23200,-2.71700,-11.91600,-2.64600,2.31600,-6.23200
