,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-12-31,23.133,3.746,-7.182,-3.436,3.056,0,-0.569,0.296,3.472,23.55,-8.519,9.346,-9.352,-9.352,-0.022,-8.547,1.223,1.223,-4.809,1.895,-1.691,13.026,2.46,-4.809
2013-09-30,18.214,3.559,0.648,4.207,2.657,0,-2.106,11.571,14.392,37.08,-4.063,0,-44.073,-44.073,-0.059,-48.195,0.436,0.436,-4.77,0.337,-3.997,-15.803,2.241,-4.77
2013-06-30,19.343,3.177,1.679,4.856,-6.291,0,-1.921,4.66,-3.552,19.97,-8.54,-0.709,2.415,2.415,-0.001,-6.835,0.75,0.75,-4.853,0.644,-3.459,9.549,2.181,-4.853
2013-03-31,15.32600,2.56900,4.76100,7.33000,-1.13600,,4.96000,-15.93400,-12.11000,10.27900,-2.16000,-37.11800,33.67000,33.67000,0.06400,-5.54400,0.63000,0.63000,-5.40500,-3.15200,-7.92700,-2.98900,1.99700,-5.40500
2012-12-31,20.465,2.337,-0.809,1.528,2.26,0,1.879,4.604,5.872,28.312,-1.532,0,2.769,2.769,-0.006,1.231,-0.002,-0.002,-51.653,1.06,-50.595,-21.193,2.201,-51.653
2012-09-30,13.482,2.081,1.458,3.539,-0.168,0,0.207,10.029,10.068,27.375,-5.226,0,4.04,4.04,-0.028,-1.214,-0.891,-0.891,-4.106,-0.118,-5.115,20.506,2.156,-4.106
2012-06-30,12.629,1.961,2.154,4.115,-0.262,0,-2.109,-2.323,-4.694,12.521,-1.697,0,0.799,0.799,0.019,-0.879,5.075,5.075,-4.081,-2.741,-1.747,9.786,2.066,-4.081
2012-03-31,13.49300,1.85400,4.93900,6.79300,2.77700,,2.35100,-12.04000,-6.91200,13.37400,-1.90500,,17.82500,17.82500,-0.02800,15.89200,-70.79000,-70.79000,-4.20100,-3.72700,-78.71800,-49.81100,1.96200,-4.20100
2011-12-31,11.543,1.793,3.439,5.232,-5.433,0,-0.319,6.487,0.735,18.687,-1.81,0,22.836,1.991,0.034,0.215,-9.406,-9.406,-3.447,6.175,-6.678,11.998,1.862,-3.447
2011-09-30,13.444,1.799,6.795,8.594,2.458,0,0.692,2.194,5.344,27.382,-2.109,0,-25.036,-4.191,3.523,-2.777,-1.38,-1.38,-3.432,2.375,-2.437,21.854,1.898,-3.432
2011-06-30,11.937,1.627,6.498,8.125,-4.372,0,0.41,2.243,-1.719,18.343,-1.966,0,4.611,4.611,0.003,2.648,1.635,1.635,-3.416,0.133,-1.648,19.201,0.809,-3.416
2011-03-31,10.78000,1.56200,6.25600,7.81800,-4.31800,,-0.60500,-12.60900,-17.53200,1.06600,-1.34000,,-7.29400,-7.29400,-0.02800,-8.66200,4.60800,4.60800,-3.38800,-1.65600,-0.43600,-8.42700,2.29000,-3.38800
2010-12-31,8.947,1.552,7.75,9.302,1.425,0,-0.24,3.54,4.725,22.563,-1.094,0,1.071,1.071,0.004,-0.019,-1.939,-1.939,-2.591,-1.408,-5.938,16.249,2.341,-2.591
2010-09-30,8.611,1.56,5.55,7.11,-3.313,0,0.515,6.103,3.305,19.026,-1.37,0,0.435,0.435,-0.049,-0.984,-21.066,-21.066,-2.658,0.958,-22.766,-4.781,2.128,-2.658
2010-06-30,7.169,1.622,6.225,7.847,2.531,0,0.95,4.141,7.622,22.638,-1.285,0,-10.241,-10.241,0.02,-11.506,0.596,0.596,-2.7,0.157,-1.947,8.974,2.306,-2.7
2010-03-31,6.70100,1.61600,5.81300,7.42900,-3.77700,,0.35000,-10.78400,-14.21100,-0.08100,-3.36000,,8.09200,8.09200,0.05700,4.78900,-0.83000,-0.83000,-2.68100,0.31300,-3.19800,1.21100,2.19400,-2.68100
2009-12-31,5.436,1.666,7.191,8.857,0.524,0,0.379,4.118,5.021,19.314,-3.817,0,-15.099,-15.099,-0.415,-19.331,0.031,0.031,-2.65,-0.009,-2.628,-2.792,2.11,-2.65
2009-09-30,4.64,1.654,5.338,6.992,-2.197,0,2.119,6.572,6.494,18.126,-1.058,0,0.359,0.359,0.014,-0.685,-0.024,-0.024,0,0.081,0.057,17.396,2.152,0
2009-06-30,3.187,1.679,4.511,6.19,-4.114,0,-0.137,3.091,-1.16,8.217,-1.065,0,-28.298,-28.298,-0.264,-29.627,0.39,0.39,0,0.041,0.431,-21.086,2.113,0
2009-03-31,2.83900,1.79100,4.28100,6.07200,-4.73200,,0.45900,-6.96800,-11.24100,-2.33000,-0.85800,-1.36800,7.69400,7.69400,0.01000,5.47800,-0.15500,-0.15500,,-0.35100,-0.50600,2.50000,2.03900,
