,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-02-28,-539.318,-111.158,-113.821,-224.979,-4.1,39.308,16.03,-29.29,-793.587,104.317,0,0,7.096,2.474,9.57,113.887,-184.302,0,-184.302,859.17,859.17,0.783,675.651,-5.41,-19.005
2022-11-30,539.31800,111.15800,113.82100,224.97900,4.10000,-39.30800,-16.03000,29.29000,793.58700,-104.31700,,,-7.09600,-2.47400,-9.57000,-113.88700,184.30200,,184.30200,-859.17000,-859.17000,-0.78300,-675.65100,5.41000,19.00500
2022-08-31,810.043,144.308,126.37,270.678,-64.371,-319.599,-13.795,147.3001,1228.021,-283.705,0,0,6.464,-10.139,-3.675,-287.38,51.7749,0,51.7749,-984.153,-984.153,-7.296,-939.674,1.336,21.554
2022-05-31,592.571,104.536,58.115,162.651,-33.976,-277.628,22.247,88.146,843.368,-148.766,0,0,0.102,-0.742,-0.64,-149.406,197.4431,0,197.4431,-868.366,-868.366,0,-670.923,23.621,18.32
2022-02-28,471.755,102.426,39.33,141.756,-25.809,-256.471,-64.343,-251.695,361.816,-94.289,0,0,-5.407,-20.656,-26.063,-120.352,550.687,0,550.687,-1514.641,-1514.641,0,-963.954,-721.702,16.443
2021-11-30,555.23500,102.22900,32.39100,134.62000,-1.57600,-136.98800,29.96000,88.07500,777.93000,-87.64400,,,-3.31700,,-3.31700,-90.96100,-13.68700,,-13.68700,-878.89700,-878.89700,-3.36200,-895.94600,-210.21000,14.29500
2021-08-31,785.771,133.171,-22.428,110.743,-19.374,23.754,-14.03,391.6819,1288.196,-217.313,0,0,12.002,-37.804,-25.802,-243.115,-15.009,0,-15.009,-834.166,-834.166,0,-849.175,195.689,18.051
2021-05-31,596.164,96.974,21.702,118.676,-7.656,67.271,-14.282,475.66,1190.5,-133.875,0,0,7.524,-3.908,3.616,-130.259,-265.768,0,-265.768,-844.585,-844.585,0,-1110.353,-50.518,13.883
2021-02-28,345.946,97.695,1.603,99.298,-1.5,-104.796,-74.481,-88.888,356.356,-125.191,0,0,6.966,0,6.966,-118.225,-15.29,0,-15.29,-862.155,-862.155,0,-877.445,-637.841,13.67
2020-11-30,442.43300,92.70100,20.80300,113.50400,17.49100,-124.74600,98.97800,127.55400,683.49100,-115.40400,,,5.22500,,5.22500,-110.17900,-13.78600,,-13.78600,-649.65800,-649.65800,,-663.44400,-86.81000,10.50800
2020-08-31,740.457,129.509,39.38,168.889,-95.407,-8.89,23.889,507.654,1417,-173.885,0,0,-30.877,-45.19,-76.067,-249.952,91.618,0,91.618,12.086,12.086,-35.188,68.516,1241.697,12.584
2020-05-31,342.895,94.051,23.271,117.322,65.74,86.95,23.011,191.247,651.464,-82.71,0,0,9.7,0,9.7,-73.01,-37.152,0,-37.152,-158.456,-158.456,-13.779,-209.387,356.148,10.144
2020-02-29,299.282,92.691,21.325,114.016,-5.651,-129.028,25.888,-208.756,204.542,-88.35,0,0,4.148,0,4.148,-84.202,148.007,0,148.007,-274.964,-274.964,0,-126.957,-5.119,12.111
2019-11-30,350.33800,91.94500,11.93600,103.88100,-23.24600,-133.20600,31.67500,-7.11700,447.10200,-101.02800,,,10.31700,,10.31700,-90.71100,65.36900,,65.36900,-441.17700,-441.17700,,-375.80800,-18.21100,9.99600
2019-08-31,565.229,121.495,29.666,151.161,-26.896,-9.264,-21.825,125.488,841.878,-181.959,0,0,-24.595,0,-24.595,-206.554,-310.179,348.5,38.321,-667.888,-667.888,-1.044,-630.611,2.242,11.726
2019-05-31,405.948,86.726,19.871,106.597,16.722,-20.491,-20.754,-42.979,469.566,-117.809,0,0,8.72,0,8.72,-109.089,487.101,-452,35.101,-408.67,-408.67,-8.36,-381.929,-21.607,9.971
2019-02-28,294.638,85.582,10.822,96.404,-22,-196.938,38.649,-23.155,367.887,-92.145,0,0,7.841,0,7.841,-84.304,-162.31,103.5,-58.81,-287.13,-287.13,0,-345.94,-56.421,11.031
2018-11-30,351.40600,84.31600,17.94700,102.26300,-16.33800,-167.45400,47.76900,-4.48700,449.18200,-97.53500,,,5.63600,,5.63600,-91.89900,136.78100,,136.78100,-452.38900,-452.38900,,-315.60800,34.26200,10.52700
2018-08-31,400.282,110.528,144.493,255.021,3.28,66.33,-22.293,168.633,823.936,-230.265,0,35.279,-24.214,0,-24.214,-219.2,-262.138,299.8,37.662,-644.8369,-644.8369,0.195,-606.98,-0.562,14.115
2018-05-31,366.721,81.685,20.436,102.121,7.393,14.098,26.76,35.171,504.013,-79.101,0,0,7.048,0,7.048,-72.053,23.981,-129.6,-105.619,-395.2511,-395.2511,0.003,-500.867,-70.136,5.795
2018-02-28,289.53,81.279,46.671,127.95,-9.81,-117.814,0.836,-230.154,187.326,-102.957,0,0,7.003,0,7.003,-95.954,-42.847,99,56.153,-116.671,-116.671,-0.085,-60.603,30.845,12.678
2017-11-30,281.00300,79.98500,19.64200,99.62700,6.67100,-151.39600,20.81100,184.38700,565.01700,-109.92400,,,-24.72900,,-24.72900,-134.65300,-18.00000,-99.00000,-117.00000,-345.53900,-345.53900,-1.16500,-463.70400,-35.59300,11.08600
2017-08-31,433.9,105.63,58.233,163.863,-3.04,-3.179,-0.627,-36.381,561.382,-194.015,0,0,-0.351,0,-0.351,-194.366,-13.318,-73.1,-86.418,-216.063,-216.063,-0.003,-302.484,66.129,8.901
2017-05-31,331.699,77.197,13.664,90.861,-27.862,57.293,-7.647,22.772,445.332,-141.477,0,0,-15.042,0,-15.042,-156.519,-37.259,30.7,-6.559,-263.583,-263.583,-5.135,-275.277,16.492,8.632
2017-02-28,237.145,74.831,6.82,81.651,23.762,-130.003,10.224,-161.398,157.398,-117.829,0,0,14.766,0,14.766,-103.063,213.985,-72.2,141.785,-180.425,-180.425,-0.002,-38.642,15.111,10.924
2016-11-30,278.12500,73.76200,16.66800,90.43000,14.93500,-160.91800,11.04500,37.94500,406.50000,-97.56000,,,-2.09100,,-2.09100,-99.65100,-11.01200,72.20000,61.18800,-356.89200,-356.89200,-2.22200,-297.92600,5.80400,9.78700
2016-08-31,426.768,96.505,5.671,102.176,6.062,-41.786,-8.251,16.887,545.831,-189.211,0,0,-0.32,0,-0.32,-189.531,-207.604,169,-38.604,-340.642,-340.642,-0.003,-379.249,-23.646,11.373
2016-05-31,327.514,70.398,-2.188,68.21,2.578,7.644,3.788,137.088,532.812,-111.499,0,0,-4.159,0,-4.159,-115.658,122.553,-19.1,103.453,-512.899,-512.899,-7.715,-417.161,5.422,9.905
2016-02-29,228.613,70.465,18.52,88.985,-50.175,-102.956,7.863,-102.184,215.414,-98.997,0,0,-0.556,0,-0.556,-99.553,508.827,-428.3,80.527,-143.572,-143.572,-0.217,-63.262,42.472,9.891
2015-11-30,258.11200,68.00900,10.12000,78.12900,0.08800,-90.42000,6.79800,10.76200,347.00300,-86.43000,-10.00000,,-4.66300,,-4.66300,-101.09300,-310.09600,428.30000,118.20400,-375.06000,-375.06000,,-256.85600,-9.82300,8.65600
2015-08-31,401.137,88.664,52.709,141.373,-41.861,27.554,-12.853,31.396,573.906,-182.946,0,0,-0.241,0,-0.241,-183.187,104.778,0,104.778,-420.796,-420.796,-44.669,-360.687,22.021,11.307
2015-05-31,309.071,63.655,13.088,76.743,-15.982,-16.476,16.844,136.76,522.574,-112.268,0,0,-1.004,0,-1.004,-113.272,77.705,0,77.705,-496.346,-496.346,9.425,-409.216,1.749,9.488
2015-02-28,211.723,61.264,3.319,64.583,-2.131,-193.356,7.55,-174.996,101.31,-91.175,0,0,0.53,0,0.53,-90.645,95.523,-78.3,17.223,-7.554,-7.554,16.801,26.47,34.347,11.396
2014-11-30,238.31000,62.56600,7.85000,70.41600,23.50800,-84.49800,-14.64400,66.50200,375.22800,-92.44900,-10.00000,-75.74400,-2.61400,,-2.61400,-180.80700,-9.19200,78.30000,69.10800,-280.00300,-280.00300,9.73100,-201.16400,-7.29300,8.80400
2014-08-31,373.67,80.942,0.031,80.973,-10.206,-9.033,-8.556,-84.527,370.116,-173.663,0,0,0.663,0,0.663,-173,-43.008,0,-43.008,-180.053,-180.053,5.475,-217.586,-20.864,10.405
2014-05-31,285.157,59.769,7.874,67.643,0.676,-39.137,6.653,110.346,463.146,-99.421,0,0,-1.752,0,-1.752,-101.173,48.795,0,48.795,-413.188,-413.188,7.15,-357.243,5.594,8.269
2014-02-28,192.83,59.929,-11.353,48.576,-17.192,-145.035,18.466,-90.777,150.629,-77.53,-11.112,0,-1.583,0,-1.583,-90.225,126.56,13.5,140.06,-188.609,-188.609,2.608,-45.941,13.903,11.464
2013-11-30,218.08700,57.48300,11.23000,68.71300,-1.24100,-83.62900,-14.23400,70.54300,357.34300,-83.30200,0.00000,,-0.26800,,-0.26800,-83.57000,-8.20300,-13.50000,-21.70300,-275.32800,-275.32800,6.24400,-290.78700,-16.33900,9.25200
2013-08-31,371.199,73.701,47.675,121.376,-17.347,-77.787,-27.157,26.572,519.147,-153.181,0,0,-0.007,0,-0.007,-153.188,54.579,123.597,178.176,-545.63,-545.63,13.244,-354.21,8.506,11.675
2013-05-31,265.583,54.84,5.631,60.471,4.782,-31.882,4.991,58.967,385.021,-82.8,0,-1.084,-0.442,0,-0.442,-84.326,232.604,-234.462,-1.858,-295.606,-295.606,13.719,-283.745,18.137,9.016
2013-02-28,176.246,54.308,-1.971,52.337,16.731,-48.369,9.996,-35.993,192.59,-88.737,0,-115,-0.453,0,-0.453,-204.19,-46.554,234.369,187.815,-170.819,-170.819,9.796,26.792,15.684,8.485
2012-11-30,203.45200,52.64100,5.67600,58.31700,-12.36200,-74.80800,8.05600,56.48400,318.25300,-79.96800,,,-5.62300,,-5.62300,-85.59100,31.82600,-4.85200,26.97400,-278.10600,-278.10600,15.27300,-235.85900,-3.22900,8.13100
2012-08-31,323.732,69.294,31.635,100.929,-27.832,1.664,-6.214,0.713,425.374,-149.074,0,0,0.546,0,0.546,-148.528,209.202,-56.478,152.724,-455.322,-455.322,25.778,-276.82,-0.007,9.491
2012-05-31,248.586,50.86,6.284,57.144,10.352,-56.128,5.228,31.663,337.393,-95.78,0,0,-1.259,0,-1.259,-97.039,159.333,-21.245,138.088,-382.984,-382.984,4.543,-240.353,-0.107,8.827
2012-02-29,166.93,49.358,7.198,56.556,-8.652,-38.328,3.652,-104.566,118.92,-65.76,0,0,-1.545,0,-1.545,-67.305,111.163,-9.344,101.819,-158.016,-158.016,10.636,-45.561,6.531,7.483
2011-11-30,191.12500,50.38500,13.80300,64.18800,4.85600,-75.12200,10.19600,86.98100,342.29400,-60.86700,,,-1.02200,,-1.02200,-61.88900,-6.44800,5.79600,-0.65200,-291.20400,-291.20400,11.15700,-280.69900,-0.93000,7.56200
2011-08-31,301.469,65.764,62.581,128.345,-4.733,18.717,-24.399,-35.169,394.645,-120.018,0,0,1.942,0,1.942,-118.076,5.802,121.811,127.613,-419.6149,-419.6149,12.918,-279.084,-2.761,8.143
2011-05-31,227.374,47.092,-1.453,45.639,4.031,-69.368,6.777,182.771,455.784,-92.086,0,0,0.494,0,0.494,-91.592,-42.98,7.197,-35.783,-330.5401,-330.5401,-5.55,-371.873,-7.514,6.363
2011-02-28,148.055,46.299,-0.361,45.938,-23.525,-55.467,2.028,-110.237,83.756,-60.914,0,0,-0.541,0,-0.541,-61.455,356.828,6.755,363.583,-383.098,-383.098,6.853,-12.662,9.868,7.048
2010-11-30,172.07600,46.01600,10.52500,56.54100,9.62200,-49.30300,9.52100,128.73600,357.35300,-45.28500,,,-2.58600,,-2.58600,-47.87100,-41.73100,5.73800,-35.99300,-277.70300,-277.70300,3.54400,-310.15200,-0.26700,5.07100
2010-08-31,268.933,64.156,1.398,65.554,-4.525,-16.9,-19.799,120.758,455.245,-130.297,0,0,-0.374,0,-0.374,-130.671,25.667,181.586,207.253,-541.282,-541.282,12.084,-321.945,2.518,5.905
2010-05-31,202.745,44.325,1.977,46.302,26.156,-26.617,15.586,143.052,392.099,-66.717,0,0,-0.71,0,-0.71,-67.427,-80.98,0,-80.98,-256.289,-256.289,3.106,-334.163,-9.399,4.348
2010-02-28,123.333,46.043,-2.228,43.815,-4.705,1.858,-2.683,-49.121,118.027,-55.077,0,0,-1.574,0,-1.574,-56.651,43.208,-12.6,30.608,-72.604,-72.604,6.476,-35.52,25.558,4.616
2009-11-30,143.30000,44.05500,8.95000,53.00500,-16.14400,-54.41800,12.11100,34.57600,230.88100,-51.82000,,,-0.87800,,-0.87800,-52.69800,-4.49200,12.60000,8.10800,-200.55800,-200.55800,0.58500,-191.86500,-13.10300,4.25100
2009-08-31,236.126,58.943,31.857,90.8,13.514,31.71,-12.742,61.862,388.788,-110.053,0,0,2.293,0,2.293,-107.76,38.981,277.6,316.581,-584.336,-584.336,-14.123,-281.878,-1.581,5.643
2009-05-31,173.688,41.93,12.565,54.495,-14.736,-50.026,3.03,158.543,386.726,-60.31,0,0,-2.075,0,-2.075,-62.385,-289.35,0,-289.35,-52.311,-52.311,2.927,-338.734,-13.686,4.185
2009-02-28,247.235,83.204,21.031,104.235,-55.601,-58.021,-0.914,-203.176,148.294,-91.221,0,0,-2.356,0,-2.356,-93.577,432.629,0,432.629,-623.5,-623.5,4.587,-186.284,-134.488,9.307
