,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2300,1049,375,1424,-962,-1020,910,-4604,-5676,-1952,-688,671,-7746,7633,-113,11,-119,-16,0,-16,-1459,-1459,-719,7,-2187,-4258,106,-719
2022-09-30,-3409,1056,657,1713,678,-884,1317,9708,10819,9123,-580,9,5010,-5264,-254,20,-805,-2666,0,-2666,162,162,-726,12,-3218,5100,105,-726
2022-06-30,2961,1087,-172,915,-720,869,59,1359,1567,5443,-408,-2061,-4106,4360,254,85,-2130,-1515,0,-1515,51,51,-740,-257,-2461,852,147,-740
2022-03-31,2313.00000,1055.00000,-98.00000,957.00000,-1967.00000,-400.00000,1974.00000,686.00000,293.00000,3563.00000,-1051.00000,-7.00000,-904.00000,,-904.00000,-31.00000,-1993.00000,-14.00000,,-14.00000,-1703.00000,-1703.00000,-722.00000,-211.00000,-2650.00000,-1080.00000,89.00000,-722.00000
2021-12-31,1296,1115,1412,2527,801,-362,-1075,818,182,4005,-597,-11,-9963,9104,-859,27,-1440,-2431,0,-2431,109,109,-660,68,-2914,-349,138,-660
2021-09-30,1587,1565,202,1767,-1120,-420,2271,1436,2167,5521,-608,-27,5570,-5805,-235,23,-847,-1413,0,-1413,110,110,-659,32,-1930,2744,114,-659
2021-06-30,2791,1137,-59,1078,-291,638,1126,505,1978,5847,-486,-24,-4616,3947,-669,72,-1107,-2374,-252,-2626,118,118,-650,-169,-3327,1413,145,-650
2021-03-31,2224.00000,1126.00000,-79.00000,1047.00000,-2093.00000,879.00000,576.00000,259.00000,-379.00000,2892.00000,-829.00000,-84.00000,-954.00000,,-954.00000,,-1867.00000,-3049.00000,252.00000,-2797.00000,212.00000,212.00000,-656.00000,56.00000,-3185.00000,-2160.00000,87.00000,-656.00000
2020-12-31,975,1139,315,1454,2054,-1018,-726,828,1138,3567,-713,-32,-9639,9054,-585,96,-1234,-3099,0,-3099,15,15,-644,452,-3276,-943,112,-644
2020-09-30,1219,1114,680,1794,-1331,-958,1824,-674,-1139,1874,-534,774,0,-1609,-1609,-1,-1370,-5504,0,-5504,83,83,-665,-31,-6117,-5613,109,-665
