,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1120,148,896,1044,-310,-737,1239,-1103,-612,1668,-154,-255,-5,-414,91,617,708,-2000,-2000,-77,-56,-1425,-180,0,-77
2022-09-30,967,151,-548,-397,-299,-498,1286,-80,454,1107,-122,234,-35,77,-2,0,-2,-448,-448,-68,-54,-572,618,0,-68
2022-06-30,809.00000,148.00000,-122.00000,26.00000,-1584.00000,-955.00000,1006.00000,-94.00000,-1590.00000,-941.00000,-100.00000,239.00000,-100.00000,39.00000,-2.00000,,-2.00000,-909.00000,-909.00000,-71.00000,-199.00000,-1181.00000,-1595.00000,,-71.00000
2022-03-31,405,337,265,602,82,490,1190,-27,1802,2887,-155,381,-43,183,-2,-372,-374,-1484,-1484,-71,-60,-1989,776,0,-71
2021-12-31,39,185,749,934,386,-495,181,56,264,1377,-101,16,-30,-115,-10,372,362,-651,-651,-72,-77,-438,626,0,-72
2021-09-30,310,195,641,836,-1266,-263,2040,-96,509,1792,-120,93,-31,-58,-1320,0,-1320,-224,-224,-65,-134,-1743,-2,0,-65
2021-06-30,533.00000,218.00000,475.00000,693.00000,-1045.00000,-901.00000,-609.00000,-90.00000,-2699.00000,-1622.00000,-159.00000,82.00000,-22.00000,-99.00000,-2.00000,,-2.00000,-937.00000,-937.00000,-69.00000,-1143.00000,-2151.00000,-3861.00000,,-69.00000
2021-03-31,713,227,821,1048,-355,-230,2507,-71,1501,3370,-214,73,-64,-205,-10,-152,-162,-205,-205,-67,-83,-517,2664,0,-67
2020-12-31,-6174,359,-1305,-946,519,-650,65,7961,8137,1213,-162,291,-61,68,-525,152,-373,-236,-236,-69,-97,-775,492,0,-69
2020-09-30,627,326,-24,302,-1310,-1634,2909,-96,-265,1021,-148,-2,2,-148,-3,0,-3,-230,-230,-66,-163,-462,376,0,-66
2020-06-30,494.00000,217.00000,75.00000,292.00000,2291.00000,238.00000,-4214.00000,-89.00000,-1698.00000,-1062.00000,-117.00000,3.00000,-16.00000,-130.00000,-2.00000,,-2.00000,21.00000,21.00000,-74.00000,116.00000,61.00000,-1159.00000,,-74.00000
2020-03-31,1078,257,-4,253,-1450,313,4881,-377,3348,4654,-168,-5,3,-170,-290,-2109,-2399,41,41,-72,-50,-2480,1958,0,-72
2019-12-31,242,329,351,680,-178,-1020,274,0,-983,-121,-154,1,29,-124,-3,1561,1558,-488,-488,-74,-47,949,709,0,-74
2019-09-30,-677,241,1138,1379,195,186,-1330,0,-961,-108,-73,-47,-36,-156,-3,548,545,-695,-695,-73,-108,-331,-591,0,-73
2019-06-30,477.00000,234.00000,19.00000,253.00000,-1061.00000,145.00000,127.00000,,-707.00000,-51.00000,-111.00000,-45.00000,27.00000,-129.00000,-2.00000,,-2.00000,-679.00000,-679.00000,-75.00000,-116.00000,-872.00000,-1034.00000,,-75.00000
2019-03-31,-744,1643,-34,1609,576,388,1801,0,2801,3895,-152,62,-140,-230,-1112,-1049,-2161,-222,-222,-76,-85,-2544,1132,0,-76
2018-12-31,526,299,182,481,162,-358,-1022,0,-1250,-177,-157,-26,15,-168,1099,-347,752,-492,-492,-77,-64,119,-269,0,-77
2018-09-30,553,241,-10,231,-291,-284,1165,0,552,1379,-103,-14,9,-108,0,-638,-638,-565,-565,-68,-72,-1343,-81,0,-68
2018-06-30,-80.00000,845.00000,1.00000,846.00000,-1414.00000,-114.00000,32.00000,,-1557.00000,-1061.00000,-145.00000,-826.00000,96.00000,-875.00000,,2031.00000,2031.00000,-285.00000,-285.00000,-71.00000,-134.00000,1541.00000,-473.00000,,-71.00000
2018-03-31,-1085,1932,-47,1885,2221,952,-932,0,2223,3024,-188,-869,16,-1041,-332,-749,-1081,-740,-740,-70,-46,-1937,53,0,-70
2017-12-31,961,234,-1013,-779,-234,-193,-605,0,-429,-18,-137,60,-10,-87,0,445,445,-219,-219,-71,-30,125,54,0,-71
2017-09-30,56,775,-36,739,-449,-1158,1345,0,-158,598,-137,-225,95,-267,-4,302,298,-345,-345,-59,-35,-141,224,0,-59
2017-06-30,365.00000,227.00000,238.00000,465.00000,-363.00000,-59.00000,463.00000,,23.00000,741.00000,-118.00000,-1485.00000,5.00000,-1598.00000,-541.00000,-181.00000,-722.00000,-273.00000,-273.00000,-62.00000,-74.00000,-1131.00000,-1913.00000,,-62.00000
2017-03-31,3623,247,-3018,-2771,-108,694,179,-92,767,1435,-193,259,284,350,615,-1228,-613,-220,-220,-61,-30,-924,876,-109,-61
2016-12-31,646,204,132,336,3,-536,-281,196,-717,381,-129,-2126,-18,-2273,-386,1405,1019,-1988,-1988,-63,1,-1031,-3030,30,-63
2016-09-30,324,507,-109,398,-357,283,623,-141,464,1069,-126,-219,153,-192,-5,0,-5,39,39,-63,-3,-32,805,79,-63
2016-06-30,560.00000,242.00000,220.00000,462.00000,-300.00000,-121.00000,1549.00000,-113.00000,1110.00000,1859.00000,-114.00000,-1920.00000,880.00000,-1154.00000,-1.00000,-7.00000,-8.00000,-22.00000,-22.00000,-66.00000,14.00000,-82.00000,611.00000,,-66.00000
2016-03-31,444,222,42,264,-290,1146,1607,-54,2217,3106,-464,195,-1060,-1329,-602,9,-593,-626,-626,-65,78,-1206,642,10,-65
2015-12-31,647,220,206,426,-630,-928,-265,192,-1720,-685,61,-218,-2,-159,-498,-136,-634,-330,-330,-65,-28,-1057,-1953,35,-65
2015-09-30,630,222,105,327,-288,-834,957,-132,-299,797,-154,115,-13,-52,-402,3,-399,-466,-466,-55,-67,-987,-276,78,-55
2015-06-30,589.00000,229.00000,83.00000,312.00000,-749.00000,-635.00000,1003.00000,-126.00000,-302.00000,454.00000,-120.00000,78.00000,25.00000,-17.00000,-96.00000,-3.00000,-99.00000,-67.00000,-67.00000,-59.00000,22.00000,-203.00000,294.00000,,-59.00000
2015-03-31,144,472,442,914,-6,436,644,-122,933,1883,-146,-130,38,-238,-120,-156,-276,-307,-307,-56,-77,-716,754,47,-56
2014-12-31,511,248,31,279,-1284,-1458,2611,234,-34,1064,-129,8,-11,-132,-2,-114,-116,48,48,-56,40,-84,783,45,-56
2014-09-30,477,258,157,415,-838,-229,96,-119,-1022,-17,-154,-19,-22,-195,-6,60,54,29,29,-56,-28,-1,-301,82,-56
2014-06-30,411.00000,280.00000,249.00000,529.00000,-693.00000,-893.00000,1367.00000,-134.00000,-487.00000,182.00000,-116.00000,-14.00000,18.00000,-112.00000,-222.00000,158.00000,-64.00000,-68.00000,-68.00000,-59.00000,24.00000,-167.00000,-88.00000,,-59.00000
2014-03-31,365,240,209,449,7,205,1831,-69,2041,2664,-120,-4518,14,-4624,3776,-52,3724,25,25,-60,3,3692,1762,45,-60
2013-12-31,65,163,136,299,-482,-1152,237,220,-1029,-341,-100,97,-145,-148,0,0,0,31,31,-55,-12,-36,-529,42,-55
2013-09-30,404,170,186,356,-254,-175,-245,-116,-818,97,-98,-42,50,-90,0,0,0,68,68,-46,14,36,55,73,-46
2013-06-30,424.00000,162.00000,130.00000,292.00000,-139.00000,-60.00000,589.00000,-116.00000,305.00000,716.00000,-101.00000,-74.00000,-9.00000,-184.00000,,,,-77.00000,-77.00000,-53.00000,57.00000,-73.00000,449.00000,,-53.00000
2013-03-31,259,198,399,597,251,253,953,-116,1333,2207,-144,-1296,15,-1425,-237,0,-237,-747,-747,-47,-7,-1038,-270,44,-47
2012-12-31,298,131,143,274,-144,-332,-454,-106,-1008,-183,-98,-326,-9,-433,812,0,812,-248,-248,-47,-2,515,-105,41,-47
2012-09-30,401,127,89,216,-237,23,309,262,381,1011,-80,-143,22,-201,80,0,80,-43,-43,-47,2,-8,818,82,-47
2012-06-30,380.00000,125.00000,-47.00000,78.00000,448.00000,-4.00000,-933.00000,-84.00000,-715.00000,-552.00000,-78.00000,-108.00000,36.00000,-150.00000,,-400.00000,-400.00000,-10.00000,-10.00000,-53.00000,38.00000,-425.00000,-1136.00000,,-53.00000
2012-03-31,521,85,264,349,-193,318,401,-25,349,1234,-91,-847,-134,-1072,-407,400,-7,-1157,-1157,-49,5,-1208,-1042,41,-49
2011-12-31,300,137,89,226,-140,-931,756,-69,-342,321,-80,-10,9,-81,-6,0,-6,40,40,-49,3,-12,248,35,-49
2011-09-30,296,136,129,265,-240,34,435,241,556,1069,-118,-88,11,-195,-1,0,-1,31,31,-50,3,-17,827,39,-50
2011-06-30,286.00000,135.00000,74.00000,209.00000,-195.00000,-303.00000,445.00000,-50.00000,-60.00000,326.00000,-109.00000,-106.00000,61.00000,-154.00000,-16.00000,,-16.00000,-621.00000,-621.00000,-47.00000,16.00000,-668.00000,-496.00000,39.00000,-47.00000
2011-03-31,422,144,194,338,-475,345,481,-40,344,1000,-120,0,-38,-158,-41,0,-41,-373,-373,-45,14,-445,399,38,-45
2010-12-31,155,114,125,239,-53,-640,469,260,36,540,-86,-258,-27,-371,0,0,0,43,43,-46,-17,-20,163,33,-46
2010-09-30,327,118,118,236,-317,690,-497,-109,-233,270,-95,75,4,-16,0,0,0,-337,-337,-47,-89,-473,-215,33,-47
2010-06-30,298.00000,120.00000,45.00000,165.00000,172.00000,-28.00000,80.00000,-69.00000,155.00000,528.00000,-87.00000,,8.00000,-79.00000,,,,-1016.00000,-1016.00000,-33.00000,146.00000,-903.00000,-466.00000,33.00000,-33.00000
2010-03-31,348,124,123,247,282,-577,209,-30,-28,591,-107,1,0,-106,-218,-1,-219,52,52,-33,16,-184,303,31,-33
2009-12-31,326,126,-258,-132,-466,-229,320,251,-124,192,-82,-18,89,-11,0,0,0,51,51,-32,11,30,213,30,-32
2009-09-30,301,113,51,164,-250,66,455,-110,161,626,-103,0,-3,-106,0,0,0,53,53,-32,15,36,571,29,-32
2009-06-30,288.00000,111.00000,102.00000,213.00000,301.00000,-42.00000,356.00000,-84.00000,531.00000,907.00000,-86.00000,,,-86.00000,,,,-267.00000,-267.00000,-34.00000,-2.00000,-303.00000,535.00000,24.00000,-34.00000
2009-03-31,823,441,733,1174,-708,370,-189,-55,-629,1351,-392,-295,-40,-727,695,0,695,-405,-405,-116,4,178,747,99,-116
