,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2080,382,-1416,-1034,425,-34,458,1255,2251,-577,0,0,0,-1,-578,0,0,0,-493,-493,-266,-3,-762,911,27,-266
2022-09-30,915,327,-342,-15,451,-73,-497,406,1335,-196,0,0,0,1,-195,0,0,0,-371,-371,-267,-5,-643,497,30,-267
2022-06-30,946,330,-508,-178,-674,-71,5,-1007,-197,-263,0,0,0,44,-219,0,0,0,-322,-322,-268,1,-589,-1005,24,-268
2022-03-31,955.00000,303.00000,-517.00000,-214.00000,-246.00000,-27.00000,-610.00000,-1254.00000,-488.00000,-244.00000,,,,-5.00000,-249.00000,,,,-318.00000,-318.00000,-251.00000,-50.00000,-619.00000,-1356.00000,18.00000,-251.00000
2021-12-31,2710,331,-1930,-1599,123,61,242,305,1442,-733,0,0,0,-8,-741,0,0,0,-981,-981,-246,1,-1226,-525,23,-246
2021-09-30,1063,314,-259,55,320,-9,-304,40,1163,-219,0,0,0,-4,-223,0,0,0,-581,-581,-251,6,-826,114,31,-251
2021-06-30,1037,300,-410,-110,-200,-3,109,146,1028,-174,0,0,0,0,-174,-36,0,-36,-143,-143,-248,-3,-430,424,22,-248
2021-03-31,2195.00000,294.00000,-2271.00000,-1977.00000,-253.00000,-101.00000,-395.00000,-310.00000,-66.00000,-205.00000,3400.00000,,,1.00000,3196.00000,-2200.00000,,-2200.00000,-2000.00000,-2000.00000,-238.00000,-82.00000,-4520.00000,-1390.00000,18.00000,-238.00000
2020-12-31,330,345,-73,272,347,88,521,1043,1602,-387,0,0,0,4,-383,-1000,-65,-1065,0,0,-242,0,-1307,-88,29,-242
2020-09-30,986,317,-10,307,31,-21,-366,82,1359,-287,0,0,0,-2,-289,0,0,0,0,0,-242,-11,-253,817,25,-242
2020-06-30,1005,308,-446,-138,147,-47,623,1502,2337,-269,0,0,0,0,-269,-27,-750,-777,-146,-146,-242,-3,-1168,900,18,-242
2020-03-31,868.00000,297.00000,174.00000,471.00000,-810.00000,-2.00000,-765.00000,-2400.00000,-993.00000,-272.00000,,,,2.00000,-270.00000,2239.00000,737.00000,2976.00000,-344.00000,-344.00000,-227.00000,-109.00000,2296.00000,1033.00000,18.00000,-227.00000
2019-12-31,-409,341,606,947,785,21,868,1942,2464,-471,0,0,0,49,-422,0,-399,-399,-300,-300,-222,-3,-924,1118,34,-222
2019-09-30,933,318,14,332,-279,0,-290,-110,1139,-257,0,0,0,7,-250,-500,89,-411,-213,-213,-223,-3,-850,39,38,-223
2019-06-30,861,304,44,348,334,-32,-67,402,1607,-252,0,0,0,-3,-255,20,-733,-713,-171,-171,-224,-4,-1112,240,29,-224
2019-03-31,863.00000,302.00000,59.00000,361.00000,-718.00000,-124.00000,-924.00000,-2106.00000,-913.00000,-284.00000,,,,4.00000,-280.00000,-20.00000,814.00000,794.00000,-60.00000,-60.00000,-211.00000,-61.00000,462.00000,-731.00000,26.00000,-211.00000
2018-12-31,356,266,618,884,254,65,418,1099,2377,-463,0,0,0,5,-458,0,-307,-307,-1054,-1054,-205,-2,-1568,351,4,-205
2018-09-30,1244,253,255,508,93,-29,-947,-886,812,-282,0,0,0,21,-261,-726,250,-476,-168,-168,-209,-9,-862,-311,29,-209
2018-06-30,789,159,105,264,42,-36,-326,-163,875,-199,-7657,0,0,4,-7852,-1536,-65,-1601,-41,-41,-209,-2,-1853,-8830,34,-209
2018-03-31,840.00000,122.00000,-3.00000,119.00000,-187.00000,-37.00000,-581.00000,-1198.00000,-237.00000,-305.00000,,,,-2.00000,-307.00000,-14.00000,,-14.00000,,,-198.00000,-100.00000,-312.00000,-856.00000,19.00000,-198.00000
2017-12-31,1021,152,391,543,159,45,-551,44,1607,-278,0,0,0,18,-260,8245,-13,8232,0,0,-174,-58,8000,9347,28,-174
2017-09-30,643,110,149,259,141,34,-247,32,938,-217,0,0,0,14,-203,0,0,0,-26,-26,-174,-40,-240,495,24,-174
2017-06-30,555,109,-5,104,-192,-27,-30,-126,507,-217,0,0,0,5,-212,0,0,0,-138,-138,-175,-2,-315,-20,25,-175
2017-03-31,650.00000,104.00000,8.00000,112.00000,-317.00000,-27.00000,-632.00000,-1181.00000,-439.00000,-216.00000,,,,2.00000,-214.00000,,,,-229.00000,-229.00000,-166.00000,-90.00000,-485.00000,-1138.00000,17.00000,-166.00000
2016-12-31,368,134,935,1069,876,-67,-877,172,1531,-312,0,0,0,112,-200,670,0,670,-398,-398,-158,-7,107,1438,32,-158
2016-09-30,602,113,100,213,-183,184,-42,-53,738,-137,0,0,0,1,-136,0,0,0,-467,-467,-160,-11,-638,-36,24,-160
2016-06-30,517,106,-31,75,-133,-81,115,29,604,-173,0,0,0,2,-171,0,0,0,-400,-400,-163,-8,-571,-138,23,-163
