,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-3543,-879,644,-235,554,81,-175,37,248,1413,-1387,974,0,0,0,-204,-617,-77,-77,-539,-539,-194,-9,-819,-23,-205
2022-09-30,530,310,398,708,-35,-63,-31,-52,-134,1104,-404,-563,0,0,0,57,-910,245,245,-332,-332,-119,-2,-208,-14,-119
2022-06-30,1067,278,41,319,-264,25,188,16,149,1535,-404,0,0,0,0,-46,-450,-605,-605,-291,-291,-144,3,-1037,48,-133
2022-03-31,1946.00000,291.00000,-1083.00000,-792.00000,-255.00000,-43.00000,18.00000,-1.00000,-263.00000,891.00000,388.00000,,,,,78.00000,466.00000,-1032.00000,-1032.00000,-261.00000,-261.00000,-112.00000,-20.00000,-1425.00000,-68.00000,-112.00000
2021-12-31,485,332,145,477,-121,10,26,82,95,1085,-553,256,0,0,0,6,-291,102,102,-847,-847,-66,-58,-869,-75,-100
2021-09-30,-30,335,561,896,-100,-39,62,-30,-95,771,-177,0,0,0,0,28,-149,-1335,-1335,0,0,-163,4,-1494,-872,-152
2021-06-30,408,351,-2,349,3,23,82,21,212,969,-127,0,0,0,0,1,-126,-79,-79,0,0,-53,0,-132,711,-30
2021-03-31,450.00000,342.00000,54.00000,396.00000,-168.00000,-3.00000,75.00000,-13.00000,-175.00000,671.00000,-253.00000,,,,,-14.00000,-267.00000,-58.00000,-58.00000,,,-49.00000,-21.00000,-128.00000,276.00000,-49.00000
2020-12-31,55,390,-47,343,-53,3,44,-44,-2,498,-301,166,0,0,0,-55,-190,-156,-156,1,1,-40,-13,-208,100,-40
2020-09-30,41,398,-38,360,19,-9,-64,20,-97,304,-233,0,0,0,0,-126,-359,131,131,0,0,-30,-19,82,27,-30
2020-06-30,-378,418,110,528,-38,-5,-67,19,-66,84,-335,0,0,0,0,-73,-408,76,76,0,0,-18,-27,31,-293,-18
2020-03-31,-4622.00000,566.00000,4579.00000,5145.00000,221.00000,30.00000,-80.00000,-19.00000,-21.00000,502.00000,-405.00000,,,,,-104.00000,-509.00000,322.00000,322.00000,,,-126.00000,-8.00000,188.00000,181.00000,-126.00000
2019-12-31,-3247,721,3381,4102,9,-25,77,-20,-42,778,-485,0,0,0,0,-178,-663,161,161,2,2,-164,-30,-31,84,-164
2019-09-30,-117,711,7,718,28,0,-16,9,-1,635,-339,0,0,0,0,-612,-951,85,85,0,0,-165,10,-70,-386,-165
2019-06-30,-316,602,392,994,88,17,-16,22,178,856,-565,0,0,0,0,-329,-894,-170,-170,0,0,-151,581,260,222,-151
2019-03-31,-2.00000,646.00000,92.00000,738.00000,8.00000,-33.00000,-50.00000,-17.00000,-138.00000,598.00000,-854.00000,,,,,-84.00000,-938.00000,159.00000,159.00000,,,-201.00000,-5.00000,-47.00000,-387.00000,-201.00000
2018-12-31,-350,634,568,1202,263,1,-33,-48,191,1043,-981,0,0,0,0,-123,-1104,0,0,-305,-305,-184,671,182,121,-184
2018-09-30,161,610,203,813,-12,2,64,-39,32,1006,-904,0,0,0,0,-22,-926,-228,-228,0,0,-197,-34,-459,-379,-197
2018-06-30,269,608,79,687,-36,24,-20,109,196,1113,-1013,0,0,0,0,-11,-1024,0,0,0,0,-182,-12,-194,-105,-182
2018-03-31,206.00000,553.00000,-9.00000,544.00000,-65.00000,-33.00000,66.00000,-3.00000,-174.00000,615.00000,-868.00000,,,,,-22.00000,-890.00000,-150.00000,-150.00000,,,-164.00000,-2.00000,-316.00000,-591.00000,-164.00000
2017-12-31,518,573,-369,204,-200,15,61,-37,-92,668,-748,0,0,0,0,-45,-793,0,0,0,0,-148,-1,-149,-274,-148
2017-09-30,105,559,-95,464,-132,-3,39,-26,-101,554,-513,433,0,0,0,-14,-94,0,0,0,0,-137,-48,-185,275,-137
2017-06-30,613,572,-628,-56,103,8,19,-71,148,751,-654,228,0,0,0,-10,-436,0,0,0,0,-208,39,-169,146,-208
2017-03-31,267.00000,576.00000,-147.00000,429.00000,-41.00000,12.00000,-56.00000,-15.00000,-275.00000,455.00000,-87.00000,,,,,-6.00000,-93.00000,-70.00000,-70.00000,,,-152.00000,4.00000,-218.00000,144.00000,-152.00000
2016-12-31,-143,623,1,624,-66,-25,30,155,152,796,-406,0,0,0,0,108,-298,-180,-180,0,0,-173,2,-351,147,-173
2016-09-30,-559,648,622,1270,-45,-3,25,64,31,651,-414,0,0,0,0,18,-396,-1,-1,0,0,-217,-8,-226,29,-217
2016-06-30,-200,669,37,706,102,-9,-43,68,202,744,-430,0,0,0,0,19,-411,0,0,0,0,-133,-3,-136,197,-133
2016-03-31,-371.00000,678.00000,109.00000,787.00000,135.00000,10.00000,-75.00000,-161.00000,-232.00000,239.00000,-565.00000,,,,,10.00000,-555.00000,,,,,-149.00000,2.00000,-147.00000,-463.00000,-149.00000
2015-12-31,-4428,808,4342,5150,78,-33,-26,-229,-475,174,-759,0,0,391,391,105,-263,0,0,0,0,-126,27,-99,-188,-126
2015-09-30,-4136,872,4108,4980,252,-20,-53,4,-213,711,-895,0,0,0,0,-32,-927,-939,-939,0,0,-151,11,-1079,-1295,-151
2015-06-30,2533,-6682,4351,-2331,86,52,-220,300,927,1132,-1105,854,0,0,0,4642,4391,-2598,-2598,0,0,-114,0,-2712,2811,-114
2015-03-31,-4636.00000,8302.00000,-2694.00000,5608.00000,247.00000,22.00000,-190.00000,-194.00000,-319.00000,650.00000,-1781.00000,,,,,-337.00000,-2118.00000,1028.00000,1028.00000,,,-115.00000,15.00000,928.00000,-540.00000,-115.00000
2014-12-31,-7725,-667,9923,9256,166,-105,52,58,-142,1429,-4525,1262,0,0,0,1814,-1449,322,322,-34,-34,-110,11,189,169,-110
2014-09-30,-1241,2735,824,3559,200,87,-137,-282,-139,1896,-2891,0,0,0,0,441,-2450,1247,1247,-567,-567,-153,13,540,-14,-153
2014-06-30,613,1252,458,1710,2,-98,39,-14,-37,2339,-372,0,0,0,0,-2170,-2542,1,1,-779,-779,-163,25,-916,-1119,-163
2014-03-31,334.00000,1206.00000,805.00000,2011.00000,389.00000,85.00000,-170.00000,-29.00000,-11.00000,2293.00000,-2706.00000,,,,,757.00000,-1949.00000,-2.00000,-2.00000,-484.00000,-484.00000,-79.00000,-42.00000,-607.00000,-263.00000,-79.00000
2013-12-31,230,1209,591,1800,154,-24,103,202,337,2477,-1097,108,0,0,0,-1793,-2782,-1142,-1142,-748,-748,-80,2930,960,655,-80
2013-09-30,306,1995,45,2040,-171,-8,-12,-178,-744,1978,-2611,3733,0,0,0,-92,1030,-1884,-1884,0,0,-97,40,-1941,1067,-97
2013-06-30,1035,1350,433,1783,141,-83,139,-59,164,2759,-2776,0,0,0,0,4,-2772,290,290,-249,-249,-97,5,-51,-64,-97
2013-03-31,717.00000,1312.00000,293.00000,1605.00000,-19.00000,50.00000,56.00000,195.00000,262.00000,2621.00000,-2765.00000,257.00000,,,,-84.00000,-2592.00000,155.00000,155.00000,,,-86.00000,-10.00000,59.00000,88.00000,-86.00000
2012-12-31,668,1180,745,1925,-100,-89,-252,88,-672,2082,-2490,-317,0,439,439,-496,-2864,671,671,-2,-2,-86,41,624,-158,-86
2012-09-30,180,2029,201,2230,-362,5,281,-375,-793,1623,-2749,-116,0,0,0,-109,-2974,1396,1396,0,0,-85,-3,1308,-43,-85
2012-06-30,356,1932,52,1984,572,-43,-46,-23,414,2792,-2231,-2472,0,0,0,-241,-4944,2365,2365,2,2,-84,-15,2268,116,-84
