,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,75.03500,29.38200,40.88700,70.26900,105.51200,-43.20900,35.61700,180.92100,-9.18000,0.00000,-0.15400,,,,-10.79500,-20.12900,-0.21700,,-0.21700,,,-53.77300,-53.99000,115.41800,41.50400
2022-09-30,106.837,30.435,80.628,111.063,-190.234,15.206,-179.401,38.499,-9.517,-0.998,-7.969,0,0,0,10.222,-8.262,-0.058,-75,-75.058,10.35,10.35,-6.135,-70.843,-50.155,41.58
2022-06-30,70.476,30.601,16.084,46.685,12.918,-48.88,-0.395,116.766,-4.469,-0.999,-242.456,0,4.213,4.213,6.735,-236.976,0,159,159,0,0,-12.261,146.739,15.614,49.42
2022-03-31,89.679,30.056,82.697,112.753,-45.006,38.594,-60.107,142.325,-2.148,-4.004,0,0,42.693,42.693,4.835,41.376,0,-175,-175,5.596,5.596,-1.43,-170.834,10.789,37.921
2021-12-31,46.08900,30.94800,35.90300,66.85100,57.31600,-40.00400,24.79600,137.73600,-3.36200,-0.45000,,,,,6.47300,2.66100,-0.23900,,-0.23900,-119.73900,-119.73900,-49.16500,-169.14300,-30.40700,45.94200
2021-09-30,292.943,31.833,-183.814,-151.981,-115.308,-33.752,-95.641,45.321,-13.051,0,-0.251,-56.17,54.17,-2,2.256,-13.046,-0.075,-40,-40.075,-18.909,-18.909,-10.742,-69.726,-39.224,43.393
2021-06-30,51.203,31.576,42.68,74.256,5.744,-51.44,-37.425,88.034,-3.42,0,-0.581,9.861,-10.861,-1,0.512,-4.489,0,-30,-30,0,0,-14.973,-44.973,39.675,43.068
2021-03-31,109.262,30.899,44.351,75.25,-20.169,10.855,-62.82,121.692,-5.385,0,-717.198,46.309,-46.309,0,5.556,-717.027,0,520,520,10.484,10.484,-2.742,527.742,-72.603,44.74
2020-12-31,23.51500,28.22600,45.75700,73.98300,10.31500,-41.71700,16.26400,113.76200,-2.85700,-0.55000,,2.29900,55.17000,57.46900,-7.35900,46.70300,-0.27900,-18.00000,-18.27900,,,-24.50000,-42.77900,123.23900,46.08800
2020-09-30,53.406,29.36,16.522,45.882,-87.027,3.87,-65.314,33.974,-4.784,0,-14.958,-1.532,0,-1.532,-7.692,-28.966,0,-120,-120,9.402,9.402,-0.532,-111.13,-101.97,41.544
2020-06-30,34.678,30.808,24.094,54.902,34.475,-22.099,14.925,104.505,-5.169,-11.05,0,-1.636,1.521,-0.115,-3.929,-20.263,-500,-10.125,-510.125,0,0,-25.478,-535.603,-449.748,25.185
2020-03-31,7.156,30.991,20.012,51.003,-14.127,27.422,29.658,87.817,-5.536,0,-0.771,-0.087,0,-0.087,3.07,-3.324,1000,-480,520,8.98,8.98,-15.983,512.997,589.759,20.484
2019-12-31,35.45500,28.34500,26.71300,55.05800,34.31400,-59.09100,-83.00100,7.51200,-4.70700,,-467.74900,-0.09300,,-0.09300,-0.87000,-473.41900,,455.00000,455.00000,,,-23.85400,431.14600,-32.77000,27.93600
2019-09-30,9.826,19.19,15.073,34.263,-58.808,33.506,11.127,55.216,-4.832,0,0,-2.778,0,-2.778,5.166,-2.444,0,-30,-30,-16.182,-16.182,-0.175,-46.357,1.707,14.792
2019-06-30,-14.758,19.076,12.234,31.31,33.753,5.83,51.033,67.585,-8.311,0,-17.284,1.96,0,1.96,4.395,-19.24,0,-40,-40,-25.001,-25.001,-9.7,-74.701,-26.45,15.234
2019-03-31,-43.513,19.505,27.251,46.756,30.476,92.156,137.887,141.13,-20.936,0,0.103,-0.504,-7.5,-8.004,1.709,-27.128,0,-40,-40,-56.196,-56.196,-0.703,-96.899,17.299,26.967
2018-12-31,20.98500,20.05300,29.40200,49.45500,24.02500,-14.45100,-49.22600,21.21400,-30.33200,,-69.55600,0.27100,,0.27100,-1.59500,-101.21200,,135.00000,135.00000,-4.64000,-4.64000,-35.36300,94.99700,17.04000,29.40700
2018-09-30,13.191,22.105,-25.402,-3.297,-0.799,-24.613,52.066,61.96,-17.375,0,0,-1.748,0,-1.748,0,-19.123,0,-50,-50,8.182,8.182,-3.953,-45.771,-7.135,30.924
2018-06-30,16.997,22.576,16.751,39.327,-10.832,19.33,-7.13,49.194,-7.527,0,0,1.131,-1,0.131,0,-7.396,0,50,50,-100,-100,-15.429,-65.429,-33.077,16.658
2018-03-31,7.922,21.681,16.876,38.557,10.424,40.115,64.604,111.083,-4.762,-0.5,-3,-5.046,0,-5.046,0,-13.308,0,-100,-100,7.472,7.472,-0.454,-92.982,8.032,17.026
2017-12-31,13.87700,21.04600,18.69200,39.73800,21.60300,17.62600,-28.10000,25.51500,-6.37700,-2.50000,,-0.50800,,-0.50800,,-9.38500,,30.00000,30.00000,,,-36.66400,-6.66400,12.06400,18.33100
2017-09-30,17.435,22.555,-6.984,15.571,-22.081,-28.612,-0.266,32.74,-6.111,0,0,-0.208,0,-0.208,0,-6.319,0,0,0,-9.197,-9.197,-0.41,-9.607,19.277,20.569
2017-06-30,-0.951,21.504,17.371,38.875,19.54,26.939,35.989,73.913,-4.544,0,-4.96,-2.013,0,-2.013,0,-11.517,0,0,0,-34.994,-34.994,-15.421,-50.415,17.379,16.574
2017-03-31,-1.104,21.229,21.726,42.955,-5.811,35.948,34.575,76.426,-7.689,0,0,1.28,13.716,14.996,0,7.307,0,-20,-20,3.978,3.978,-0.727,-16.749,69.949,21.577
2016-12-31,-9.14100,21.45400,18.57800,40.03200,21.18400,-40.24700,-78.76700,-47.87600,-7.10000,,,,1.50200,1.50200,,-5.59800,,-20.00000,-20.00000,,,-21.33400,-41.33400,-104.56800,17.98800
2016-09-30,-28.473,21.833,-29.193,-7.36,-5.882,-25.459,49.498,13.665,-9.557,0,-1.611,-44.605,44.045,-0.56,0,-11.728,-670,650,-20,0.002,0.002,-0.493,-20.491,-16.691,14.175
2016-06-30,3.073,21.817,13.8,35.617,-5.118,26.698,20.767,59.457,-7.766,0,0,0,-44.605,-44.605,0,-52.371,500,-560,-60,0.018,0.018,-20.207,-80.189,-73.83,13.796
2016-03-31,-5.173,22.291,14.995,37.286,28.398,21.912,16.772,48.885,-4.681,0,-99.411,0,0,0,0,-104.092,120,0,120,0,0,-0.638,119.362,71.659,14.836
2015-12-31,-23.89200,20.61300,23.17800,43.79100,35.21900,-0.88400,41.35500,61.25400,-4.18500,,-64.78000,,,,,-68.96500,50.00000,,50.00000,0.00100,0.00100,-17.07700,32.92400,23.38000,23.18900
2015-09-30,-5.554,20.978,-37.199,-16.221,-15.183,18.113,9.215,-12.56,-9.991,0,0,0,0,0,0,-9.991,0,43.75,43.75,-14.975,-14.975,-4.318,24.457,-1.643,12.047
2015-06-30,17.435,21.25,14.253,35.503,22.195,13.58,33.901,86.839,-6.53,0,-98.591,0,-10,-10,0,-115.121,0,93.75,93.75,-49.93,-49.93,-7.487,36.333,7.245,14.071
2015-03-31,5.392,20.968,12.992,33.96,-3.089,35.621,52.64,91.992,-6.16,0,0,0,0,0,0,-6.16,0,-75,-75,0.003,0.003,-0.195,-75.192,6.763,12.822
2014-12-31,30.28400,21.23700,10.90800,32.14500,25.80000,-20.72600,-48.79700,13.63200,-7.94700,,0.18000,,-1.00000,-1.00000,,-8.76700,,-6.25000,-6.25000,0.00300,0.00300,-21.50600,-27.75300,-32.60200,11.24200
2014-09-30,38.755,20.008,-8.38,11.628,-7.071,-33.482,0.782,51.165,-8.554,0,-212.006,0,0,0,0,-220.56,0,296.875,296.875,-124.924,-124.924,-3.066,168.885,-10.519,13.027
2014-06-30,38.026,19.026,10.271,29.297,-2.112,23.123,39.1,106.423,-6.379,0,0,0,0,0,0,-6.379,0,-3.125,-3.125,-59.865,-59.865,-3.628,-66.618,33.703,12.532
2014-03-31,43.756,19.173,11.815,30.988,-2.536,34.797,35.978,110.722,-4.568,0,-111.519,0,0,0,0,-116.087,0,-50,-50,-39.6,-39.6,-5.104,-94.704,-100.907,12.566
2013-12-31,39.65700,19.10000,6.04900,25.14900,19.27300,-12.36800,-28.56400,36.24200,-5.77400,,,,,,,-5.77400,,110.00000,110.00000,0.35100,0.35100,-12.56100,97.79000,129.46400,12.76400
2013-09-30,56.466,19.119,-25.838,-6.719,-18.566,-27.39,-6.086,43.661,-10.2,0,-25.026,0,0,0,0.721,-34.505,0,-10,-10,-18.487,-18.487,0.141,-28.346,-15.118,13.907
2013-06-30,34.455,18.568,11.214,29.782,13.689,-9.758,20.353,84.59,-6.702,0,1.606,0,0,0,0,-5.096,0,-40,-40,-19.427,-19.427,-2.051,-61.478,16.222,11.177
2013-03-31,17.037,19.387,11.809,31.196,6.043,32.078,34.563,82.796,-5.033,0,0,0,0,0,0,-5.033,0,-60,-60,-16.926,-16.926,-3.432,-80.358,-7.583,11.81
2012-12-31,35.81100,19.47700,11.89300,31.37000,16.14200,-7.95000,-53.54500,13.63600,-7.39300,,-222.42300,,,,,-229.81600,,-1.87500,-1.87500,-15.14700,-15.14700,-9.32000,-26.34200,-241.15100,11.89300
2012-09-30,-83.985,16.319,115.778,132.097,-9.473,-40.533,-27.181,20.931,-8.907,0,0.95,0,0,0,0,-7.957,0,230,230,5.895,5.895,-1.154,234.741,251.496,11.9
2012-06-30,22.895,16.867,13.427,30.294,3.084,16.371,10.821,64.01,-5.882,0,0,0,0,0,0,-5.882,0,-20,-20,-18.778,-18.778,-1.428,-40.206,13.94,13.331
2012-03-31,3.569,16.259,12.499,28.758,25.403,29.323,64.222,96.549,-9.054,0,-0.29,0,0,0,0,-9.344,0,-40,-40,-8.056,-8.056,-6.501,-54.557,36.756,12.692
2011-12-31,22.12300,17.02600,13.33300,30.35900,13.29500,5.97300,-15.99700,36.48500,-7.57000,,-0.88000,,,,,-8.45000,,,,7.19600,7.19600,-12.51100,-5.31500,19.47300,13.38200
2011-09-30,37.621,17.847,-19.571,-1.724,-50.393,-24.773,-30.472,0.027,-9.522,0,-14.873,0,0,0,0,-24.395,0,-50,-50,-12.479,-12.479,0.33,-62.149,-92.873,12.944
2011-06-30,15.526,15.827,9.494,25.321,2.16,0.52,7.586,48.433,-6.735,0,-265.153,0,0,0,0,-271.888,0,250,250,-33.66,-33.66,1.681,218.021,1.247,11.56
2011-03-31,19.017,14.651,9.73,24.381,16.857,21.234,34.878,78.276,-6.148,0,0,0,0,0,0,-6.148,0,0,0,3.742,3.742,-4.52,-0.778,76.589,9.871
2010-12-31,13.26000,14.06900,10.79200,24.86100,-0.95800,-1.77000,-86.15900,-48.03800,-5.41200,,,,,,,-5.41200,,,,12.23200,12.23200,-16.90600,-4.67400,-57.33800,11.02700
2010-09-30,-13.215,14.644,33.858,48.502,-11.759,-45.725,-19.498,15.568,-5.045,0,-0.634,0,0,0,0,-5.679,0,0,0,4.264,4.264,-2.621,1.643,21.234,11.254
2010-06-30,10.718,15.639,11.624,27.263,2.467,18.986,12.387,50.368,-4.582,0,0,0,0,0,0,-4.582,0,-31.112,-31.112,-13.495,-13.495,-0.078,-44.685,-3.673,11.51
