,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-26404,-3545,1659,-1886,0,0,7605,7605,-20685,2235,0,6225,5491,1181,6672,-3760,11373,1609,-870,739,2000,2000,6738,342,9819,646,-508,6738
2022-09-30,8623,1183,278,1461,0,0,-4109,-4109,5974,-841,0,0,-3552,-83,-3635,3851,-627,0,-3521,-3521,0,0,-2245,5,-5761,-487,135,-2245
2022-06-30,9911,1175,-153,1022,0,0,-2766,-2766,8170,-751,0,0,-10011,-474,-10485,-78,-11313,0,4611,4611,0,0,-2244,154,2520,-688,287,-2244
2022-03-31,7870.00000,1187.00000,-1784.00000,-597.00000,,,-730.00000,-730.00000,6541.00000,-643.00000,,-6225.00000,8072.00000,-624.00000,7448.00000,-13.00000,567.00000,-1609.00000,-220.00000,-1829.00000,-2000.00000,-2000.00000,-2249.00000,-501.00000,-6578.00000,529.00000,86.00000,-2249.00000
2021-12-31,3392,1335,-749,586,-3811,-1125,5631,1937,5914,-1002,0,0,-1518,-127,-1645,61,-2586,-1003,-360,-1363,0,0,-2189,201,-3351,-50,496,-2189
2021-09-30,8158,1341,-5436,-4095,0,0,6765,6765,10829,-618,0,0,-8665,-489,-9154,-303,-10076,-4,763,759,0,0,-2185,324,-1101,-384,293,-2185
2021-06-30,5589,1308,-981,327,0,0,5383,5383,11299,-537,0,0,-7330,-32,-7362,-238,-8137,0,-474,-474,0,0,-2183,101,-2557,608,221,-2183
2021-03-31,4886.00000,1207.00000,-274.00000,933.00000,,,-1281.00000,-1281.00000,4538.00000,-554.00000,,,-1585.00000,229.00000,-1356.00000,163.00000,-1747.00000,,-25.00000,-25.00000,,,-2172.00000,-610.00000,-2807.00000,-15.00000,172.00000,-2172.00000
2020-12-31,857,1108,1113,2221,-1275,-778,4247,2549,5625,-813,0,0,-1557,-238,-1795,10938,8330,-1492,-10501,-11993,0,0,-2112,318,-13787,198,287,-2112
2020-09-30,1478,1208,204,1412,0,0,-800,-800,2090,-507,0,0,842,-4,838,149,481,-302,-345,-647,0,0,-2112,-60,-2821,-218,224,-2112
2020-06-30,3496,1199,-599,600,0,0,-541,-541,3555,-457,0,0,-1373,238,-1135,-11418,-13011,3953,-4086,-133,0,0,-2111,11402,9159,-351,187,-2111
2020-03-31,3364.00000,1166.00000,118.00000,1284.00000,,,-1515.00000,-1515.00000,3133.00000,-449.00000,,,290.00000,130.00000,420.00000,-43.00000,-71.00000,-940.00000,958.00000,18.00000,,,-2105.00000,-113.00000,-2200.00000,846.00000,57.00000,-2105.00000
2019-12-31,-572,1129,1543,2672,-1124,-1071,4205,1669,3769,-542,364,0,-2217,49,-2168,-488,-2833,-1000,530,-470,-303,-303,-1992,325,-2440,-1495,239,-1992
2019-09-30,7683,1553,-6206,-4653,0,0,1480,1480,4510,-565,-97,-10861,4835,-37,4798,-34,-6760,-451,5798,5347,55,55,-2004,-126,3273,1008,64,-2004
2019-06-30,5056,1528,-420,1108,0,0,-3553,-3553,2611,-479,-109,0,-1485,59,-1426,112,-1902,-2351,3425,1074,122,122,-2002,-46,-851,-180,199,-2002
2019-03-31,3889.00000,1545.00000,-238.00000,1307.00000,,,-3498.00000,-3498.00000,1698.00000,-460.00000,-158.00000,,8140.00000,-40.00000,8100.00000,67.00000,7550.00000,1938.00000,875.00000,2813.00000,-8739.00000,-8739.00000,-2045.00000,-495.00000,-8467.00000,792.00000,185.00000,-2045.00000
2018-12-31,-383,1407,1606,3013,-458,-432,2756,2107,4738,-627,-105,0,-3786,3776,-10,-21,-764,-462,924,462,-4870,-4870,-1963,-35,-6407,-2432,241,-1963
2018-09-30,4122,1614,-1287,327,0,0,809,809,5259,-547,-15,0,-2833,380,-2453,110,-2904,4974,-4184,790,-480,-480,-1994,278,-1406,846,303,-1994
2018-06-30,3879,1562,-1059,503,0,0,-535,-535,3847,-424,0,0,-1451,320,-1131,81,-1474,-2749,3065,316,102,102,-1989,-336,-1908,396,197,-1989
2018-03-31,3570.00000,1567.00000,-438.00000,1129.00000,,,-2715.00000,-2715.00000,1983.00000,-386.00000,-32.00000,,10057.00000,-29.00000,10028.00000,57.00000,9667.00000,-355.00000,-2148.00000,-2503.00000,-5691.00000,-5691.00000,-2032.00000,-495.00000,-10720.00000,985.00000,182.00000,-2032.00000
2017-12-31,12289,1574,-11726,-10152,259,-357,3556,4950,7089,-700,-73,0,-4303,165,-4138,152,-4759,-1679,29,-1650,206,206,-1909,-388,-3743,-1428,245,-1909
2017-09-30,2858,1566,236,1802,0,0,228,228,4889,-450,-147,0,-2480,2,-2478,64,-3011,-1,-66,-67,245,245,-1895,5,-1711,198,207,-1895
2017-06-30,3078,1574,215,1789,0,0,-1627,-1627,3240,-448,-41,-415,-762,-969,-1731,898,-1738,-3220,2051,-1169,98,98,-1910,-8,-2989,-1470,170,-1910
2017-03-31,3130.00000,1555.00000,-883.00000,672.00000,,,-2217.00000,-2217.00000,1584.00000,-358.00000,,-585.00000,5309.00000,844.00000,6153.00000,-443.00000,4768.00000,4020.00000,-2075.00000,1945.00000,-4687.00000,-4687.00000,-1945.00000,-220.00000,-4907.00000,1465.00000,218.00000,-1945.00000
2016-12-31,781,1549,2033,3582,-134,365,1312,1680,6041,-689,-80,-689,-2761,1113,-1648,20,-3087,2573,-2794,-221,73,73,-1821,-344,-2313,506,159,-1821
2016-09-30,1354,1396,385,1781,0,0,1600,1600,4737,-432,0,-13063,6236,2843,9079,34,-4381,0,-85,-85,250,250,-1821,-6,-1662,-1317,145,-1821
2016-06-30,2063,1387,1212,2599,0,0,-1057,-1057,3606,-401,-96,-4506,838,-533,305,20,-4678,2250,1142,3392,400,400,-1821,-54,1918,850,244,-1821
2016-03-31,3048.00000,1425.00000,-539.00000,886.00000,,,-2125.00000,-2125.00000,1808.00000,-301.00000,,-110.00000,4926.00000,-166.00000,4760.00000,6.00000,4355.00000,-1536.00000,1056.00000,-480.00000,-4704.00000,-4704.00000,-1854.00000,-132.00000,-7171.00000,-1080.00000,143.00000,-1854.00000
2015-12-31,-169,1424,1606,3030,21,-199,2197,2038,4898,-611,-51,-144,-847,-570,-1417,-2,-2224,4,396,400,98,98,-1729,-62,-1294,542,181,-1729
2015-09-30,2138,1272,1029,2301,0,0,582,582,5020,-289,-36,-15643,10624,88,10712,13,-5243,1,1421,1422,24,24,-1728,17,-263,-571,141,-1728
2015-06-30,2636,1201,248,1449,0,0,4,4,4090,-258,-5,-1,-925,-918,-1843,3,-2105,3,-370,-367,187,187,-1725,32,-1874,107,185,-1725
2015-03-31,2381.00000,1260.00000,-1078.00000,182.00000,,,-1883.00000,-1883.00000,680.00000,-239.00000,-7.00000,-678.00000,8399.00000,-1213.00000,7186.00000,330.00000,6592.00000,-2998.00000,2862.00000,-136.00000,-5206.00000,-5206.00000,-1758.00000,122.00000,-6978.00000,220.00000,162.00000,-1758.00000
2014-12-31,1236,1331,-113,1218,148,175,2030,3142,5599,-354,-42,0,-1184,44,-1140,22,-1514,-1324,915,-409,-901,-901,-1639,-179,-3127,905,162,-1639
2014-09-30,2673,1326,35,1361,0,0,430,430,4463,-275,-286,-195,421,-2237,-1816,37,-2535,-34,-55,-89,-1160,-1160,-1650,13,-2887,-968,143,-1650
2014-06-30,2921,1424,600,2024,0,0,-858,-858,4087,-278,-50,0,765,-2026,-1261,82,-1507,4491,-3726,765,-1165,-1165,-1658,18,-2040,544,138,-1658
2014-03-31,2338.00000,1456.00000,232.00000,1688.00000,,,-1091.00000,-1091.00000,2935.00000,-292.00000,-6.00000,,348.00000,-354.00000,-6.00000,206.00000,-98.00000,-752.00000,1028.00000,276.00000,-772.00000,-772.00000,-1662.00000,25.00000,-2133.00000,679.00000,143.00000,-1662.00000
2013-12-31,2574,1489,290,1779,940,-538,810,1371,5724,-417,-82,0,1185,-662,523,118,142,-1750,1786,36,-4267,-4267,-1554,41,-5744,131,105,-1554
2013-09-30,2599,1521,1065,2586,0,0,715,715,5900,-278,-50,0,466,-764,-298,23,-603,-2,-474,-476,-3559,-3559,-1590,-6,-5631,-384,126,-1590
