,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,123,97,13,110,85,-9,-42,320,368,601,-105,0,0,0,15,-90,-76,-24,-100,-11,-11,-50,0,-161,350,8,-50
2022-09-30,138,91,26,117,-40,22,40,-283,-274,-19,-77,0,0,0,0,-77,-100,0,-100,-14,-14,-48,0,-162,-258,12,-48
2022-06-30,178,89,21,110,-10,-8,8,-8,-21,267,-59,0,-5,-5,6,-58,-100,0,-100,-17,-17,-47,0,-164,45,7,-47
2022-03-31,140.00000,89.00000,10.00000,99.00000,-231.00000,-27.00000,,-66.00000,-322.00000,-83.00000,-43.00000,,,,,-43.00000,-100.00000,,-100.00000,-10.00000,-10.00000,-47.00000,-14.00000,-171.00000,-297.00000,9.00000,-47.00000
2021-12-31,120,93,116,209,6,-18,-48,76,-58,271,-115,-7,0,0,10,-112,-25,0,-25,-14,-14,-48,0,-87,72,14,-48
2021-09-30,147,77,7,84,97,-4,125,-142,119,350,-82,-1636,0,0,10,-1708,1650,0,1650,-17,-17,-46,-22,1565,207,7,-46
2021-06-30,129,64,0,64,-35,2,-148,84,-97,96,-74,-5,-10,-10,1,-88,0,0,0,-21,-21,-46,0,-67,-59,3,-46
2021-03-31,148.00000,67.00000,6.00000,73.00000,-10.00000,-5.00000,116.00000,-310.00000,-178.00000,43.00000,-60.00000,25.00000,-12.00000,-12.00000,1.00000,-46.00000,,,,-49.00000,-49.00000,-46.00000,-7.00000,-102.00000,-105.00000,9.00000,-46.00000
2020-12-31,249,72,45,117,94,16,29,90,236,602,-133,-40,0,0,0,-173,-215,-385,-600,0,0,-46,-15,-661,-232,7,-46
2020-09-30,222,61,2,63,3,8,143,-189,-63,222,-70,1,0,0,2,-67,0,0,0,0,0,-42,0,-42,113,3,-42
2020-06-30,53,62,1,63,-74,-7,126,37,85,201,-79,0,0,0,4,-75,620,-88,532,0,0,-42,-13,477,603,6,-42
2020-03-31,172.00000,59.00000,26.00000,85.00000,-93.00000,-6.00000,46.00000,-154.00000,-189.00000,68.00000,-71.00000,-378.00000,,,5.00000,-444.00000,380.00000,88.00000,468.00000,-84.00000,-84.00000,-42.00000,-13.00000,329.00000,-47.00000,7.00000,-42.00000
2019-12-31,149,96,115,211,172,3,-143,216,206,566,-181,0,0,0,24,-157,-5048,4784,-264,-60,-60,-42,0,-366,43,11,-42
2019-09-30,154,56,2,58,78,-13,40,34,151,363,-115,1,0,0,5,-109,1762,-1912,-150,-66,-66,-35,0,-251,3,7,-35
2019-06-30,128,54,-4,50,-189,1,-40,-24,-222,-44,-124,-1,0,0,33,-92,3074,-2872,202,-52,-52,-36,0,114,-22,12,-36
2019-03-31,118.00000,53.00000,14.00000,67.00000,-112.00000,-2.00000,147.00000,-207.00000,-174.00000,11.00000,-110.00000,-195.00000,,,36.00000,-269.00000,212.00000,,212.00000,-84.00000,-84.00000,-36.00000,-23.00000,69.00000,-189.00000,,-36.00000
2018-12-31,212,47,12,59,228,37,105,7,377,648,-160,-77,0,0,28,-209,0,0,0,-230,-230,-37,0,-267,172,9,-37
2018-09-30,229,55,-4,51,-105,-6,88,-350,-373,-93,-116,0,0,0,14,-102,0,0,0,-104,-104,-31,0,-135,-330,12,-31
2018-06-30,239,54,16,70,-20,14,42,-106,-70,239,-102,0,-10,-10,17,-95,0,0,0,-242,-242,-32,0,-274,-130,8,-32
2018-03-31,156.00000,51.00000,13.00000,64.00000,92.00000,-5.00000,100.00000,-287.00000,-100.00000,120.00000,-72.00000,,,,2.00000,-70.00000,,,,-166.00000,-166.00000,-32.00000,-25.00000,-223.00000,-173.00000,7.00000,-32.00000
2017-12-31,64,54,216,270,-126,0,69,183,100,434,-154,0,0,0,21,-133,0,0,0,-39,-39,-33,-27,-99,202,7,-33
2017-09-30,149,52,-4,48,0,13,35,-147,-101,96,-83,0,0,0,0,-83,0,0,0,-40,-40,-27,0,-67,-54,7,-27
2017-06-30,147,51,-5,46,0,25,-24,-36,-7,186,-78,3,0,0,0,-75,0,0,0,-139,-139,-27,0,-166,-55,14,-27
2017-03-31,119.00000,54.00000,47.00000,101.00000,,-20.00000,22.00000,-124.00000,-122.00000,98.00000,-58.00000,,,,,-58.00000,,,,-68.00000,-68.00000,-28.00000,-56.00000,-152.00000,-112.00000,6.00000,-28.00000
2016-12-31,197,48,85,133,-44,58,1,59,15,345,-140,-372,0,0,0,-512,0,0,0,-42,-42,-28,0,-70,-237,14,-28
2016-09-30,107,46,-27,19,-24,12,88,-7,128,254,-60,0,0,0,0,-60,0,0,0,-66,-66,-22,-1,-89,105,11,-22
2016-06-30,133,49,42,91,64,3,-18,-89,-55,169,-44,0,0,0,0,-44,0,0,0,-42,-42,-24,0,-66,59,6,-24
2016-03-31,136.00000,48.00000,7.00000,55.00000,-12.00000,2.00000,-112.00000,-30.00000,-137.00000,54.00000,-37.00000,,,,,-37.00000,,,,-44.00000,-44.00000,-24.00000,-50.00000,-118.00000,-101.00000,5.00000,-24.00000
2015-12-31,50,90,36,126,204,23,-11,41,257,433,-102,0,0,0,0,-102,0,0,0,-40,-40,-23,-45,-108,223,14,-23
2015-09-30,111,46,21,67,-34,11,83,2,74,252,-37,0,0,0,0,-37,-374,0,-374,-102,-102,-19,-9,-504,-289,8,-19
2015-06-30,156,105,-3,102,-22,17,-14,-61,-92,166,-29,0,0,0,21,-8,-21,0,-21,-61,-61,-20,0,-102,56,17,-20
2015-03-31,87.00000,49.00000,2.00000,51.00000,-189.00000,3.00000,39.00000,19.00000,-128.00000,10.00000,12.00000,-6.00000,,,,6.00000,,,,-29.00000,-29.00000,-19.00000,-54.00000,-102.00000,-86.00000,4.00000,-19.00000
2014-12-31,52,88,69,157,106,12,100,47,232,441,-74,0,0,0,0,-74,-43,0,-43,-26,-26,-19,-58,-146,221,12,-19
2014-09-30,96,50,16,66,72,23,-55,43,94,256,-40,1,0,0,0,-39,-22,0,-22,-8,-8,-10,0,-40,177,11,-10
2014-06-30,100,51,-11,40,124,20,66,-70,132,272,-27,-227,0,0,0,-254,-14,0,-14,-93,-93,-10,-51,-168,-150,6,-10
2014-03-31,90.00000,63.00000,3.00000,66.00000,-162.00000,-2.00000,-197.00000,-17.00000,-370.00000,-214.00000,-24.00000,-46.00000,,,,-70.00000,,,,-9.00000,-9.00000,-10.00000,2.00000,-17.00000,-301.00000,5.00000,-10.00000
2013-12-31,91,78,-59,19,-68,153,57,49,182,292,-54,0,0,0,0,-54,-29,0,-29,-65,-65,-10,14,-90,148,16,-10
2013-09-30,69,60,-18,42,46,-77,158,62,170,281,-30,0,0,0,58,28,-9,0,-9,-25,-25,-5,2,-37,272,9,-5
2013-06-30,57,46,24,70,98,-8,48,-240,-102,25,-25,0,0,0,0,-25,0,0,0,-24,-24,-5,0,-29,-29,10,-5
