,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,733,419,-46,373,92,35,5867,5851,7036,-204,0,-6302,948,-5354,4463,-1095,-2137,1989,-148,-1527,-1527,-268,-2776,-4719,1222,-268
2022-09-30,690,196,-63,133,-123,43,5103,3546,4467,-210,0,-3943,1748,-2195,-2930,-5335,4065,35,4100,-96,-96,-230,-3673,101,-767,-230
2022-06-30,747,248,61,309,43,26,-1636,-5252,-4135,-182,3,8250,8275,16525,1236,17582,-3591,56,-3535,0,0,-245,-9128,-12908,539,-245
2022-03-31,604.00000,293.00000,8.00000,301.00000,-168.00000,4.00000,-2217.00000,3481.00000,4586.00000,-138.00000,-3.00000,4557.00000,-6153.00000,-1596.00000,-2599.00000,-4336.00000,3429.00000,-111.00000,3318.00000,,,-229.00000,-3994.00000,-905.00000,-655.00000,-229.00000
2021-12-31,697,359,-175,184,129,-37,5156,3206,4227,-255,0,1030,-2676,-1646,207,-1694,1524,-420,1104,-33,-33,-243,-4336,-3508,-975,-243
2021-09-30,714,377,-38,339,-48,0,-140,-691,388,-197,-89,6944,-2070,4874,-1978,2610,-28,-86,-114,1900,1900,-199,-4598,-3011,-13,-199
2021-06-30,763,404,-4,400,-57,65,-8843,-8864,-7593,-197,-30,-4552,-6097,-10649,984,-9892,-688,-208,-896,-425,-425,-215,19088,17552,67,-215
2021-03-31,519.00000,417.00000,-35.00000,382.00000,-197.00000,29.00000,-6592.00000,-4760.00000,-3732.00000,-162.00000,-214.00000,7274.00000,3485.00000,10759.00000,-3579.00000,6804.00000,-2746.00000,-3145.00000,-5891.00000,-481.00000,-981.00000,-209.00000,5094.00000,-1987.00000,1085.00000,-209.00000
2020-12-31,537,2128,-161,1967,187,25,1290,806,3376,-136,0,-39600,915,-38685,-591,-39412,-725,-6670,-7395,-12,-12,-223,42285,34655,-1381,-223
2020-09-30,555,-1302,-38,-1340,-57,43,-528,-4510,-5219,-153,0,13759,-1285,12474,-148,12173,-1091,-1516,-2607,-14,-14,-221,-2949,-5791,1163,-221
2020-06-30,694,352,47,399,40,-11,-171,173,1336,-157,0,54547,14199,68746,5889,74478,-1868,-18327,-20195,-9,-9,-215,-56642,-77061,-1247,-215
2020-03-31,634.00000,332.00000,42.00000,374.00000,-43.00000,42.00000,-1296.00000,2882.00000,4039.00000,-114.00000,,-78320.00000,-28909.00000,-107229.00000,-5430.00000,-112773.00000,6760.00000,29661.00000,36421.00000,-558.00000,-1058.00000,-230.00000,75231.00000,110364.00000,1630.00000,-230.00000
2019-12-31,564,363,-135,228,27,-75,1417,192,1053,-161,0,-5087,-1230,-6317,955,-5523,1160,-6482,-5322,-500,-1250,-239,10985,4174,-296,-239
2019-09-30,583,340,-39,301,-56,55,3618,3981,4964,-227,0,-1099,-2913,-4012,-1417,-5656,-8,1635,1627,-510,-510,-230,293,1180,488,-230
2019-06-30,587,330,89,419,75,-38,-1021,-853,252,-171,0,-8880,-2057,-10937,-2010,-13118,-8,4401,4393,-313,-313,-227,8123,11976,-890,-227
2019-03-31,508.00000,304.00000,-34.00000,270.00000,-74.00000,4.00000,-2406.00000,-1500.00000,-579.00000,-171.00000,-54.00000,22333.00000,-3110.00000,19223.00000,2673.00000,21671.00000,-31.00000,-1807.00000,-1838.00000,-343.00000,-343.00000,-234.00000,-17889.00000,-20304.00000,788.00000,-234.00000
