,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-33.545,179.86,-154.108,25.752,-9.676,-12.538,67.961,89.559,81.766,-25.89,-41.458,0,0,0,1700,1632.652,-17.876,-17.876,-8.875,-8.875,-0.129,-6.239,-33.119,1680.324,19.058,-0.129
2022-09-30,-207.791,179.773,12.405,192.178,-15.492,3.251,23.68,20.026,4.413,-86.757,-1.544,0,0,0,0,-88.301,194.725,194.725,-29.319,-29.319,-0.025,-5.034,160.347,78.93,20.074,-0.025
2022-06-30,-213.422,170.353,46.568,216.921,3.965,-6.166,-10.514,-43.565,-40.066,-89.695,-8.474,0,0,0,0,-98.169,-16.55,-16.55,-134.743,-134.743,9.151,-19.636,-161.778,-302.678,14.595,9.151
2022-03-31,-254.61000,191.75900,68.10400,259.86300,11.86800,-4.28400,-11.43500,-122.63800,-117.38500,-96.31400,-0.90100,,,,,-97.21500,-17.05200,-17.05200,-11.66700,-11.66700,-10.44200,50.03300,10.87200,-204.65300,13.90000,-10.44200
2021-12-31,-256.431,177.58,66.044,243.6239,0.288,16.878,-28.919,7.048,-5.759,-76.99,-36.293,0,0,0,0,-113.283,184.595,184.595,-2.838,-2.838,-0.621,-13.569,167.567,47.913,20.205,-0.621
2021-09-30,-245.983,183.76,52.12,235.8801,24.07,-2.558,-34.552,20.078,9.975,-102.856,-4,0,0,0,0,-106.856,-185.548,-185.548,-6.441,-6.441,-0.544,-33.187,-225.72,-325.931,25.58,-0.544
2021-06-30,-173.397,189.896,23.614,213.51,-30.852,-14.408,-13.071,-13.014,27.099,-66.407,-7.241,0,0,0,0,-73.648,-40.137,-40.137,4.452,4.452,-0.093,-8.631,-44.409,-88.186,25.107,-0.093
2021-03-31,-336.17900,191.77300,45.62900,237.40200,-22.94700,-21.41100,-131.33600,-155.12900,-253.90600,-40.13600,-8.50000,,,,,-48.63600,-1122.68800,-1122.68800,837.54300,837.54300,-0.29500,,-285.44000,-589.11300,24.34600,-0.29500
2020-12-31,-310.291,191.166,32.795,223.961,-24.233,11.737,-238.303,-205.016,-291.346,-13.003,0,4.604,0,0,0,-8.399,274.109,274.109,-1.996,-1.996,1.501,-46.848,226.766,-73.36,21.753,1.501
2020-09-30,-831.533,191.101,436.544,627.645,105.918,0.344,-66.115,30.796,-173.092,-69.411,0,0,0,0,0,-69.411,10.049,10.049,-1.1,-1.1,-1.206,-7.154,0.589,-242.843,10.053,-1.206
2020-06-30,-734.869,186.477,138.134,324.611,56.245,10.444,40.231,-21.229,-431.487,-50.795,0,0,0,0,0,-50.795,1412.728,1412.728,-2.91,-2.91,-0.648,-11.277,1397.893,916.686,21.084,-0.648
2020-03-31,-450.25300,185.69000,138.23400,323.92400,-56.28400,5.13500,71.73600,-50.17100,-176.50000,-137.15400,0.00000,,,,,-137.15400,953.79700,953.79700,-5.45700,-5.45700,-108.42400,-1.91900,837.99700,527.60900,9.36400,-108.42400
2019-12-31,-17.47,181.837,156.578,338.415,-63.666,-20.527,-137.213,-199.76,121.185,-184.263,0,0,0,0,-0.592,-184.855,858.021,858.021,-6.665,-6.665,-110.402,-10.379,730.575,676,9.928,-110.402
2019-09-30,26.883,180.307,64.666,244.973,2.919,25.638,62.265,-1.415,270.441,-242.774,-5,0,0,0,0.592,-247.182,384.7722,384.7722,-27.922,-27.922,-190.647,-11.871,154.332,175.925,10.276,-190.647
2019-06-30,142.234,147.537,9.677,157.214,-37.053,-29.079,-22.512,-53.862,245.586,-325.686,0,0,0,0,0,-325.686,-28.6,-28.6,-21.75,-21.75,-192.444,0.008,-242.786,-320.426,9.83,-192.444
2019-03-31,159.73100,144.15100,26.32600,170.47700,11.08800,-13.93900,-37.39800,-66.35000,263.85800,-309.87500,-1.00000,,,,,-310.87500,-250.50300,-250.50300,-1.33700,-1.33700,-80.77300,-10.49600,-343.10900,-392.53000,10.33800,-80.77300
2018-12-31,515.51,150.587,-331.916,-181.329,-48.119,-6.357,120.064,129.419,463.6,-267.504,-24.026,0,0,0,-2.387,-293.917,498.5789,498.5789,-161.26,-161.26,-223.346,-14.51,99.463,266.323,6.278,-223.346
2018-09-30,219.772,145.09,16.516,161.606,-5.398,3.481,-5.73,63.209,444.587,-313.744,-0.911,0,131.793,131.793,2.387,-180.475,613.2601,613.2601,7.409,7.409,-377.934,-8.207,234.528,504.027,11.832,-377.934
2018-06-30,205.28,146.118,7.597,153.715,-0.471,5.156,-197.595,-252.047,106.948,-325.975,-69.437,0,55.2,55.2,-0.093,-340.305,-1051.7409,-1051.7409,920.957,920.957,-222.417,2.2,-351.001,-584.706,9.626,-222.417
2018-03-31,-137.47800,145.71800,-14.06800,131.65000,-5.16900,-7.49200,-9.13400,-47.81800,-53.64600,-514.53600,-32.04000,,138.37000,138.37000,0.09300,-408.11300,-303.44010,-303.44010,4.32900,4.32900,-51.45600,43.32000,-307.24700,-772.95500,7.30400,-51.45600
2017-12-31,543.964,143.351,-324.727,-181.376,2.027,15.215,166.043,236.484,599.072,-285.121,-0.163,0,-9.19,-9.19,0,-294.474,-543.524,-543.524,3.882,3.882,-55.904,159.322,-436.224,-132.066,14.681,-55.904
2017-09-30,105.97,144.179,118.175,262.354,-29.867,-18.673,107.796,105.629,473.953,-257.618,-0.247,0,-8.008,-8.008,0,-265.873,343.574,343.574,22.106,22.106,-94.19,-30.188,241.302,449.865,10.503,-94.19
2017-06-30,106.795,143.831,63.18,207.011,-8.374,-1.596,46.377,75.162,388.968,-246.927,-12.697,0,-15.207,-15.207,0,-274.831,1.254,1.254,26.547,26.547,-130.768,-65.484,-168.451,-57.466,10.58,-130.768
2017-03-31,132.52500,146.02000,29.89800,175.91800,37.04300,0.68200,135.78900,106.14100,414.58400,-125.43400,-0.46400,,3.44300,3.44300,,-122.45500,-331.15900,-331.15900,-8.48900,-8.48900,-51.33400,,-390.98200,-99.64400,8.20700,-51.33400
2016-12-31,126.566,146.753,-33.047,113.706,-48.735,0.459,68.147,49.431,289.703,-271.291,-2.869,0,1.138,1.138,0,-273.022,764.498,764.498,-4.239,-4.239,-61.57,418.38,1117.069,1133.077,14.362,-61.57
2016-09-30,-19.331,112.7,30.677,143.377,-7.648,-17.762,107.239,186.851,310.897,-404.414,-4.023,0,-1.02,-1.02,0,-409.457,-40.698,-40.698,-0.001,-0.001,-50.891,-202.013,-293.603,-391.515,8.278,-50.891
2016-06-30,89.442,85.524,15.042,100.566,18.414,-5.53,-7.539,64.565,254.573,-274.353,-6.899,0,-51.798,-51.798,0,-333.05,39.163,39.163,-6.554,-6.554,-162.218,3.95,-125.659,-204.93,10.454,-162.218
2016-03-31,105.79200,84.07900,22.49400,106.57300,-1.30300,-13.80900,-5.06300,-96.99200,115.37300,-272.01300,-1.19400,,0.48600,0.48600,,-272.72100,250.66500,250.66500,-7.31600,-7.31600,-50.57100,-7.95600,184.82200,27.16400,10.62800,-50.57100
2015-12-31,104.794,84.409,-8.845,75.564,26.895,-23.613,10.36,46.947,227.305,-499.483,-0.241,0,-3.163,-3.163,37.254,-465.633,485.583,485.583,-1.134,-1.134,-51.603,-14.658,418.188,179.88,8.151,-51.603
2015-09-30,113.429,81.978,-20.36,61.618,60.43,-5.141,-81.774,-15.869,159.178,-458.019,-0.03,0,-3.377,-3.377,0,-461.426,729.211,729.211,0.252,0.252,-50.579,35.05,713.934,411.989,9.256,-50.579
2015-06-30,77.203,86.646,32.485,119.131,18.518,6.295,3.622,5.009,201.343,-445.107,-2.419,0,4.624,4.624,0,-442.902,64.3289,64.3289,-0.665,-0.665,-50.113,74.019,87.57,-153.688,10.372,-50.113
2015-03-31,-13.90200,89.38100,137.25800,226.63900,-58.83200,-1.15400,-39.65600,-227.75000,-15.01300,-518.63100,-1.22200,,-1.74400,-1.74400,,-521.59700,638.68510,638.68510,-7.01700,-7.01700,-346.81200,-288.29000,-3.43400,-540.25600,10.69600,-346.81200
2014-12-31,148.193,96.306,9.495,105.801,-36.083,-2.587,-84.907,-129.805,124.189,-485.804,-124.583,0,-0.733,-0.733,62.258,-548.862,-12.607,-12.607,3.293,3.293,-252.555,-22.676,-284.545,-708.714,16.482,-252.555
2014-09-30,253.006,87.643,18.275,105.918,7.628,-1.499,19.222,37.111,396.035,-287.157,0,0,-0.847,-0.847,-23.298,-311.302,32.494,32.494,-0.003,-0.003,-256.042,-3.072,-226.623,-144.233,10.369,-256.042
2014-06-30,258.402,83.712,5.925,89.637,14.552,-4.296,108.769,20.832,368.871,-240.528,5.172,0,3.052,3.052,-39.822,-272.126,-34.835,-34.835,4.135,4.135,-307.925,1.371,-337.254,-238.51,8.424,-307.925
