,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1328,956,85,1041,149,-47,-307,-274,2095,-936,55,-881,3909,-2229,1680,-678,-678,-586,-26,390,1680,-78,-586
2022-09-30,1273,1045,-175,870,-29,-156,372,493,2636,-762,62,-700,-22,57,35,-1147,-1147,-581,-27,-1720,101,27,-581
2022-06-30,372,1091,843,1934,-203,-109,120,-173,2133,-826,-16,-842,-542,756,214,-1598,-1598,-585,-34,-2003,-809,17,-585
2022-03-31,1174.00000,1112.00000,-36.00000,1076.00000,-340.00000,-35.00000,74.00000,-250.00000,2000.00000,-649.00000,-16.00000,-665.00000,1130.00000,1416.00000,2546.00000,-1709.00000,-1709.00000,-592.00000,-1.00000,244.00000,1641.00000,34.00000,-592.00000
2021-12-31,1026,1135,-23,1112,-14,-52,845,1095,3233,-839,-37,-876,-624,-1698,-2322,-1350,-1350,-541,-4,-4217,-1877,33,-541
2021-09-30,979,1163,-60,1103,-151,-35,568,474,2556,-741,70,-671,2206,-712,1494,-1162,-1162,-546,-42,-256,1563,32,-546
2021-06-30,841,1171,211,1382,-210,18,-174,-396,1827,-744,35,-709,-744,377,-367,-1199,-1199,-549,-30,-2145,-959,34,-549
2021-03-31,980.00000,1166.00000,-87.00000,1079.00000,-178.00000,-60.00000,219.00000,50.00000,2109.00000,-762.00000,11.00000,-751.00000,-23.00000,704.00000,681.00000,-851.00000,-851.00000,-553.00000,-247.00000,-970.00000,342.00000,29.00000,-553.00000
2020-12-31,770,1192,147,1339,95,119,-10,325,2434,-1027,20,-1007,-1066,-956,-2022,-421,-421,-505,-19,-2967,-1445,29,-505
2020-09-30,700,1168,-13,1155,42,-19,-9,29,1884,-787,55,-732,-397,209,-188,-186,-186,-506,-53,-933,258,29,-506
2020-06-30,458,1124,78,1202,-9,-20,-23,104,1764,-783,149,-634,1615,-1204,411,12,12,-506,-121,-204,927,32,-506
2020-03-31,573.00000,1142.00000,-8.00000,1134.00000,-109.00000,-62.00000,-6.00000,-360.00000,1347.00000,-803.00000,190.00000,-613.00000,-37.00000,3149.00000,3112.00000,-1815.00000,-1815.00000,-511.00000,-27.00000,759.00000,1314.00000,43.00000,-511.00000
2019-12-31,511,1162,-264,898,110,-20,438,765,2174,-1015,72,-943,29,455,484,-712,-712,-469,-3,-700,567,31,-469
2019-09-30,735,1097,-89,1008,158,12,123,129,1872,-959,250,-709,-247,-220,-467,-679,-679,-471,-35,-1652,-553,26,-471
2019-06-30,522,1195,-198,997,-132,-41,-125,-514,1005,-865,1246,381,-772,522,-250,-498,-498,-474,-3212,-4434,-3105,22,-474
2019-03-31,517.00000,1233.00000,-235.00000,998.00000,-56.00000,-32.00000,-328.00000,-447.00000,1068.00000,-843.00000,3303.00000,2460.00000,-494.00000,-533.00000,-1027.00000,-697.00000,-697.00000,-477.00000,-10.00000,-2211.00000,1325.00000,16.00000,-477.00000
2018-12-31,2978,1270,-3174,-1904,-3,25,23,231,1305,-827,7175,6348,-2613,330,-2283,-590,-590,-454,-369,-3696,3866,22,-454
2018-09-30,461,306,35,341,26,-19,-45,69,871,-380,2,-378,2,-135,-133,25,25,-238,-11,-357,121,19,-238
2018-06-30,480,311,30,341,-65,-8,-19,-31,790,-351,62,-289,-2,-275,-277,14,14,-237,-16,-516,-66,17,-237
2018-03-31,462.00000,311.00000,35.00000,346.00000,-82.00000,-2.00000,31.00000,-120.00000,688.00000,-325.00000,7.00000,-318.00000,-503.00000,288.00000,-215.00000,29.00000,29.00000,-237.00000,-6.00000,-429.00000,-72.00000,4.00000,-237.00000
2017-12-31,33,307,576,883,-9,-11,-71,-80,836,-339,-7,-346,-423,154,-269,29,29,-226,-7,-473,10,15,-226
2017-09-30,419,298,8,306,12,-6,28,69,794,-320,-11,-331,-1,-196,-197,20,20,-225,-1,-403,72,16,-225
2017-06-30,406,292,64,356,-46,-3,-30,-61,701,-325,12,-313,1,-133,-132,44,44,-225,-71,-384,16,16,-225
2017-03-31,389.00000,287.00000,52.00000,339.00000,-49.00000,-2.00000,75.00000,-18.00000,710.00000,-327.00000,3.00000,-324.00000,-149.00000,-24.00000,-173.00000,15.00000,15.00000,-225.00000,-13.00000,-396.00000,-5.00000,12.00000,-225.00000
2016-12-31,406,285,-12,273,11,-24,-10,63,742,-409,-1,-410,-31,-168,-199,-65,-65,-214,51,-427,-103,3,-214
2016-09-30,339,284,76,360,17,19,-16,89,788,-376,13,-363,15,-149,-134,-1,-1,-214,-13,-362,60,14,-214
