,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-06-30,399,281,15,296,-41,-1,39,11,706,-357,-256,-613,10,585,595,-25,-25,-214,-107,249,346,14,-214
2016-03-31,356.00000,272.00000,25.00000,297.00000,-20.00000,-7.00000,4.00000,-100.00000,553.00000,-323.00000,-61.00000,-384.00000,172.00000,-77.00000,95.00000,2.00000,2.00000,-214.00000,-2.00000,-119.00000,74.00000,8.00000,-214.00000
2015-12-31,422,275,-11,264,58,-9,76,105,791,-387,36,-351,0,-203,-203,-7,-7,-204,4,-410,11,5,-204
2015-09-30,401,276,65,341,-13,1,-97,-66,676,-405,5,-400,243,-73,170,-222,-222,-203,-5,-260,0,8,-203
2015-06-30,308,278,124,402,6,-9,10,10,720,-352,200,-152,2,-91,-89,-217,-217,-205,-29,-540,19,10,-205
2015-03-31,416.00000,277.00000,22.00000,299.00000,-50.00000,-6.00000,-85.00000,-207.00000,508.00000,-397.00000,-3.00000,-400.00000,252.00000,38.00000,290.00000,-191.00000,-191.00000,-207.00000,8.00000,-100.00000,-9.00000,7.00000,-207.00000
2014-12-31,302,291,111,402,64,10,-3,87,791,-482,-9,-491,227,-32,195,-282,-282,-189,-3,-279,-42,9,-189
2014-09-30,477,301,-22,279,25,-19,-78,-43,713,-430,-6,-436,5,25,30,-100,-100,-189,-8,-267,-5,14,-189
2014-06-30,467,293,21,314,-33,-17,32,66,847,-384,-41,-425,6,-106,-100,-140,-140,-190,33,-397,29,13,-190
2014-03-31,448.00000,285.00000,52.00000,337.00000,-136.00000,-16.00000,19.00000,-249.00000,536.00000,-393.00000,-58.00000,-451.00000,544.00000,-80.00000,464.00000,-237.00000,-237.00000,-191.00000,-120.00000,-84.00000,6.00000,15.00000,-191.00000
2013-12-31,474,287,-53,234,55,9,126,279,964,-516,29,-487,146,-355,-209,-86,-86,-177,4,-468,4,18,-177
2013-09-30,445,281,67,348,25,-36,98,111,904,-516,-15,-531,13,-98,-85,-81,-81,-176,0,-342,32,18,-176
2013-06-30,430,275,103,378,-3,-11,-211,-231,577,-522,-164,-686,-223,662,439,-152,-152,-177,-2,108,-11,17,-177
2013-03-31,406.00000,266.00000,18.00000,284.00000,-161.00000,-16.00000,-64.00000,-241.00000,472.00000,-466.00000,-1067.00000,-1533.00000,1376.00000,-60.00000,1316.00000,-117.00000,-117.00000,-178.00000,9.00000,1030.00000,-44.00000,17.00000,-178.00000
2012-12-31,376,254,-73,181,71,12,207,331,879,-586,-166,-752,174,50,224,-147,-147,-163,9,-77,49,18,-163
2012-09-30,440,248,133,381,-60,-16,-94,-127,746,-547,-52,-599,-330,461,131,-106,-106,-164,-8,-147,4,17,-164
2012-06-30,457,247,16,263,96,17,-85,5,725,-564,-32,-596,304,-130,174,-104,-104,-164,-29,-123,-3,18,-164
2012-03-31,419.00000,252.00000,-7.00000,245.00000,-143.00000,-31.00000,7.00000,-262.00000,402.00000,-483.00000,52.00000,-431.00000,366.00000,-88.00000,278.00000,-102.00000,-102.00000,-164.00000,32.00000,44.00000,17.00000,17.00000,-164.00000
2011-12-31,420,249,7,256,94,12,-78,120,791,-572,-149,-721,337,-148,189,-148,-148,-149,7,-101,-35,16,-149
2011-09-30,429,256,-21,235,65,7,-109,68,732,-458,-16,-474,129,75,204,-251,-251,-150,3,-194,45,16,-150
2011-06-30,425,254,1,255,-89,-33,33,-107,573,-433,-73,-506,186,72,258,-205,-205,-151,23,-75,-6,16,-151
2011-03-31,398.00000,244.00000,51.00000,295.00000,-178.00000,-17.00000,-4.00000,-334.00000,359.00000,-334.00000,30.00000,-304.00000,309.00000,-46.00000,263.00000,-138.00000,-138.00000,-152.00000,17.00000,-10.00000,47.00000,14.00000,-152.00000
2010-12-31,133,240,-16,224,25,1,-265,-44,290,-451,-6,-457,362,147,509,-265,-265,-137,25,132,-32,12,-137
2010-09-30,377,227,34,261,-91,-30,-1,-41,596,-324,-91,-415,-13,21,8,-54,-54,-139,19,-166,23,12,-139
2010-06-30,371,230,77,307,36,5,-119,-191,536,-325,-3,-328,-456,73,-383,-17,-17,-137,2,-535,-328,13,-137
2010-03-31,314.00000,228.00000,65.00000,293.00000,-84.00000,-2.00000,-13.00000,-99.00000,483.00000,-288.00000,4.00000,-284.00000,482.00000,-126.00000,356.00000,-68.00000,-68.00000,-138.00000,,150.00000,331.00000,10.00000,-138.00000
2009-12-31,383,223,230,453,49,21,169,257,709,-355,8,-347,-178,-19,-197,-64,-64,-123,1,-383,-20,9,-123
2009-09-30,325,217,-258,-41,-57,18,-108,-97,547,-334,-110,-444,242,-164,78,-29,-29,-122,-2,-75,32,11,-122
2009-06-30,299,207,33,240,-47,-1,2,-33,563,-370,-1,-371,262,-276,-14,-64,-64,-123,-16,-217,-21,10,-123
2009-03-31,290.00000,199.00000,35.00000,234.00000,94.00000,20.00000,3.00000,-142.00000,349.00000,-293.00000,3.00000,-290.00000,67.00000,4.00000,71.00000,16.00000,16.00000,-123.00000,,-36.00000,22.00000,9.00000,-123.00000
