,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,509.00000,567.00000,-8.00000,559.00000,,,,-665.00000,-665.00000,399.00000,-208.00000,,,,,-83.00000,-291.00000,-528.00000,365.00000,-163.00000,,,-281.00000,-89.00000,-534.00000,-415.00000,89.00000,-281.00000
2022-09-30,288,581,131,712,32,-631,-473,1030,-42,973,-315,-1620,0,0,0,-71,-2005,-3,230,227,-500,-500,-270,-7,-549,-1601,49,-270
2022-06-30,360,534,-109,425,0,0,0,-495,-495,380,-243,0,0,0,0,17,-225,-1727,0,-1727,0,0,-271,1007,-991,-560,44,-271
2022-03-31,454,568,165,733,0,0,0,-650,-650,588,-232,-35,0,0,0,-40,-308,1422,0,1422,0,0,-270,-20,1131,1273,59,-270
2021-12-31,677.00000,546.00000,-241.00000,305.00000,,,,-300.00000,-300.00000,530.00000,-183.00000,-415.00000,,,,-84.00000,-682.00000,,,,,,-271.00000,-56.00000,-327.00000,-345.00000,81.00000,-271.00000
2021-09-30,265,582,-235,347,-61,-83,660,-292,224,841,-452,-225,0,0,0,-5,-681,41,0,41,-750,-750,-259,-174,-1142,-890,47,-259
2021-06-30,525,535,-302,233,0,0,0,118,118,564,-243,-104,0,0,0,49,-299,-1,0,-1,-1000,-1000,-261,-9,-1271,-616,44,-261
2021-03-31,299,558,20,578,0,0,0,327,327,1188,-253,-112,0,0,0,-70,-433,-16,0,-16,0,0,-264,-21,-301,451,55,-264
2020-12-31,1003.00000,555.00000,43.00000,598.00000,,,,24.00000,24.00000,1533.00000,-246.00000,-67.00000,,,,-116.00000,-430.00000,-267.00000,,-267.00000,,,-264.00000,-61.00000,-592.00000,530.00000,83.00000,-264.00000
2020-09-30,128,514,-514,0,-53,-120,195,689,711,879,-172,-25,0,0,0,-88,-285,-953,0,-953,0,0,-253,-3,-1208,-48,43,-253
2020-06-30,285,534,13,547,0,0,0,10,10,862,-202,-139,0,0,0,-22,-363,-1917,-695,-2612,2917,2917,-268,-16,20,525,52,-268
2020-03-31,183,537,19,556,0,0,0,-360,-360,483,-222,0,0,0,0,-33,-255,1898,0,1898,0,0,-253,-22,1623,1831,59,-253
2019-12-31,278.00000,530.00000,35.00000,565.00000,,,,102.00000,102.00000,713.00000,-173.00000,,,,,-114.00000,-287.00000,-303.00000,210.00000,-93.00000,,,-252.00000,-68.00000,-413.00000,18.00000,82.00000,-252.00000
2019-09-30,162,553,-74,479,-51,-149,-470,1543,873,1371,-358,0,0,0,0,-83,-441,-862,185,-677,0,0,-247,-1,-923,-4,53,-247
