,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,88.233,17.872,7.537,25.409,6.869,-0.835,2.744,9.751,123.393,6.89,-8.77,-8.883,-10.763,-70,0,-70,-0.078,-0.078,-63.983,-5.671,-139.732,-26.53,5.301,-63.983
2022-09-30,107.622,24.282,7.844,32.126,-11.655,0.471,10.57,-12.028,127.72,-10.33,-60.838,9.822,-61.346,-110,0,-110,0.023,0.023,-49.201,-6.467,-165.645,-99.088,4.957,-49.201
2022-06-30,100.299,24.325,7.541,31.866,-27.07,-0.327,-5.162,-4.88,127.285,-5.886,-36.357,0.139,-42.104,-60.783,0,-60.783,-0.576,-0.576,-49.229,-2.145,-112.733,-37.374,4.819,-49.229
2022-03-31,72.44500,24.84700,11.16200,36.00900,-2.14700,0.15100,-1.99200,-20.92200,87.53200,-6.70500,-13.22300,,-19.92800,140.78300,,140.78300,-6.43400,-6.43400,-49.20500,-3.05100,82.09300,153.03700,6.13800,-49.20500
2021-12-31,71.215,16.039,8.985,25.024,11.855,-1.136,-14.049,6.655,102.894,67.275,-106.406,-70.938,-110.069,87,0,87,-0.096,-0.096,-88.979,-3.396,-5.471,-12.354,3.103,-88.979
2021-09-30,93.853,23.617,11.259,34.876,-14.291,3.119,1.842,-49.023,79.706,-77.216,-11.307,71.002,-17.521,-20,0,-20,-0.309,-0.309,-39.945,-6.54,-66.794,-10.873,3.921,-39.945
2021-06-30,98.854,23.306,5.34,28.646,-21.098,2.672,-13.866,-27.781,99.719,-0.09,-11.407,-0.021,-11.518,-27,0,-27,-0.947,-0.947,-40.343,-7.947,-76.237,11.206,3.92,-40.343
2021-03-31,92.64300,23.59600,-27.69200,-4.09600,1.09500,-2.01100,5.23700,30.93900,119.48600,57.27500,-16.97800,-0.15400,40.14300,-88.00000,,-88.00000,-9.34200,-9.34200,-39.38900,-4.92600,-141.65700,18.84500,3.92100,-39.38900
2020-12-31,68.551,13.405,4.109,17.514,-12.045,-10.706,-18.197,9.113,95.178,0.03,-68.163,0.269,-67.864,33,0,33,-0.19,-0.19,-68.742,0.157,-35.775,3.037,2.699,-68.742
2020-09-30,79.579,22.404,17.338,39.742,0,0,-13.486,-13.486,105.835,-4.448,-23.705,-0.012,-28.165,-85,0,-85,0,0,-26.214,-16.306,-127.52,-39.389,10.511,-26.214
