,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-4585,-1001,-381,-1382,-826,1441,0,-3077,-2462,-7547,0,0,1325,-1460,-5282,-6742,24626,19209,3530,-20395,-16865,250,250,2229,794,-13592,-1930,0,1967
2022-09-30,1637,324,235,559,1069,-634,0,1630,2065,3770,0,0,-820,82,2910,2992,-10576,-8404,1358,11951,13309,0,0,-788,-8775,3746,-888,0,-691
2022-06-30,1532,345,172,517,-43,690,0,1429,2076,3965,0,0,-17,-328,3368,3040,-13794,-10771,-3255,8589,5334,-250,-250,-716,-3571,797,-6009,0,-639
2022-03-31,1416.00000,332.00000,-26.00000,306.00000,-200.00000,-1497.00000,,18.00000,-1679.00000,-188.00000,,,-488.00000,1706.00000,-996.00000,710.00000,-256.00000,-34.00000,-1633.00000,-145.00000,-1778.00000,,,-725.00000,11552.00000,9049.00000,8827.00000,,-637.00000
2021-12-31,1602,343,-309,34,1461,2549,0,-1344,2666,4807,-442,0,-2028,-2109,-2642,-4751,-4913,-12134,-1984,66,-1918,-500,-500,-716,10929,7795,468,0,-638
2021-09-30,1704,354,-324,30,-2033,-1027,0,1379,-1681,-218,0,0,-740,-677,-11810,-12487,330,-12897,-34,-426,-460,0,0,-728,7573,6385,-6730,0,-640
2021-06-30,1658,342,-434,-92,2835,-851,0,273,2257,3336,0,0,0,107,-15412,-15305,5161,-10144,520,-237,283,-610,-1075,-686,2711,1233,-5575,0,-602
2021-03-31,1473.00000,345.00000,48.00000,393.00000,-852.00000,-1222.00000,,-307.00000,-2381.00000,-33.00000,,,1130.00000,396.00000,-6679.00000,-6283.00000,8272.00000,3119.00000,-1733.00000,-203.00000,-1936.00000,-506.00000,-1456.00000,-722.00000,14292.00000,10178.00000,13264.00000,,-605.00000
2020-12-31,1330,401,504,905,-1065,798,0,497,230,2408,-99,0,-628,-328,-34798,-35126,6288,-29565,-537,-152,-689,0,0,-708,10314,8917,-18240,-280,-607
2020-09-30,1141,388,421,809,336,-846,0,-266,-776,425,-130,0,-1732,-72,-8758,-8830,8574,-2118,-981,544,-437,0,905,-677,-2187,-2396,-4089,104,-607
2020-06-30,958,420,641,1061,-1931,39,0,-1588,-1752,-24,-122,0,-17,72,1912,1984,5701,7546,-23622,-6994,-30616,0,2544,-658,26057,-2673,4849,97,-605
2020-03-31,1063.00000,399.00000,974.00000,1373.00000,3378.00000,1870.00000,,-1926.00000,1594.00000,4628.00000,-464.00000,,-62.00000,,-661.00000,-661.00000,-18328.00000,-19515.00000,23506.00000,-5522.00000,17984.00000,,-500.00000,-682.00000,15368.00000,32170.00000,17283.00000,79.00000,-605.00000
2019-12-31,726,213,168,381,-1460,377,0,-849,-1373,-444,-108,0,6289,-112,9845,9733,1805,17719,-3575,976,-2599,0,0,-364,1849,-1114,16161,-119,-345
2019-09-30,828,141,156,297,-152,1029,0,265,583,1775,-52,0,-33,34,-9441,-9407,2933,-6559,2757,151,2908,0,-42,-389,2658,5135,351,39,-345
2019-06-30,885,139,220,359,-336,95,0,-158,-399,934,-30,0,0,104,1514,1618,-3814,-2226,-2275,4039,1764,0,0,-354,-285,1125,-167,48,-310
2019-03-31,798.00000,137.00000,187.00000,324.00000,150.00000,-1133.00000,,-1006.00000,-1989.00000,-745.00000,-34.00000,,,-109.00000,-341.00000,-450.00000,-102.00000,-586.00000,912.00000,1127.00000,2039.00000,,,-352.00000,-1480.00000,207.00000,-1124.00000,32.00000,-309.00000
2018-12-31,805,142,87,229,59,745,0,-155,649,1371,-363,0,-296,0,267,267,-1838,-2230,311,-4474,-4163,-375,-375,-353,6568,1677,818,28,-309
2018-09-30,839,139,172,311,593,-316,0,221,439,1551,0,0,0,0,82,82,-1252,-1170,-786,6076,5290,-200,-200,-356,-5015,-281,100,37,-313
2018-06-30,822,136,179,315,-426,-197,0,583,19,1119,0,0,0,0,1603,1603,-3369,-1766,745,-745,0,-310,-310,-334,1233,589,-58,45,-290
2018-03-31,791.00000,138.00000,181.00000,319.00000,-90.00000,10.00000,,-583.00000,-663.00000,308.00000,,,,,-222.00000,-222.00000,425.00000,203.00000,-34.00000,-617.00000,-651.00000,-320.00000,-320.00000,-335.00000,823.00000,-483.00000,28.00000,31.00000,-292.00000
2017-12-31,667,137,162,299,119,456,0,327,902,1676,0,0,0,0,-1156,-1156,-1052,-2208,2914,-2978,-64,-373,-373,-302,1244,505,-27,23,-258
2017-09-30,648,139,161,300,105,314,0,35,454,1471,0,0,0,0,-1327,-1327,751,-576,-863,1774,911,-920,-920,-305,-882,-1196,-301,35,-262
2017-06-30,674,137,179,316,-105,-11,0,509,393,1330,0,0,0,0,-284,-284,-1595,-1879,77,4123,4200,-246,-246,-286,-4171,-503,-1052,44,-242
2017-03-31,426.00000,137.00000,570.00000,707.00000,499.00000,-644.00000,,-886.00000,-1031.00000,158.00000,,,,,-1281.00000,-1281.00000,534.00000,-747.00000,-698.00000,613.00000,-85.00000,-74.00000,-74.00000,-286.00000,1090.00000,645.00000,56.00000,30.00000,-243.00000
2016-12-31,643,145,147,292,973,244,0,230,1798,2478,0,-2986,63,0,2814,2814,1840,1731,-426,-2658,-3084,-376,-376,-287,534,-3213,996,19,-243
2016-09-30,642,141,179,320,-204,-407,0,208,-1054,-224,0,0,0,0,-325,-325,-328,-653,-1565,2592,1027,-135,-135,-286,630,1236,359,31,-243
2016-06-30,587,142,149,291,-873,902,0,43,105,991,0,0,-789,0,2110,2110,-1594,-273,1157,-4052,-2895,9,8,-271,2275,-883,-165,38,-228
