,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1574,848,23,871,0,0,0,1042,1042,3487,-544,0,0,0,0,19,-525,3193,295,3488,-1057,-1057,-117,77,2391,5603,-232,-117
2022-09-30,1498,838,-32,806,0,0,0,-367,-367,1937,-543,1,0,0,0,-3,-545,0,-1,-1,6,6,-118,-38,-151,1029,77,-118
2022-06-30,1668,836,-127,709,0,0,0,-849,-849,1528,-494,0,0,0,0,75,-419,0,-1825,-1825,49,49,-117,-12,-1905,-874,77,-117
2022-03-31,2220.00000,859.00000,-2.00000,857.00000,,,,-875.00000,-875.00000,2202.00000,-638.00000,-40.00000,,,,8.00000,-670.00000,-375.00000,-633.00000,-1008.00000,-1998.00000,-1998.00000,-103.00000,-36.00000,-3145.00000,-1712.00000,78.00000,-103.00000
2021-12-31,1659,683,453,1136,-204,-1065,479,452,-338,2457,-820,-17876,0,0,0,4,-18692,6080,2512,8592,-101,-101,-103,79,8467,-7557,77,-103
2021-09-30,1903,628,-118,510,0,0,0,237,237,2650,-520,-94,0,0,0,-2,-616,3122,0,3122,29,29,-102,-9,3040,5013,51,-102
2021-06-30,1829,660,-136,524,0,0,0,-126,-126,2227,-540,-82,0,0,0,-4,-626,0,0,0,52,52,-103,-25,-76,1432,51,-103
2021-03-31,2337.00000,621.00000,341.00000,962.00000,,,,-1321.00000,-1321.00000,1978.00000,-623.00000,-1343.00000,,,,-32.00000,-1998.00000,-2803.00000,,-2803.00000,-1980.00000,-1980.00000,-87.00000,20.00000,-4850.00000,-4733.00000,51.00000,-87.00000
2020-12-31,2500,602,124,726,-1302,-508,59,1864,113,3339,-585,-35,0,0,0,-6,-626,2,0,2,-156,-156,-87,192,-49,2766,51,-87
2020-09-30,1933,575,-26,549,0,0,0,226,226,2708,-365,0,0,0,0,0,-365,-710,0,-710,31,31,-87,-25,-791,1733,52,-87
2020-06-30,1156,574,-185,389,0,0,0,341,341,1886,-267,1,0,0,0,7,-259,1278,-65,1213,77,77,-87,-23,1180,2827,47,-87
2020-03-31,788.00000,574.00000,69.00000,643.00000,,,,-1075.00000,-1075.00000,356.00000,-249.00000,-4.00000,,,,-7.00000,-260.00000,2184.00000,61.00000,2245.00000,-1452.00000,-1452.00000,-76.00000,-98.00000,619.00000,588.00000,46.00000,-76.00000
2019-12-31,1004,576,244,820,96,-9,196,-194,89,1913,-271,-156,0,0,0,88,-339,985,-686,299,-712,-712,-76,-25,-514,1117,43,-76
2019-09-30,760,575,172,747,-326,-176,272,-160,-390,1117,-210,1,0,0,0,11,-198,-1699,-37,-1736,-7,-7,-77,-49,-1869,-1009,42,-77
2019-06-30,1119,571,-709,-138,34,-133,-73,485,313,1294,-214,-559,0,0,0,4,-769,-2,727,725,41,41,-76,0,690,1186,52,-76
2019-03-31,815.00000,555.00000,-44.00000,511.00000,-29.00000,-140.00000,-129.00000,-379.00000,-677.00000,649.00000,-195.00000,-1.00000,,,,15.00000,-181.00000,-1.00000,-687.00000,-688.00000,-669.00000,-669.00000,-68.00000,,-1425.00000,-989.00000,44.00000,-68.00000
2018-12-31,898,558,11,569,-302,9,246,381,334,1801,-240,-477,0,0,0,-4,-721,-4,270,266,-211,-211,-68,0,-13,1006,44,-68
2018-09-30,709,563,-158,405,33,-138,-25,236,106,1220,-170,0,0,0,0,2,-168,-5,-570,-575,-231,-231,-69,-1,-876,155,46,-69
2018-06-30,752,571,106,677,-26,-71,74,38,15,1444,-182,-2,0,0,0,-1,-185,-900,-76,-976,39,39,-69,0,-1006,-19,48,-69
2018-03-31,579.00000,575.00000,-51.00000,524.00000,-71.00000,-124.00000,-94.00000,-736.00000,-1025.00000,78.00000,-116.00000,-57.00000,,,,-6.00000,-179.00000,-453.00000,182.00000,-271.00000,39.00000,39.00000,-60.00000,-50.00000,-342.00000,-386.00000,43.00000,-60.00000
2017-12-31,528,574,-492,82,-201,127,274,1056,1256,1866,-212,-66,0,0,0,-5,-283,-747,-355,-1102,20,20,-60,-2,-1144,603,43,-60
2017-09-30,534,517,-104,413,-34,-62,-49,127,-18,929,-110,-6853,0,0,0,-6,-6969,4717,-275,4442,1699,1699,-59,-1,6081,129,45,-59
2017-06-30,612,477,-115,362,-109,-41,-65,90,-125,849,-87,-6,0,0,0,-2,-95,-626,-70,-696,-209,-209,-59,0,-964,-108,38,-59
2017-03-31,551.00000,465.00000,-36.00000,429.00000,-18.00000,-105.00000,114.00000,-610.00000,-619.00000,361.00000,-92.00000,-301.00000,,,,11.00000,-382.00000,-184.00000,566.00000,382.00000,-442.00000,-442.00000,-59.00000,,-119.00000,-74.00000,33.00000,-59.00000
2016-12-31,629.7,473.8,-16.2,457.6,-239.6,75.7,-10.1,292,118,1205.3,-130.2,-35,-11.7,0,-11.7,84.8,-92.1,-2028.7,135.2002,-1893.5,-238.1,-238.1,-58.8,-0.4,-2190.8,-1188.9,31,-58.8
2016-09-30,473.5,433,-142.9,290.1,-17.4,48.2,26.2,-16.2,40.8,804.4,-79.6,-4110,3.8,0,3.8,-6.8,-4192.6,4951.1,-167.3003,4783.8,-3.3,-3.3,-59.8,0,4720.7,1310.4,34.9,-59.8
2016-06-30,516.6,435.1,-148.5,286.6,-65.1,30.3,5.1,140.1,110.4,913.6,-99.1,-0.6,4,0,4,-0.7,-96.4,-649.9,-237.7999,-887.7,46.7,46.7,-59.1,-13.2,-913.3,-151.7,33.7,-59.1
2016-03-31,402.20000,416.10000,-36.40000,379.70000,-29.90000,-56.20000,34.80000,-395.90000,-447.20000,334.70000,-109.10000,-1032.40000,3.90000,,3.90000,-1.30000,-1138.90000,997.50000,1173.90000,2171.40000,-968.30000,-968.30000,-60.30000,-0.40000,1142.40000,375.20000,33.40000,-60.30000
2015-12-31,602.2,424.3,-112.1,312.2,-3.1,34.3,23.9,383.7,438.8,1353.2,-119,-389,12,0,12,-21,-517,-52.8,-676.5,-729.3,-24.6,-24.6,-60.3,-55.7,-869.9,-57.9,33.2,-60.3
2015-09-30,476.1,427.7,-29.1,398.6,55.8,-53.2,-48.6,-84.8,-130.8,743.9,-99.7,-7.4,0,0,0,0.4,-106.7,-383.5,-396,-779.5,14.9,14.9,-60.2,7,-817.8,-265,32.5,-60.2
2015-06-30,511.6,419.7,-95.6,324.1,-77,-40.8,-13.1,60.1,-70.8,764.9,-89.7,0,0,0,0,14.7,-75,-703.3,-97.4,-800.7,21.7,21.7,-59.7,9.8,-828.9,-96.2,31.1,-59.7
2015-03-31,385.10000,416.30000,-99.20000,317.10000,-124.70000,-81.30000,34.80000,-451.00000,-622.20000,80.00000,-96.60000,-298.60000,,,,0.90000,-394.30000,-851.40000,1218.90000,367.50000,-440.00000,-440.00000,-60.80000,32.90000,-100.40000,-478.90000,28.20000,-60.80000
2014-12-31,601.2,428.7,-0.5,428.2003,-28.1,-0.7,4.5,-51.4,-75.7,953.7,-127.1,-2.2,4.2,0,4.2,-0.9,-126,557,-433.9,123.1,22.7,22.7,-60,3.5,89.3,809.2,30.5,-60
2014-09-30,471.6,455.7,-232.7,222.9999,36.4,-55.3,-6.7,7,-18.6,676,-83.7,469.7,19.4,0,19.4,12,417.4,-978,-103,-1081,24.1,24.1,-60.1,2.9,-1114.1,-50.6,30.6,-60.1
2014-06-30,278.5,434.8,-68.7,366.1,38.9,-21.7,13.2,213.7,244.1,888.7,-66.2,-6.1,65,-33,32,34.1,-6.2,-1851.6,73.8,-1777.8,21.1,21.1,-59.8,2.3,-1814.2,-912.3,30.8,-59.8
2014-03-31,543.10000,365.60000,-825.60000,-460.00000,-192.60000,-32.10000,-9.80000,252.60000,18.10000,101.20000,-101.30000,-11999.70000,,33.00000,33.00000,0.10000,-12067.90000,4398.90000,213.20000,4612.10000,3029.50000,3029.50000,-54.90000,48.40000,7635.10000,-4328.80000,25.20000,-54.90000
2013-12-31,342.1,249.3,-248,1.3002,7.4,57.5,-2.1,322.3,385.1,728.5,-89.7,-5.9,0,7.1,7.1,18.5,-70,3167.7,188.6,3356.3,25.5,25.5,-54.2,-4.1,3323.5,3980.4,24.3,-54.2
2013-09-30,317.6,250.4,-123.7,126.6999,-16.3,-32.1,15.8,93.8,61.2,505.5,-44,-0.8,-0.5,0.5,0,-15.6,-60.4,-0.2,0.9,0.7,32.6,32.6,-54.1,5.2,-15.6,482.9,22.9,-54.1
2013-06-30,277.4,249.2,-14.2,235,-8.2,-29.7,-9.2,13.1,-34,478.4,-65,-0.9,0.5,0,0.5,-0.3,-65.7,-0.2,-0.1,-0.3,70.5,70.5,-53.9,13.6,29.9,404.2,23.3,-53.9
2013-03-31,336.20000,251.00000,2.70000,253.70000,-130.80000,-67.90000,42.50000,-135.40000,-291.60000,298.30000,-63.00000,-3.80000,,,,-0.40000,-67.20000,-0.50000,-1.50000,-2.00000,12.00000,12.00000,-54.00000,16.20000,-27.80000,152.90000,20.40000,-54.00000
2012-12-31,376.4,254.4,-8.6,245.8,28.2,72.7,-61.2,-1.8,37.9,660.1,-103.2,-11,0,1.9,1.9,41.5,-70.8,-354.7,9.6,-345.1001,-227.2,-227.2,-46.9,11.8,-607.4,7.3,20.4,-46.9
2012-09-30,290.4,245.2,-104,141.2,-4.5,-29.3,23.3,58.8,48.3,479.9,-72.1,-893.7,0,0,0,-29.6,-995.4,1282.3,-350.6,931.7001,-332.5,-332.5,-47.6,7.1,558.7,66,20.3,-47.6
2012-06-30,233.8,241.6,23.2,264.8,46.7,-26.3,-19.4,7.9,8.9,507.5,-61.8,-178.2,0,0,0,1.5,-238.5,0.4,-136.9,-136.5,-91.3,-91.3,-47.7,-8.5,-284,-56,20.3,-47.7
2012-03-31,277.30000,242.50000,1.60000,244.10000,-58.40000,-77.00000,67.30000,-61.30000,-129.40000,392.00000,-65.20000,-0.50000,,,,-0.50000,-66.20000,-0.40000,-347.40000,-347.80000,-244.90000,-244.90000,,7.70000,-585.00000,-228.00000,17.20000,0.00000
2011-12-31,288.9,245.6,120.9,366.5,-25.2,33.7,4.8,-31.7,-18.4,637,-78.7,28.4,0,19.5,19.5,-42,-72.8,-0.8,-100.1,-100.9,-345.6,-345.6,0,0.1,-446.4,126,19.4,0
2011-09-30,265.4,228.8,-44.7,184.1,-8.1,0.1,-28.4,-52.4,-88.8,360.7,-59.8,-3599.8,0,0,0,-43.9,-3703.5,2079.6,999.4,3079,-213.1,-213.1,0,5.3,2871.2,-465.8,18.7,0
2011-06-30,523.4,200.9,-301.2,-100.3,-3.9,0.7,-10.9,-54.3,-68.4,354.7,-51.4,-2053.8,0,0,0,828.2,-1277,-419,12,-407,-127.7,-127.7,0,9,-525.7,-1432.6,20.3,0
2011-03-31,252.20000,184.30000,-8.10000,176.20000,-64.00000,-63.10000,68.30000,-31.00000,-89.80000,338.60000,-62.80000,-23.70000,,,,-2.40000,-88.90000,2140.90000,-2.80000,2138.10000,-493.00000,-493.00000,,6.40000,1651.50000,1871.60000,21.60000,
2010-12-31,297.5,178.4,-31.6,146.8,59.1,37.9,-48,-55.1,-6.1,438.2,-70.7,-60.8,0,9,9,-29.8,-152.3,-2.3999,0.8,-1.5999,-325.3,-325.3,0,4.9,-322,-13.1,19.9,0
2010-09-30,268.5,182.4,-21.9,160.5,-30.4,-11.1,-4.1,49.4,3.8,432.8,-61.5,-257.6,0,0,0,3,-316.1,-1,-8.6,-9.6,-471.8,-471.8,0,0.1,-481.3,-377.2,20.9,0
2010-06-30,237.3,185.3,-51.2,134.1,4.2,-16.3,-22.1,-53.5,-87.7,283.7,-54.9,-58.7,0,0,0,1,-112.6,-152,0.2,-151.8,-164.9,-164.9,0,3,-313.7,-124.3,22,0
2010-03-31,232.30000,193.60000,-10.60000,183.00000,-103.70000,-34.60000,73.70000,-7.60000,-72.20000,343.10000,-48.10000,-229.10000,,,,-0.70000,-277.90000,-209.40000,-0.30000,-209.70000,26.80000,26.80000,,4.80000,-178.10000,-132.40000,18.80000,
2009-12-31,273.3,182.8,-1.8,181,77.4,53.9,-76.7,29.7,84.3,538.6,-70.4,-480.1,0,0.6,0.6,-2.8,-552.7,-182.5,-7.7,-190.2,36.9,36.9,0,0.9,-152.4,-181.6,10.6,0
2009-09-30,221.2,195.5,-22.8,172.7,5.9,34,-3.1,-44.1,-7.3,386.6,-40.8,-9.5,0,0.2,0.2,-8.1,-58.2,-0.3,-13.8,-14.1,5.6,5.6,0,0.4,-8.1,328.3,20.6,0
2009-06-30,206.9,194.3,-18.8,175.5,12.4,32.3,-46.9,-4.9,-7.1,375.3,-27.6,-127.3,0,0.4,0.4,1.6,-152.9,4,-3.6,0.4,-407.9,-407.9,0,0.7,-406.8,-143.7,20.6,0
2009-03-31,148.90000,190.30000,-25.60000,164.70000,29.00000,-11.80000,81.50000,-53.60000,45.10000,358.70000,-47.80000,-16.00000,,,,-1.90000,-65.70000,,4.00000,4.00000,5.20000,5.20000,,0.60000,9.80000,280.60000,15.20000,
