,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-12-31,89.07600,13.04200,31.20800,44.25000,-13.96700,-3.11100,43.86100,53.06900,186.39500,-10.31900,-1.00500,,-54.21800,-54.21800,,-65.54200,-133.40700,-133.40700,2.63800,-130.76900,-12.54800,30.62500
2014-09-30,94.021,12.066,27.203,39.269,0.069,-1.328,17.836,36.575,169.865,-7.082,0,0,27.398,27.398,0,20.316,-149.948,-149.948,2.128,-147.82,39.529,25.159
2014-06-30,79.473,11.377,31.375,42.752,-20.087,-2.433,44.161,16.009,138.234,-5.517,0,-49.439,44.476,44.476,0,-10.48,-129.212,-129.212,3.347,-125.865,2.137,31.833
2014-03-31,69.641,11.241,41.228,52.469,-3.131,-1.659,-5.715,-40.143,81.967,-5.139,0,0,75.778,75.778,0,70.639,-149.271,-149.271,4.626,-144.645,8.508,35.636
2013-12-31,68.04800,11.43700,26.93500,38.37200,-17.74600,-0.02500,36.66600,52.50600,158.92600,-4.98000,,,75.14600,75.14600,,70.16600,-186.81200,-186.81200,0.18200,-186.63000,41.63500,34.52800
2013-09-30,76.231,10.3,26.55,36.85,1.683,-0.767,24.628,34.914,147.995,-5.149,0,-87.724,-15.527,-15.527,0,-108.4,-49.814,-49.814,0.435,-49.379,-8.587,22.031
2013-06-30,68.178,9.792,25.606,35.398,-12.348,-0.297,41.122,22.654,126.23,-6.665,0,0,-117.323,-117.323,0,-123.988,-32.635,-32.635,1.261,-31.374,-31.382,27.861
2013-03-31,63.412,9.979,27.548,37.527,16.054,0.76,-13.923,-20.277,80.662,-6.981,0,-124.918,145.234,145.234,0,13.335,-49.543,-49.543,1.892,-47.651,45.099,27.61
2012-12-31,69.49300,9.93400,25.82000,35.75400,-24.25600,-1.31300,28.71700,39.55900,144.80600,-7.78800,,,-125.62900,-125.62900,,-133.41700,-38.41700,-38.41700,0.50300,-37.91400,-26.61800,26.71000
2012-09-30,67.717,10.152,23.612,33.764,8.022,-0.373,26.383,47.074,148.555,-11.323,0,0,-73.8331,-73.8331,0,-85.156,-49.768,-49.768,0.945,-48.823,15.574,26.343
2012-06-30,72.336,10.052,24.648,34.7,-10.09,-0.014,23.489,6.363,113.399,-5.726,0,0,-89.756,-89.756,0,-95.482,-35.151,-35.151,3.97,-31.181,-13.852,23.537
2012-03-31,68.641,9.113,22.394,31.507,4.462,0.469,19.168,1.456,101.604,-6.961,-0.25,-128.335,31.276,31.276,0,-104.27,-49.787,-49.787,4.057,-45.73,-48.029,23.345
2011-12-31,66.49200,5.82200,22.51900,28.34100,-22.60100,-0.34400,33.41500,37.04600,131.87900,-5.85700,,,-61.51400,-61.51400,,-67.37100,-24.89600,-24.89600,1.39900,-23.49700,40.70400,22.12300
2011-09-30,67.61,5.172,27.577,32.749,-11.464,0.792,21.417,21.135,121.494,-9.901,-5.635,0,-40.107,-40.107,0,-55.643,-149.892,-149.892,3.402,-146.49,-83.02,22.134
2011-06-30,62.549,5.179,24.046,29.225,-12.305,0.213,24.561,9.302,101.076,-8.84,0,0,35.463,35.463,0,26.623,-38.087,-38.087,3.935,-34.152,93.589,22.907
2011-03-31,55.575,5.286,21.362,26.648,-0.675,0.029,10.056,9.006,91.229,-6.213,-0.08,0,-7.227,-7.227,0,-13.52,-46.152,-46.152,6.156,-39.996,38.082,21.766
2010-12-31,55.66300,5.25000,22.06800,27.31800,-30.08200,0.63200,35.95100,20.15800,103.13900,-5.49100,,,-91.68800,-91.68800,,-97.17900,-16.15600,-16.15600,10.13000,-6.02600,-0.62100,22.94000
2010-09-30,48.235,5.91,17.77,23.68,-9.715,-1.069,13.257,14.476,86.391,-2.506,0,0,-52.202,-52.202,0,-54.708,-17.668,-17.668,10.113,-7.555,24.941,19.782
2010-06-30,40.495,5.835,22.158,27.993,-12.981,-1.274,7.639,6.821,75.309,-3.279,0,0,-72.559,-72.559,0,-75.838,-9.811,-9.811,6.719,-3.092,-4.711,17.406
2010-03-31,33.144,6.094,15.622,21.716,18.964,-1.653,12.161,23.06,77.92,-3.192,0,0,-63.487,-63.487,0,-66.679,-14.578,-14.578,5.015,-9.563,1.239,16.521
2009-12-31,29.27900,5.99400,24.54700,30.54100,-2.63300,-1.00000,24.67600,14.17200,73.99200,-3.64800,,,-37.35000,-37.35000,,-40.99800,-1.27300,-1.27300,4.68500,3.41200,36.44800,17.06400
2009-09-30,28.35,5.975,7.985,13.96,-15.424,-0.229,19.221,16.306,58.616,-3.437,0,0,-13.136,-13.136,0,-16.573,-20.763,-20.763,0.8,-19.963,22.548,15.337
2009-06-30,22.776,6.244,12.604,18.848,-1.232,1.446,9.646,4.615,46.239,-1.775,-0.002,0,-70.051,-70.051,0,-71.828,-6.432,-6.432,0.244,-6.188,-31.399,12.557
2009-03-31,40.409,14.188,32.047,46.235,4.101,-4.888,8.514,10.482,97.126,-6.457,-0.704,0,-3.547,-3.547,0,-10.708,-41.553,-41.553,-3.002,-44.555,41.385,28.17
