,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,72.40200,27.47200,48.32900,75.80100,-15.83700,9.16800,36.07800,9.42800,157.63100,-13.10400,,,75.00600,75.00600,,61.90200,-17.82500,-17.82500,-7.03700,-374.86200,-152.25000,62.87400
2022-09-30,89.346,27.211,58.513,85.724,-14.468,-24.578,-34.23,-20.715,154.355,-8.507,0,0,79.229,79.229,0,70.722,0.859,0.859,-2.118,-6.259,216.086,59.455
2022-06-30,83.019,28.6,59.483,88.083,-43.36,-15.904,-42.688,-99.701,71.401,-9.325,0,0,118.8,118.8,0,109.475,-214.947,-214.947,-2.091,-222.038,-43.798,61.875
2022-03-31,56.236,29.538,65.088,94.626,4.446,-7.088,-11.449,-24.353,126.509,-5.228,0,0,85.14,85.14,0,79.912,-123.965,-123.965,-3.221,-132.186,74.099,64.129
2021-12-31,93.55900,30.26000,72.06500,102.32500,-77.22300,1.26000,-4.16800,-105.51800,90.36600,-10.56400,,-67.91100,36.48200,36.48200,,-41.99300,-97.43000,-97.43000,-13.59500,-116.02500,-68.51300,63.75700
2021-09-30,110.718,30.439,71.255,101.694,42.396,0.594,-67.696,-15.359,197.053,-7.117,0,0,-184.527,-184.527,0,-191.644,1.054,1.054,-3.112,-7.058,-2.83,60.522
2021-06-30,89.604,28.8,11.359,40.159,-9.036,1.922,31.54,52.541,182.304,-9.444,0,0,-149.81,-149.81,0,-159.254,36.011,36.011,-2.992,28.019,51.682,61.468
2021-03-31,43.241,28.525,89.292,117.817,-25.233,1.884,-18.629,-32.582,128.476,-9.393,0,-410.072,304.385,304.385,0,-115.08,-498.509,-498.509,-3.447,-506.956,-494.721,63.22
2020-12-31,87.67800,27.66000,74.25300,101.91300,-54.41600,1.44300,24.67000,-52.22800,137.36300,-4.69700,,-1.24700,26.58700,26.58700,,20.64300,27.19600,27.19600,-4.48100,17.71500,177.37600,58.06900
2020-09-30,77.663,26.52,76.604,103.124,8.478,0.928,-50.569,-4.883,175.904,-12.083,0,0,27.897,27.897,0,15.814,-49.171,-49.171,-2.536,-56.707,135.3,52.633
2020-06-30,69.872,26.225,60.747,86.972,33.707,2.116,-33.891,2.33,159.174,-12.394,0,0,-34.409,-34.409,0,-46.803,30.556,30.556,0,25.556,138.161,50.868
2020-03-31,61.379,24.133,68.205,92.338,37,1.439,-32.018,28.091,181.808,-13.159,0,-955.574,282.12,282.12,0,-686.613,-49.525,-49.525,-3.04,347.435,-159.28,50.786
2019-12-31,98.52700,18.97900,54.61900,73.59800,-32.68300,2.02000,26.15600,-28.11300,144.01200,-22.30400,,,-7.09600,-7.09600,,-29.40000,20.95900,20.95900,,20.95900,136.39100,47.66100
2019-09-30,94.837,21.862,56.476,78.338,-2.056,1.609,-3.42,32.911,206.086,-20.534,0,0,-273.515,-273.515,0,-294.049,0.143,0.143,0,0.143,-89.109,43.732
2019-06-30,85.905,18.399,48.278,66.677,8.17,-2.546,-29.047,-2.237,150.345,-32.952,0,-611.55,430.961,430.961,0,-213.541,26.555,26.555,0,26.555,-36.487,40.999
2019-03-31,116.087,14.245,40.092,54.337,4.502,-1.904,5.806,23.128,193.552,-29.01,0,0,182.359,182.359,0,153.349,-100.013,-100.013,0,-100.013,246.577,39.494
2018-12-31,130.90500,14.00100,41.65400,55.65500,-28.92100,-0.99100,39.18800,11.29800,197.85800,-21.04600,,,-39.34700,-39.34700,,-60.39300,-82.13200,-82.13200,,-82.13200,55.37900,38.68900
2018-09-30,132.881,15.41,38.053,53.463,2.056,0.754,-7.855,17.961,204.305,-17.391,0,0,-210.701,-210.701,0,-228.092,-150.017,-150.017,0,-150.017,-174.556,36.848
2018-06-30,122.743,14.032,41.153,55.185,-7.259,-1.81,24.307,4.123,182.051,-19.828,0,0,-35.652,-35.652,0,-55.48,-121.117,-121.117,0,-121.117,3.29,38.739
2018-03-31,109.636,14.869,44.837,59.706,0.076,-0.4,12.829,15.413,184.755,-9.755,0,0,-41.592,-41.592,0,-51.347,-150.019,-150.019,0,-150.019,-16.081,41.32
2017-12-31,88.42900,15.18000,55.81600,70.99600,0.23800,0.72200,37.78800,30.53200,189.95700,-5.49100,,,-115.61300,-115.61300,,-121.10400,-130.11000,-130.11000,,-130.11000,-61.21100,40.94800
2017-09-30,135.743,15.545,38.272,53.817,3.18,1.211,2.86,23.505,213.065,-7.506,0,0,-71.88,-71.88,0.087,-79.299,-149.945,-149.945,0.548,-149.397,-17.611,41.586
2017-06-30,97.662,15.325,41.615,56.94,-1.143,1.503,14.404,7.962,162.564,-7.46,0,0,0.224,0.224,-0.087,-7.323,-121.932,-121.932,1.232,-120.7,35.139,43.234
2017-03-31,93.138,15.391,46.753,62.144,19.175,1.13,15.763,20.058,175.34,-9.582,0,0,64.153,64.153,-0.032,54.539,-149.989,-149.989,2.299,-147.69,82.839,43.895
2016-12-31,94.21800,14.88700,43.98700,58.87400,-45.32700,0.37400,44.09100,36.22000,189.31200,-14.13300,-4.00000,,17.97200,17.97200,0.03200,-0.12900,-131.18500,-131.18500,2.94000,-128.24500,58.36300,46.61100
2016-09-30,108.935,14.492,33.31,47.802,-5.575,-0.247,11.016,47.333,204.07,-17.579,-1.5,0,48.417,48.417,-0.003,29.335,-150.002,-150.002,1.012,-148.99,84.974,38.317
2016-06-30,91.789,14.437,40.653,55.09,2.581,1.375,30.407,23.597,170.476,-16.116,0,0,0.554,0.554,0,-15.562,-123.77,-123.77,0.218,-123.552,31.272,38.437
2016-03-31,75.415,14.084,45.189,59.273,12.748,-1.608,-10.793,-1.57,133.118,-16.501,0,0,45.963,45.963,0,29.462,-199.922,-199.922,0.184,-199.738,-34.972,41.773
2015-12-31,89.71600,13.76300,42.79400,56.55700,-0.02200,0.14600,53.71300,57.59800,203.87100,-13.29200,-3.25000,,36.02700,36.02700,,19.48500,-181.56100,-181.56100,1.19400,-180.36700,42.83700,38.23300
2015-09-30,97.037,13.358,34.837,48.195,-18.586,-3.69,40.491,38.111,183.343,-18.592,-0.555,0,-185.83,-185.83,0,-204.977,-149.9819,-149.9819,2.906,-147.076,-171.72,41.634
2015-06-30,93.172,12.971,32.438,45.409,1.599,-0.684,20.581,33.926,172.507,-21.213,0,0,166.396,166.396,0,145.183,-126.229,-126.229,2.425,-123.804,194.575,36.517
2015-03-31,85.729,13.212,36.269,49.481,-7.726,-1.761,35.664,7.086,142.296,-10.183,-5.219,0,130.039,130.039,0,114.637,-156.801,-156.801,1.548,-155.253,98.651,36.777
