,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,116,116,-20,96,84,19,93,334,-147,0,-38,11,11,0,-174,-1,-1,-434,-434,-75,-35,-545,-385,22,-75
2022-09-30,276,108,83,191,12,-16,31,502,-118,0,0,0,0,0,-118,0,0,-346,-346,-78,-50,-474,-90,18,-78
2022-06-30,250,107,43,150,78,30,-27,402,-76,0,-1,-5,-5,0,-82,0,0,-142,-142,-78,-22,-242,78,19,-78
2022-03-31,373.00000,106.00000,-25.00000,81.00000,72.00000,20.00000,22.00000,480.00000,-63.00000,,-105.00000,-1.00000,-1.00000,,-169.00000,-1.00000,-1.00000,-363.00000,-363.00000,-74.00000,-33.00000,-471.00000,-160.00000,18.00000,-74.00000
2021-12-31,413,106,50,156,36,-48,-82,481,-144,0,-80,-758,-758,755,-227,0,0,-268,-268,-77,-24,-369,-115,19,-77
2021-09-30,527,101,24,125,-220,-21,-42,561,-89,0,-20,13,13,0,-96,-1,-1,40,40,-76,-1,-38,427,21,-76
2021-06-30,650,100,-365,-265,127,58,72,460,-84,0,-231,752,752,0,437,0,0,-1449,-1449,-81,-37,-1567,-670,21,-81
2021-03-31,490.00000,101.00000,3.00000,104.00000,138.00000,2.00000,139.00000,731.00000,-86.00000,,,-7.00000,-7.00000,,-93.00000,-1.00000,-1.00000,-393.00000,-393.00000,-75.00000,-97.00000,-566.00000,72.00000,18.00000,-75.00000
2020-12-31,609,98,108,206,-100,-21,-256,541,-162,0,-1,-5,-5,0,-168,-552,-552,-205,-205,-75,12,-820,-447,34,-75
2020-09-30,591,89,26,115,-280,-17,219,862,-91,0,-101,-1,-1,0,-193,-1,-1,27,27,-76,-2,-52,617,32,-76
2020-06-30,193,89,32,121,-160,53,36,355,-82,0,-120,-3,-3,0,-205,549,549,37,37,-75,-15,496,646,17,-75
2020-03-31,106.00000,85.00000,35.00000,120.00000,85.00000,-12.00000,23.00000,247.00000,-83.00000,,-108.00000,-15.00000,-15.00000,,-206.00000,-801.00000,-801.00000,5.00000,5.00000,-71.00000,-24.00000,-891.00000,-850.00000,14.00000,-71.00000
2019-12-31,265,82,-56,26,50,-11,52,348,-172,0,-2,-17,-17,91,-100,796,796,-179,-179,-71,-36,510,758,12,-71
2019-09-30,226,82,18,100,-32,-31,-16,299,-96,0,0,-13,-13,0,-109,0,0,-18,-18,-72,61,-29,161,12,-72
2019-06-30,239,81,26,107,-10,33,-10,321,-85,0,0,-7,-7,0,-92,-301,-301,-4,-4,-71,-44,-420,-191,15,-71
2019-03-31,176.00000,84.00000,24.00000,108.00000,-71.00000,5.00000,9.00000,275.00000,-47.00000,,-56.00000,-7.00000,-7.00000,,-110.00000,337.00000,337.00000,-33.00000,-33.00000,-72.00000,-68.00000,164.00000,329.00000,17.00000,-72.00000
2018-12-31,139,81,32,113,101,1,37,295,-151,0,-202,5,5,2,-346,159,159,-168,-168,-68,0,-77,-128,8,-68
2018-09-30,227,77,41,118,-39,-7,75,402,-81,0,-54,10,10,0,-125,-2,-2,-76,-76,-69,1,-146,131,19,-69
2018-06-30,233,77,27,104,-30,5,-33,323,-78,0,-35,-13,-13,0,-126,-136,-136,37,37,-68,-22,-189,8,15,-68
2018-03-31,189.00000,74.00000,46.00000,120.00000,-97.00000,32.00000,-128.00000,180.00000,-73.00000,,-130.00000,-1.00000,-1.00000,,-204.00000,103.00000,103.00000,-16.00000,-16.00000,-61.00000,-15.00000,11.00000,-13.00000,19.00000,-61.00000
2017-12-31,267,73,-46,27,38,-12,37,323,-82,0,-281,-4,-4,1,-366,28,28,-110,-110,-61,-27,-170,-213,25,-61
2017-09-30,175,69,24,93,-5,-2,86,362,-63,0,-187,3,3,0,-247,-2,-2,-22,-22,-62,7,-79,36,17,-62
2017-06-30,207,66,90,156,11,-7,-60,294,-65,0,-111,6,6,0,-170,-1,-1,-99,-99,-62,-15,-177,-53,20,-62
2017-03-31,175.00000,62.00000,30.00000,92.00000,-35.00000,-5.00000,-72.00000,196.00000,-42.00000,,-1.00000,-4.00000,-4.00000,,-47.00000,-2.00000,-2.00000,-104.00000,-104.00000,-62.00000,2.00000,-166.00000,-17.00000,17.00000,-62.00000
2016-12-31,167,63,-157,-94,274,10,265,351,-128,0,0,21,21,25,-82,-6,-6,-140,-140,-55,-90,-291,-22,17,-55
2016-09-30,205,63,114,177,-67,57,-57,301,-61,0,-279,-2,-2,270,-72,-2,-2,-25,-25,-57,-22,-106,123,16,-57
2016-06-30,209,61,-32,29,-104,-3,64,311,-57,0,275,-1,-1,0,217,-63,-63,-244,-244,-56,-10,-373,155,18,-56
