,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,371,42,-37,5,-58,0,4,76,452,-121,22,0,0,9,-90,-21,279,258,-486,-486,-160,-7,-395,-16,20,-160
2022-09-30,331,33,28,61,-22,0,-1,61,453,-61,10,0,0,3,-48,-20,0,-20,-157,-157,-162,-3,-342,35,19,-162
2022-06-30,224,34,122,156,-33,0,11,-111,269,-55,17,0,0,3,-35,356,-174,182,-214,-214,-162,-15,-209,10,19,-162
2022-03-31,399.00000,37.00000,-52.00000,-15.00000,29.00000,,-13.00000,-131.00000,253.00000,-42.00000,24.00000,,,-11.00000,-29.00000,-15.00000,174.00000,159.00000,-343.00000,-343.00000,-165.00000,-28.00000,-377.00000,-153.00000,26.00000,-165.00000
2021-12-31,330,47,9,56,-46,0,-28,28,414,-92,37,0,0,5,-50,-10,0,-10,-734,-734,-146,4,-886,-540,17,-146
2021-09-30,528,39,-128,-89,-25,0,6,80,519,-54,5,0,0,-66,-115,605,0,605,-327,-327,-147,-46,85,477,20,-147
2021-06-30,391,39,25,64,-2,0,-2,-6,449,-39,23,0,0,-6,-22,10,0,10,-244,-244,-149,-20,-403,32,17,-149
2021-03-31,326.00000,39.00000,59.00000,98.00000,27.00000,,-9.00000,-100.00000,324.00000,-45.00000,20.00000,,,39.00000,14.00000,-112.00000,,-112.00000,-286.00000,-286.00000,-150.00000,-15.00000,-563.00000,-222.00000,21.00000,-150.00000
2020-12-31,332,46,-4,42,16,0,-3,78,452,-61,6,0,0,-11,-66,-375,0,-375,-239,-239,-141,-7,-762,-351,53,-141
2020-09-30,283,47,4,51,42,0,37,157,491,-32,10,206,206,19,203,-51,-575,-626,0,0,-142,-16,-784,-73,15,-142
2020-06-30,206,26,-15,11,-21,0,-9,-93,124,-32,1,0,0,0,-31,579,-402,177,0,0,-142,-25,10,138,11,-142
2020-03-31,83.00000,27.00000,182.00000,209.00000,25.00000,,-17.00000,-54.00000,238.00000,-35.00000,-406.00000,,,,-441.00000,-20.00000,972.00000,952.00000,,,-141.00000,-13.00000,798.00000,542.00000,18.00000,-141.00000
2019-12-31,488,28,-180,-152,-52,0,1,96,432,-87,55,0,0,-2,-34,-20,-6,-26,-343,-343,-126,-3,-498,-68,14,-126
2019-09-30,255,30,86,116,-11,0,15,51,422,-33,30,0,0,1,-2,529,-151,378,-167,-167,-128,-31,52,447,14,-128
