,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2090.542,211.5981,131.2661,342.8642,-2239.743,-2192.436,6854.9429,3349.4049,5782.811,-516.342,-14.1286,0,127.2442,0,127.2442,-11.136,-414.3617,22.9959,-24.7574,-1.7616,-529.862,-529.862,-663.77,0,-1195.395,4159.8174,24.3481,-663.77
2022-09-30,1590.748,123.5629,-259.7491,-136.1862,0,0,-391.5031,-391.5031,1063.059,-331.626,-6.7334,0,76.6338,0,76.6338,-241.728,-503.4537,-28.9431,28.8206,-0.1225,-890.446,-890.446,-461.155,0,-1351.724,-783.745,21.1787,-461.155
2022-06-30,1464.1013,132.7118,-27.3734,105.3384,0,0,1184.1042,1184.1042,2753.5434,-233.0968,-5.7427,0,85.7356,0,85.7356,0,-153.1039,528.1114,-532.7818,-4.6704,-1118.754,-1118.754,-1572.08,0,-2695.503,-93.803,14.1609,-1572.08
2022-03-31,780.26570,147.00820,-15.03750,131.97070,,,-1569.95800,-1569.95800,-657.72140,-269.44020,-12.90530,,269.21580,,269.21580,,-13.12970,,-15.14970,-15.14970,-2263.14100,-2263.14100,,,-2278.29100,-2948.80500,12.90530,
2021-12-31,2114.138,148.2935,-152.6187,-4.3251,-1434.627,-571.674,5990.6349,5499.4119,7609.229,-325.67,-20.6726,374.0282,-588.7807,-0.603,-589.3833,0,-561.6979,-14.3155,11.0845,-3.231,-3093.337,-3093.337,-865.2093,0,-3961.776,3108.47,39.9615,-865.2093
2021-09-30,1991.145,131.0967,-378.8006,-247.704,0,0,313.4866,313.4866,2056.928,-221.2385,-9.0686,-0.3573,29.938,-146.5746,-116.637,0,-347.2754,0,-2.8912,-2.8912,-2726.821,-2726.821,16.4249,0,-2713.287,-1001.253,38.8078,16.4249
2021-06-30,1249.995,135.7097,52.0487,187.7584,0,0,2863.0735,2863.0735,4300.826,-290.3689,-7.5854,15.569,1475.9586,0,1475.9586,0,1193.5476,0,-3.8531,-3.8531,-2372.925,-2372.925,-770.0516,0,-3146.83,2342.843,34.9274,-770.0516
2021-03-31,1605.13600,142.14020,5.18410,147.32430,,,-2887.77400,-2887.77400,-1135.31300,-228.34060,-9.52420,,-131.89260,,-131.89260,,-369.75750,,-4.34020,-4.34020,-1876.63700,-1876.63700,,,-1880.97700,-3382.43100,25.31760,
2020-12-31,1483.968,133.4883,138.5543,272.0425,-705.8272,-807.2634,4506.879,3580.1306,5336.1402,-316.7151,-13.2258,-254.5044,-494.8862,-2.2461,-497.1322,0,-1081.5771,-40.414,0,-40.414,-777.8365,-777.8365,-557.8978,0,-1376.1485,2876.2182,5.8087,-557.8978
2020-09-30,1318.408,159.1448,-89.5256,69.6193,0,0,-1180.513,-1180.513,207.5141,-279.4156,-11.8261,0,92.5933,-11.69,80.9033,0,-210.3384,99.752,0,99.752,-20.9708,-20.9708,-38.3499,0,40.4315,35.6213,28.0136,-38.3499
2020-06-30,826.1061,137.4992,8.6966,146.1957,0,0,-561.531,-561.531,410.7712,-247.3715,-7.3547,0,492.5065,-0.331,492.1755,0,237.4493,819.5385,0,819.5385,13.1598,13.1598,-621.9013,0,210.7971,855.491,11.31,-621.9013
2020-03-31,430.90990,130.50860,1.10320,131.61180,,,-1230.84000,-1230.84000,-668.31850,-255.39080,-11.91460,,-223.17740,0.33100,-222.84640,,-490.15180,815.15450,,815.15450,-550.38650,-550.38650,,,264.76800,-892.04750,16.43770,
2019-12-31,1281.858,140.2528,83.6136,223.8664,-392.336,-453.264,3504.789,2510.6771,4016.4008,-345.8488,-11.7408,0,-782.9152,0,-782.9152,1.008,-1139.4968,-1.0312,0,-1.0312,-208.1152,-208.1152,-501.3312,0,-710.478,2167.464,33.0672,-501.3312
2019-09-30,687.0244,122.4304,78.4208,200.8512,0,0,-806.128,-806.128,81.7484,-203.306,-11.2736,0,208.0676,0,208.0676,0,-6.512,-1.0892,0,-1.0892,-156.1032,-156.1032,10.6128,0,-146.579,-65.88,19.6872,10.6128
2019-06-30,530.8303,120.605,-20.2013,100.4036,0,0,-513.722,-513.722,117.5115,-142.4746,-12.1277,0,393.1091,0,393.1091,0,238.5067,-1.3405,0,-1.3405,-10.6807,-10.6807,-994.0656,0,-1006.087,-655.052,13.8742,-994.0656
2019-03-31,403.66330,119.03180,-2.95310,116.07880,,,-1065.83500,-1065.83500,-546.09270,-166.96260,-98.47390,,-123.46150,,-123.46150,,-388.89790,-0.79510,,-0.79510,-53.83690,-53.83690,,,-54.63200,-985.98800,16.92340,
2018-12-31,963.053,136.0975,-108.417,27.6806,-547.6297,-609.0417,1706.02,961.1633,1951.897,-231.5335,-17.3925,0,-205.3468,13.3711,-191.9758,5.1964,-435.7054,-1.2139,0,-1.2139,-429.8465,-429.8465,-10.9269,0,-441.987,1083.0187,10.4977,-10.9269
2018-09-30,757.502,121.8482,24.1648,146.013,0,0,-359.6427,-359.6427,543.873,-142.486,-5.5707,0,-140.036,-0.1332,-140.1692,0,-288.2259,-0.1847,0,-0.1847,-413.0391,-413.0391,17.8532,0,-395.371,-144.4251,18.661,17.8532
2018-06-30,676.7258,115.1471,97.7498,212.8968,0,0,8.6899,8.6899,898.3118,-145.0619,-11.4642,0,81.7753,-5.7398,76.0356,0,-80.4904,-1.5394,0,-1.5394,-288.4813,-288.4813,-712.1014,0,-1002.1222,-173.423,10.5254,-712.1014
2018-03-31,663.39920,126.11590,125.62420,251.74020,,,-680.36220,-680.36220,234.77720,-158.81260,-7.49810,,397.76910,-7.49810,390.27100,,223.96020,-0.36880,,-0.36880,-196.54910,-196.54910,,,-196.91780,252.96940,14.99620,
2017-12-31,660.386,101.4456,37.2213,138.6671,-1037.163,-268.7853,959.5441,338.444,1137.4969,-159.0465,-7.1325,0,-461.6052,33.148,-428.4569,22.2669,-572.3692,9.6422,0,9.6422,-357.6359,-357.6359,23.2515,0,-324.743,242.3549,14.8874,23.2515
2017-09-30,723.731,135.0118,69.5242,204.536,0,0,-430.9688,-430.9688,497.2987,-119.6032,-3.2342,0,75.37,-82.075,-6.7046,0,-129.5419,-19.487,0,-19.487,-177.7159,-177.7159,-38.8042,0,-236.0065,117.4927,19.1668,-38.8042
2017-06-30,528.621,118.1092,56.6675,174.7767,0,0,-125.7712,-125.7712,577.6263,-63.273,-5.6804,0,585.8975,-1342.2925,-756.3953,0,-825.3487,-263.5393,0,-263.5393,13.5409,13.5409,-568.4733,0,-818.4718,-1096.1121,11.5777,-568.4733
2017-03-31,481.80300,117.33360,64.79460,182.12810,,,-843.39500,-843.39500,-179.46390,-41.13600,-5.54160,,-32.71700,239.78250,207.06550,,160.38780,-1.27880,,-1.27880,13.85410,13.85410,,,12.57530,3.94310,14.38700,
2016-12-31,571.639,111.8626,-1.4918,110.3709,34.6222,-48.3164,791.4639,634.2968,1316.3067,-104.2034,-0.9114,-2922.857,-10.3898,280.4678,270.078,0,-2757.8942,810.88,0,810.88,610.0491,610.0491,4.0073,0.3067,1425.2433,-10.8477,12.9625,4.0073
2016-09-30,433.7354,95.4541,60.812,156.2661,0,0,-599.8105,-599.8105,-9.8087,-71.754,-2.8303,0,-16.189,-446.7378,-462.9268,0,-537.511,1654.9905,0,1654.9905,1.9517,1.9517,6.3763,0.5563,1663.8745,1108.5031,12.5952,6.3763
