,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,906,-62,-2699,-2761,0,-6403,636,-4330,-5780,-422,-2296,5214,2918,1766,4262,-1357,387,-970,985,985,1371,-5461,-4075,-7218,1371
2022-09-30,-290,-126,656,530,0,2309,1341,3584,4278,0,1759,-2758,-999,-23,-1022,457,354,811,-346,-346,-450,2596,2611,5738,-450
2022-06-30,-572,170,2192,2362,-972,2690,757,1187,1501,422,-2291,-634,-2925,-1232,-3735,-64,-372,-436,-344,-344,-455,2273,1038,644,-455
2022-03-31,-44.00000,18.00000,-149.00000,-131.00000,972.00000,1404.00000,-2734.00000,-441.00000,1.00000,,2828.00000,-1822.00000,1006.00000,-511.00000,495.00000,964.00000,-369.00000,595.00000,-295.00000,-295.00000,-466.00000,592.00000,426.00000,836.00000,-466.00000
2021-12-31,1242,1177,-894,283,299,1983,303,2017,3333,0,-2684,-3383,-6067,128,-5939,-346,341,-5,-353,-353,-440,1314,516,-2719,-440
2021-09-30,1565,42,-25,17,0,3116,453,3854,5417,0,1605,-3942,-2337,-228,-2565,-992,330,-662,-822,-822,-448,1072,-860,458,-448
2021-06-30,2183,15,-25,-10,-261,1001,1541,1920,4359,132,-1018,-2808,-3826,380,-3314,-49,-56,-105,-825,-825,-455,-612,-1997,-956,-455
2021-03-31,2804.00000,30.00000,-1900.00000,-1870.00000,261.00000,1662.00000,-5174.00000,-2669.00000,-3297.00000,,2464.00000,5317.00000,7781.00000,-1305.00000,6476.00000,-53.00000,-276.00000,-329.00000,-300.00000,-300.00000,-471.00000,430.00000,-670.00000,2296.00000,-471.00000
2020-12-31,1022,9,2622,2631,-743,3161,-9753,-7428,-4513,0,2145,-5415,-3270,799,-2471,-565,484,-81,47,47,-441,292,-183,-6949,-441
2020-09-30,1507,65,350,415,0,2470,-4238,-2095,-598,1454,1361,-2680,-1319,-525,-390,62,-353,-291,33,33,-439,1076,379,-493,-439
