,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-500.206,393.406,37.127,430.533,-60.793,13.17,-4.592,348.73,646.2709,576.598,-166.442,0,0.614,0.614,49.013,-116.815,-63.012,0,-63.012,0,0,0,-28.915,-91.927,368.792,11.831,0
2022-09-30,32.968,400.308,-7.822,392.4861,28.05,-8.078,-142.497,-333.725,-469.988,-44.534,-225.528,0,0,0,-117.876,-343.404,-52.516,0,-52.516,0,0,0,-94.347,-146.863,-535.992,14.151,0
2022-06-30,-521.582,393.086,24.153,417.2389,-169.369,-49.642,109.32,556.788,582.983,478.64,-954.651,0,-0.614,-0.614,-129.141,-1084.406,782.422,0,782.422,0,0,0,-40.39,742.032,133.701,-12.705,0
2022-03-31,-1167.14200,382.65700,41.61800,424.27500,-32.23600,-29.24200,112.42600,282.14000,214.02000,-528.84700,-1363.02100,,,,-80.12000,-1443.14100,1342.33700,,1342.33700,,,,-104.60600,1237.73100,-733.26600,22.83900,
2021-12-31,-1356.968,393.893,29.785,423.678,43.828,-7.816,81.303,366.581,728.244,-205.046,-574.833,0,-0.144,-0.144,-9.528,-584.505,239.232,0,239.232,0,0,0,-37.214,202.018,-587.556,8.203,0
2021-09-30,-1424.554,384.826,172.184,557.01,-44.973,-9.52,69.142,353.923,464.329,-403.215,-368.096,0,0,0,-8.463,-376.559,-162.392,0,-162.392,0,0,0,-18.041,-180.433,-961.043,19.873,0
2021-06-30,-1347.255,387.663,46.544,434.207,-108.165,-13.483,45.572,484.267,452.677,-460.371,-224.4839,0,0.285,0.285,8.084,-216.115,-107.512,0,-107.512,4.626,4.626,0,-62.046,-164.932,-841.094,16.728,0
2021-03-31,-1131.72200,375.05100,111.12600,486.17700,-72.39700,-3.70800,-7.49900,69.80500,-163.63800,-809.18300,-886.25210,,-70.36900,-70.36900,-10.93900,-967.56000,2066.09900,-414.57000,1651.52900,1617.23400,1617.23400,,-84.83900,3183.92400,1406.98900,18.83400,
2020-12-31,-1366.935,383.029,292.222,675.251,-12.714,7.402,-43.509,-10.644,-133.714,-825.398,-364.094,0,-12.666,-12.666,-13.113,-389.873,460.113,0,460.113,1431.375,1431.375,0,-11.461,1880.026,667.686,9.908,0
2020-09-30,-1339.312,372.881,191.099,563.98,38.896,10.164,-208.704,36.2,-82.1,-857.432,-186.606,0,0,0,-10.61,-197.216,-5.859,0.077,-5.782,0,0,0,-68.663,-74.444,-1129.903,21.107,0
2020-06-30,-1631.848,338.813,301.287,640.1,10.295,25.109,-732.944,-438.161,-1255.7849,-2247.533,-139.337,0,-85.943,-85.943,-25.02,-250.3,3117.481,25.342,3142.823,0,0,-162.858,-225.97,2753.994,255.88,16.192,-162.858
2020-03-31,-1437.03500,340.74900,1154.66500,1495.41400,84.57800,-15.59800,851.34200,-935.07900,140.33090,198.71000,-1247.29800,,-2.00000,-2.00000,-91.87900,-1341.17700,6130.32200,-1097.23800,5033.08400,,,-163.56300,-79.30900,4790.21200,3647.07300,-7.42800,-163.56300
2019-12-31,280.474,337.367,-18.413,318.954,26.784,5.107,24.27,-7.284,9.87,609.298,-682.768,0,-18.68,-18.68,12.386,-689.062,-190.9048,504.2968,313.3921,-101.034,-101.034,-163.131,-4.692,44.538,-32.992,24.674,-163.131
2019-09-30,890.365,331.48,13.585,345.065,-22.42,0.796,7.417,-405.9,-323.889,911.541,-475.754,0,-3.843,-3.843,-23.342,-502.939,-84.446,-131.6171,-216.0632,1.187,1.187,-146.346,-4.788,-366.012,41.729,9.282,-146.346
2019-06-30,479.955,330.135,53.676,383.811,30.12,-10.07,34.751,140.58,253.307,1117.073,-1396.025,0,-3.046,-3.046,-49.886,-1448.957,570.5349,-73.878,496.6569,0.024,0.024,-146.38,-31.517,318.784,-13.196,14.652,-146.38
2019-03-31,256.80600,310.56700,5.68100,316.24800,-44.38200,-4.36600,8.84300,568.41200,505.40000,1078.45400,-470.11600,,,,19.66800,-450.44800,-829.86400,328.62600,-501.23800,0.24100,0.24100,-146.81700,-19.86700,-667.68100,-39.65500,27.32200,-146.81700
2018-12-31,320.453,297.65,-21.023,276.627,7.568,-2.089,56.304,41.461,135.075,732.155,-1150.901,0,-11.978,-11.978,32.333,-1130.546,834.5361,-230.1548,604.381,-4.206,-4.206,-146.029,-21.827,432.319,33.031,-17.359,-146.029
2018-09-30,810.391,279.14,21.462,300.602,-33.303,-11.275,-23.409,-315.035,-295.595,815.398,-296.247,-916.135,-15.194,-15.194,9.945,-1217.631,-106.685,994.991,888.3061,-205.419,-205.419,-126.82,-4.27,551.797,145.823,31.601,-126.82
2018-06-30,466.295,259.551,109.642,369.193,26.343,-11.052,-51.625,199.641,171.976,1007.464,-492.648,0,13.215,13.215,-16.403,-495.836,-251.1371,0,-251.1371,-94.239,-94.239,-126.805,-25.715,-497.896,-2.247,11.655,-126.805
2018-03-31,218.65300,250.33800,32.34200,282.68000,-10.18100,0.56700,110.46700,388.15300,422.78900,924.12200,-1720.23200,,,,75.08700,-1645.14500,1150.51500,,1150.51500,-271.17500,-271.17500,-127.84000,-39.64700,711.85300,-8.86700,20.16400,-127.84000
