,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,323.929,72.057,48.241,120.298,-13.009,23.756,-105.57,-82.879,361.348,-268.314,109.677,109.677,0,-158.637,0,0,-199.918,-199.918,-33.044,-0.164,-233.126,-30.415,15.893,-33.044
2022-09-30,377.401,68.351,29.305,97.656,0,0,39.124,39.124,514.181,-180.603,66.016,66.016,0,-114.587,0,0,-345.431,-345.431,-33.405,-0.165,-379.001,20.593,0,-33.405
2022-06-30,376.078,68.314,14.793,83.107,0,0,-23.742,-23.742,427.328,-220.877,55.083,55.083,0,-165.794,0,0,-393.518,-393.518,-33.839,99.835,-327.522,-65.988,0,-33.839
2022-03-31,299.75100,67.34400,-1.20500,66.13900,,,14.72000,14.72000,388.72500,-83.25800,-25.19600,-25.19600,,-108.45400,,,-338.35200,-338.35200,-34.19600,-108.16500,-480.71300,-200.44200,,-34.19600
2021-12-31,278.806,66.793,27.602,94.395,-125.562,14.008,95.31,-33.21,339.991,-164.4761,-29.63,-29.63,0,-194.106,0,0,0,0,-22.979,-0.103,-23.082,122.803,15.039,-22.979
2021-09-30,286.634,65.164,15.876,81.04,0,0,-3.35,-3.35,364.324,-175.456,-59.736,-59.736,-0.5,-235.692,0,0,-256.25,-256.25,-22.979,6.154,-273.075,-144.443,0,-22.979
2021-06-30,269.576,63.951,15.45,79.401,0,0,-144.87,-144.87,197.983,-147.3,144.882,144.882,0,-2.418,0,0,-40,-40,-23.176,-0.085,-63.261,132.304,0,-23.176
2021-03-31,199.35900,63.99100,0.60300,64.59400,,,40.23100,40.23100,310.30800,-43.29700,20.22500,20.22500,,-23.07200,,,-240.21500,-240.21500,-23.23200,-73.31900,-336.76600,-49.53000,,-23.23200
2020-12-31,189.832,65.11,-8.743,56.367,-49.045,-1.743,43.864,0.367,246.566,-58.343,-124.871,-124.871,0,-183.214,-45,-45,-57.266,-57.266,-17.552,37.5,-82.318,-18.966,11.337,-17.552
2020-09-30,201.868,64.987,0.746,65.733,0,0,-97.359,-97.359,170.242,-45.49,-205.301,-205.301,-0.1,-250.891,0,0,0,0,-17.579,0,-17.579,-98.228,0,-17.579
2020-06-30,147.805,65.735,-9.056,56.679,0,0,112.559,112.559,312.198,-66.89,0,0,0,-66.89,99.923,99.923,-128.497,-128.497,-17.582,-37.5,-83.656,161.652,0,-17.582
2020-03-31,133.17700,65.43500,0.07800,65.51300,,,0.48300,0.48300,204.01800,-50.66800,,,,-50.66800,,,-178.29400,-178.29400,-18.31000,-3.34500,-199.94900,-46.59900,,-18.31000
2019-12-31,144.024,64.544,36.019,100.563,30.33,-8.264,7.708,67.683,236.373,-105.927,0,0,0,-105.927,0,0,-35.614,-35.614,-13.547,0,-49.161,81.285,11.354,-13.547
2019-09-30,164.099,63.493,6.053,69.546,0,0,0,0,285.632,-138.122,0,0,0,-138.122,0,0,-40.614,-40.614,-13.57,0,-54.184,93.326,1.147,-13.57
2019-06-30,174.072,62.571,2.524,65.095,0,0,0,0,255.708,-159.126,0,0,0,-159.126,0,0,-134.136,-134.136,-13.645,-0.468,-148.249,-51.667,2.283,-13.645
2019-03-31,133.32300,63.07300,2.41000,65.48300,,,,,206.17500,-70.46400,,,,-70.46400,,,-30.59600,-30.59600,-13.79000,-0.98000,-45.36600,90.34500,1.93300,-13.79000
2018-12-31,159.459,62.555,59.593,122.148,-34.666,4.789,48.701,1.011,224.698,-114.772,0,0,0.119,-114.653,0,0,-86.676,-86.676,-10.555,0,-97.231,12.814,1.335,-10.555
2018-09-30,173.442,58.086,0.427,58.513,0,0,0,0,250.727,-174.796,0,0,0.799,-173.997,0,0,-29.195,-29.195,-10.638,0,-39.833,36.897,1.284,-10.638
2018-06-30,163.434,56.235,1.564,57.799,0,0,0,0,213.444,-191.53,0,0,0,-191.53,0,0,-30.095,-30.095,-10.678,-0.507,-41.28,-19.366,1.143,-10.678
2018-03-31,109.33300,53.48100,1.49600,54.97700,,,,,211.24700,-100.21100,,,,-100.21100,-50.00000,-50.00000,-17.29900,-17.29900,-10.69500,-0.56700,-78.56100,32.47500,1.13200,-10.69500
2017-12-31,197.25,53.093,-83.059,-29.966,-76.353,-15.487,39.816,-55.12,148.281,-90.682,0,0,0,-90.682,0,0,0,0,-8.228,0,-8.228,49.371,0.826,-8.228
2017-09-30,102.314,51.934,2.861,54.795,0,0,0,0,149.499,-98.274,0,0,2.139,-96.135,0,0,-0.878,-0.878,-8.228,0,-9.106,44.258,0.826,-8.228
2017-06-30,98.418,50.449,1.288,51.737,0,0,0,0,127.705,-125.76,0,0,0,-125.76,0,0,-7.085,-7.085,-8.234,-0.344,-15.663,-13.718,0.88,-8.234
2017-03-31,65.79200,50.28700,0.78700,51.07400,,,,,110.80900,-55.16900,,,,-55.16900,,-9.97500,-0.05000,-0.05000,-8.23500,,-18.26000,37.38000,0.71000,-8.23500
2016-12-31,68.511,49.574,34.9,84.474,-11.176,22.442,11.115,43.565,155.455,-60.85,0,0,0,-60.85,0,-88.154,-11.294,-11.294,0,0,-99.448,-4.843,0.466,0
2016-09-30,85.581,49.041,0.54,49.581,0,0,0,0,117.897,-54.014,0,0,0,-54.014,0,-25.203,-34.339,-34.339,0,0,-59.542,4.341,0.464,0
