,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-03-31,681.00000,36.00000,96.00000,132.00000,427.00000,52.00000,-32.00000,467.00000,1075.00000,,-255.00000,-612.00000,-867.00000,-153.00000,-1020.00000,1277.00000,-477.00000,800.00000,-308.00000,-308.00000,-214.00000,55.00000,333.00000,293.00000,-214.00000
2014-12-31,555,29,314,343,-402,522,-48,81,1274,-594,381,-476,-95,-127,-816,0,1,1,-389,-389,-216,67,-537,-151,-216
2014-09-30,785,44,44,88,-232,442,130,490,1126,0,-689,489,-200,-29,-229,-1,0,-1,-431,-431,-218,35,-615,212,-218
2014-06-30,779,62,190,252,-452,643,-119,1,846,-172,470,-1186,-716,-68,-956,199,0,199,-187,-187,-214,49,-153,-253,-214
2014-03-31,734.00000,53.00000,104.00000,157.00000,740.00000,-224.00000,-52.00000,479.00000,1250.00000,,-765.00000,312.00000,-453.00000,-50.00000,-503.00000,,,,-295.00000,-295.00000,-214.00000,37.00000,-472.00000,268.00000,-214.00000
2013-12-31,998,61,-83,-22,287,-331,38,-53,1286,0,-1,-1097,-1098,-205,-1303,0,-1,-1,-31,-31,-174,45,-161,-189,-174
2013-09-30,916,73,31,104,-30,-146,110,-84,928,0,662,-1363,-701,-62,-763,0,1,1,29,29,-174,38,-106,89,-174
2013-06-30,891,68,-41,27,-471,1009,-121,408,895,-944,550,-445,105,-71,-910,0,-1,-1,4,4,-167,9,-155,-176,-167
2013-03-31,953.00000,66.00000,-171.00000,-105.00000,400.00000,-91.00000,-58.00000,280.00000,913.00000,-33.00000,-687.00000,-691.00000,-1378.00000,-55.00000,-1466.00000,947.00000,1.00000,948.00000,-154.00000,-154.00000,-2.00000,21.00000,813.00000,240.00000,-2.00000
2012-12-31,765,59,-325,-266,934,-635,-8,80,970,0,117,-658,-541,-216,-757,0,-1,-1,53,53,-331,0,-279,-75,-331
2012-09-30,640,58,105,163,-298,1204,168,1118,1642,-68,0,-1280,-1280,-84,-1432,0,0,0,18,18,-166,0,-148,73,-166
2012-06-30,328,58,396,454,-252,512,-200,19,811,-5,0,-478,-478,-152,-635,0,-130,-130,27,27,-159,0,-262,-98,-159
2012-03-31,973.00000,45.00000,-261.00000,-216.00000,375.00000,-391.00000,-83.00000,-58.00000,572.00000,-25.00000,,-487.00000,-487.00000,-103.00000,-615.00000,,281.00000,281.00000,17.00000,17.00000,-159.00000,,139.00000,101.00000,-159.00000
2011-12-31,735,47,-71,-24,1283,-1390,18,-124,472,-212,-300,171,-129,-165,-506,0,0,0,30,30,-117,0,-87,-152,-117
2011-09-30,-39,42,718,760,-99,-193,104,-23,935,-14,0,-432,-432,-185,-631,0,-150,-150,-94,-94,-119,0,-363,-67,-119
2011-06-30,594,34,100,134,-390,996,-163,320,1060,-335,0,-831,-831,-102,-1268,0,0,0,33,33,-111,0,-78,-282,-111
2011-03-31,250.00000,29.00000,63.00000,92.00000,-455.00000,972.00000,7.00000,556.00000,1003.00000,-45.00000,,-556.00000,-556.00000,-30.00000,-631.00000,,100.00000,100.00000,-25.00000,-25.00000,-112.00000,,-37.00000,343.00000,-112.00000
2010-12-31,978,42,-179,-137,636,-587,154,67,771,-1072,0,-305,-305,-136,-1513,199,1141,1340,-214,-214,-112,0,1014,285,-112
2010-09-30,675,42,82,124,48,72,244,450,1084,-67,0,-1037,-1037,-97,-1201,0,0,0,22,22,-113,0,-91,-181,-113
2010-06-30,677,31,5,36,-65,292,-272,-100,868,0,0,-778,-778,-23,-801,0,0,0,7,7,-105,0,-98,-58,-105
2010-03-31,755.00000,30.00000,-230.00000,-200.00000,106.00000,131.00000,-139.00000,213.00000,823.00000,,,-589.00000,-589.00000,-77.00000,-666.00000,,,,12.00000,12.00000,-105.00000,,-93.00000,57.00000,-105.00000
2009-12-31,953,27,-270,-243,29,-20,201,164,1003,0,0,-959,-959,172,-787,0,-200,-200,6,6,-105,8,-291,-73,-105
2009-09-30,494,12,169,181,-421,825,184,630,1010,0,0,-845,-845,23,-822,0,-16,-16,5,5,-104,0,-115,88,-104
2009-06-30,535,12,177,189,1175,-526,-252,360,760,0,0,-1088,-1088,-31,-1119,500,-250,250,8,8,-88,0,170,-190,-88
2009-03-31,567.00000,2.00000,101.00000,103.00000,-435.00000,416.00000,-109.00000,-74.00000,562.00000,,,-431.00000,-431.00000,-65.00000,-496.00000,,,,6.00000,6.00000,-91.00000,,-85.00000,-23.00000,-91.00000
