,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-4001,-396,-588,-984,3637,-8055,0,-4310,-8592,4982,1106,-2845,-1739,1959,5202,2554,0,2554,-769,-769,1030,-93,2722,-453,1030
2022-09-30,812,106,365,471,-1427,3652,0,2200,3432,-4982,-766,405,-361,-984,-6327,-4556,0,-4556,2896,2896,-349,6,-2003,-4975,-349
2022-06-30,1215,128,592,720,-1629,3099,0,1259,2720,0,-73,2586,2513,-393,2120,2002,0,2002,-1126,-1126,-340,47,583,5325,-340
2022-03-31,1974.00000,162.00000,-369.00000,-207.00000,-581.00000,1304.00000,,851.00000,2440.00000,,-267.00000,-146.00000,-413.00000,-582.00000,-995.00000,,,,-1001.00000,-1001.00000,-341.00000,40.00000,-1302.00000,103.00000,-341.00000
2021-12-31,2141,161,-485,-324,-609,1450,0,677,2600,0,366,-3085,-2719,-189,-2908,2981,0,2981,-2325,-2325,-345,85,396,15,-345
2021-09-30,1833,166,-1021,-855,-1101,3581,0,2642,3322,0,929,-1883,-954,-772,-1726,-1405,0,-1405,-96,-96,-353,71,-1783,-202,-353
2021-06-30,2265,144,-769,-625,-728,2755,0,1976,3122,0,-715,103,-612,-161,-773,0,0,0,-1921,-1921,-351,62,-2210,157,-351
2021-03-31,2300.00000,148.00000,-1384.00000,-1236.00000,-499.00000,1219.00000,,821.00000,2105.00000,,595.00000,-1582.00000,-987.00000,-265.00000,-1252.00000,,,,-519.00000,-519.00000,-352.00000,59.00000,-812.00000,5.00000,-352.00000
2020-12-31,2418,160,-1636,-1476,370,-418,0,93,2544,0,353,-478,-125,-667,-792,-1301,0,-1301,-267,-267,-353,73,-1848,-37,-353
2020-09-30,1194,160,156,316,-104,2990,0,2789,3544,0,-607,-2932,-3539,-496,-4035,988,0,988,3,3,-357,30,664,164,-357
2020-06-30,-331,177,-319,-142,-826,3550,0,2617,1985,0,-379,-1256,-1635,-49,-1684,0,0,0,64,64,-339,22,-253,51,-339
2020-03-31,252.00000,160.00000,945.00000,1105.00000,110.00000,61.00000,,280.00000,1712.00000,,552.00000,-1287.00000,-735.00000,-275.00000,-1010.00000,,,,-323.00000,-323.00000,-339.00000,17.00000,-645.00000,12.00000,-339.00000
2019-12-31,1173,177,-481,-304,513,-866,0,-443,1429,-29,-1319,-1031,-2350,35,-2344,1535,0,1535,-482,-482,-340,260,973,57,-340
2019-09-30,1091,161,110,271,333,668,0,1068,2205,0,965,-2489,-1524,250,-1274,-4,0,-4,-402,-402,-343,56,-693,221,-343
2019-06-30,1150,168,166,334,-459,810,0,101,1386,0,-724,-152,-876,-738,-1614,1257,0,1257,-750,-750,-335,27,199,-25,-335
2019-03-31,1040.00000,194.00000,21.00000,215.00000,181.00000,-112.00000,,335.00000,1322.00000,,-39.00000,-505.00000,-544.00000,-129.00000,-673.00000,-470.00000,,-470.00000,104.00000,104.00000,-336.00000,72.00000,-630.00000,53.00000,-336.00000
2018-12-31,355,224,657,881,-853,769,0,-105,1583,0,452,-970,-518,-290,-808,4,0,4,-283,-283,-336,48,-567,183,-336
2018-09-30,1231,226,98,324,-342,1089,0,705,1700,0,-337,-470,-807,-60,-867,-100,0,-100,-359,-359,-340,24,-775,56,-340
2018-06-30,1294,241,-87,154,-918,1423,0,641,1646,0,-330,307,-23,-356,-379,-1603,0,-1603,-258,-258,-331,-24,-2216,-1012,-331
2018-03-31,1082.00000,240.00000,,240.00000,-33.00000,-725.00000,,-670.00000,551.00000,,731.00000,-1428.00000,-697.00000,-184.00000,-881.00000,1879.00000,,1879.00000,-29.00000,-29.00000,-330.00000,47.00000,1567.00000,1262.00000,-330.00000
2017-12-31,1533,234,-376,-142,-166,-362,14,-617,1092,0,-581,-466,-1047,-34,-1081,-1,0,-1,-52,-52,-330,34,-349,-342,-330
2017-09-30,-70,238,-29,209,-1047,2950,125,1869,1771,0,-310,-1196,-1506,42,-1464,0,0,0,-212,-212,-332,17,-527,-226,-332
2017-06-30,1305,234,-86,148,-181,120,-58,-413,627,0,122,180,302,-113,189,4,0,4,-258,-258,-322,-9,-585,259,-322
2017-03-31,1093.00000,248.00000,-120.00000,128.00000,-97.00000,-336.00000,-81.00000,-323.00000,1013.00000,,232.00000,-309.00000,-77.00000,11.00000,-66.00000,-499.00000,,-499.00000,-128.00000,-128.00000,-324.00000,93.00000,-858.00000,72.00000,-324.00000
2016-12-31,1610,342,-256,86,-526,53,-33,-667,1455,0,484,-1509,-1025,-23,-1048,-3,0,-3,50,50,-322,43,-232,108,-322
2016-09-30,1360,502,-161,341,-182,273,21,353,1684,0,155,-1702,-1547,-55,-1602,0,0,0,25,25,-321,55,-241,-141,-321
2016-06-30,726,727,306,1033,-1064,974,-2,-168,1133,14,-221,-872,-1093,22,-1057,-851,853,2,41,41,-312,102,-167,-80,-312
2016-03-31,439.00000,744.00000,352.00000,1096.00000,798.00000,-709.00000,14.00000,246.00000,1020.00000,-14262.00000,11932.00000,656.00000,12588.00000,59.00000,-1615.00000,853.00000,-853.00000,,51.00000,51.00000,-218.00000,65.00000,-102.00000,-684.00000,-218.00000
2015-12-31,683,214,120,334,-258,298,-30,-130,1165,5,-8637,3888,-4749,-125,-4869,4593,-1,4592,42,42,-218,56,4472,737,-218
2015-09-30,528,44,342,386,717,-702,79,206,808,4,193,-535,-342,-67,-405,-1,1,0,35,35,-217,64,-118,248,-217
2015-06-30,942,35,-25,10,-688,975,-229,-82,816,255,483,-820,-337,82,0,-927,477,-450,-396,-396,-213,67,-992,-158,-213
