,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-06-30,-155.269,4.878,16.838,21.716,-53.578,22.692,-16.443,307.304,264.137,130.584,-6.735,0,-296.373,-8,-304.373,-2,-313.108,0,0,11.51,11.51,-3.392,8.118,-174.999,22.478
2018-03-31,144.53800,5.66700,17.31000,22.97700,40.00700,38.06700,20.04000,-25.42600,28.02600,195.54100,-6.33600,,-177.52800,,-177.52800,,-183.86400,,,17.30000,17.30000,-1.99200,15.30800,26.97100,20.85100
2017-12-31,103.833,5.631,51.605,57.236,-34.735,26.959,15.971,-37.46,22.595,183.664,-3.12,0,-189.11,0,-189.11,0,-192.23,0,0,15.241,15.241,-2.015,13.226,4.716,20.436
2017-09-30,133.722,5.675,5.924,11.599,57.013,30.646,-47.374,8.065,60.547,205.868,-2.625,0,-187.789,0,-187.789,3,-187.414,0,0,13.765,13.765,-1.498,12.267,31.007,20.152
2017-06-30,102.685,5.517,7.364,12.881,-60.562,-77.017,19.947,69.68,-36.333,79.233,-4.889,0,-5.119,0,-5.119,0,-10.008,0,0,8.624,8.624,-1.166,7.458,76.91,18.4
2017-03-31,82.96100,5.26900,18.96000,24.22900,44.05700,-50.29600,-18.64800,92.77900,55.67200,162.86200,-4.64500,,2.97700,,2.97700,,-1.66800,,,19.48100,19.48100,-0.96300,18.51800,179.89600,16.43900
2016-12-31,58.783,5.441,8.324,13.765,-42.876,-74.363,3.168,76.999,-6.981,65.567,-4.935,0,-1.289,0,-1.289,0,-6.224,0,0,9.299,9.299,-0.665,8.634,67.646,16.324
2016-09-30,51.257,5.754,8.272,14.026,-63.584,-43.997,17.009,-38.51,-98.551,-33.268,-3.745,0,-7.629,0,-7.629,0,-11.374,0,0,14.677,14.677,-0.538,14.139,-30.577,15.116
2016-06-30,38.904,5.268,8.953,14.221,-11.54,-34.1,34.624,2.036,11.743,64.868,-4.107,0,-241.3,-2.5,-243.8,0,-247.907,0,0,4.455,4.455,-0.919,3.536,-179.605,14.232
2016-03-31,35.24500,4.77900,11.76300,16.54200,9.14400,8.09900,-16.12300,32.28700,25.34100,77.12800,-8.63200,,-51.63800,,-51.63800,,-60.27000,,,6.75000,6.75000,-0.31400,6.43600,23.33700,13.36000
2015-12-31,43.924,4.086,36.433,40.519,15.967,17.792,9.182,16.823,69.319,153.762,-6.015,0,150,0,150,-0.002,144.726,0,0,3.273,3.273,-32.689,-29.416,268.826,12.978
2015-09-30,28.69,3.927,-10.345,-6.418,-37.888,-9.618,-11.967,29.917,-11.623,10.649,-5.206,0,58.2,0,58.2,-4.039,48.917,0,0,7.081,7.081,9.142,16.223,75.542,12.278
2015-06-30,23.996,3.749,-5.134,-1.385,-9.285,-11.591,13.758,8.812,29.995,52.606,-3.632,0,0,0,0,0,-3.67,0,0,6.669,6.669,12.147,18.816,67.772,11.208
2015-03-31,24.49200,3.38000,-0.06000,3.32000,-16.07500,-10.70600,-1.93600,25.04500,-7.04500,20.76700,-5.13600,,,,,,-5.80300,,,9.91700,9.91700,10.31400,20.23100,35.15500,8.83900
2014-12-31,31.037,3.003,-15.13,-12.127,-12.327,-17.932,8.407,21.096,14.261,33.171,-2.345,0,-210.019,15,-195.019,-30.249,-223.162,0,0,5.114,5.114,16.356,21.47,-168.565,8.05
2014-09-30,21.866,2.653,6.434,9.087,-16.335,2.216,0.811,9.877,3.805,34.758,-2.21,0,0,-15,-15,0,-21.661,0,0,-1.719,-1.719,0.163,-1.556,11.398,8.082
2014-06-30,21.618,2.663,2.161,4.824,-5.272,7.91,10.693,5.622,19.815,46.257,-5.476,0,0,0,0,4.04,-1.436,-20,-20,242.079,242.079,0.721,222.8,267.674,6.705
2014-03-31,12.32900,2.57700,6.62400,9.20100,14.95000,-5.61900,-5.90400,-7.40400,-3.84100,17.68900,-3.10300,,,,,,-3.10300,,,1.86100,1.86100,-0.59700,1.26400,15.86000,4.78200
2013-12-31,13.742,2.825,-2.794,-0.415,-12.486,-18.674,-11.983,20.514,-19.931,-5.967,-4.82,0,0,0,0,0.825,-3.995,0,0,3.09,3.09,0.542,3.632,-6.356,3.76
2013-09-30,11.856,1.3,1.415,2.715,11.933,-17.854,13.621,7.273,17.296,31.867,-3.284,0,0,0,0,0,-3.284,0,0,0.632,0.632,0.127,0.759,29.388,2.584
2013-06-30,10.251,1.046,0.343,1.389,-14.127,-8.51,2.971,10.465,-4.579,7.061,-10.516,0,0,0,0,0,-10.516,0,0,2.296,2.296,0.187,2.483,-1.008,2.073
2013-03-31,6.61100,0.99100,1.48200,2.47300,-13.41800,-4.14100,-0.74400,6.63200,-7.39700,1.68700,-1.69600,,,,,,-1.69600,,,2.98600,2.98600,0.02600,3.01200,2.98500,1.74200
2012-12-31,-12.69,0.69,0,0.69,0,0,0,0,23.56,13.87,-0.54,0,0,0,0,-9.04,-9.58,-40.24,0,0,-2.38,0.09,-42.53,-38.21,0
2011-12-31,34.03,2.12,0,2.12,0,0,0,0,-22.64,12.43,-2.77,0,0,0,0,0,-2.77,40.24,0,0,6.26,0,46.5,56.14,0
