,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,427.089,16.131,-29.62,-13.489,-271.584,-189.156,-42.044,74.809,-373.127,40.473,-10.46,0,-72.365,0,-72.365,0,-82.825,0,0,2.521,2.521,-7.183,-4.662,-44.535,64.954
2022-09-30,353.999,19.867,27.027,46.894,-65.612,-247.74,2.311,-16.929,-266.788,134.105,-10.44,0,137.633,-1,136.633,0,126.193,0,0,-27.5,-27.5,-6.74,-34.24,223.009,65.477
2022-06-30,299.099,19.345,35.822,55.167,67.526,-158.521,68.691,-148.121,-253.169,101.097,-8.868,-107.477,361.919,0,361.919,0,245.574,0,0,-479.829,-479.829,-6.061,-485.89,-141.779,50.224
2022-03-31,272.25900,20.12400,-55.50800,-35.38400,-131.86100,-43.53100,2.47800,75.85100,-19.73700,217.13800,-14.87600,-37.61000,-8.43800,-11.69100,-20.12900,,-72.61500,,,-117.06800,-117.06800,-12.74100,-129.80900,14.23300,50.27900
2021-12-31,239.295,20.124,-43.1,-22.976,-120.919,-74.452,67.756,83.348,8.917,225.236,-9.281,0,-45.6689,-9.249,-54.9178,0,-64.199,0,0,-165.042,-165.042,-5.86,-170.902,-10.168,51.243
2021-09-30,224.305,19.701,59.888,79.589,-31.376,-32.466,-11.954,27.611,-31.315,272.579,-45.888,-1.419,-374.6731,-4.6,-379.2731,1.299,-425.281,0,0,-104.887,-104.887,-4.269,-109.156,-262.706,53.135
2021-06-30,196.888,19.252,44.688,63.94,16.252,-60.031,8.046,-3.805,2.538,263.366,-4.471,1.401,-210.979,-4.084,-215.063,0,-218.133,0,0,8.803,8.803,-3.857,4.946,50.352,44.944
2021-03-31,180.36600,18.10400,43.22100,61.32500,9.07400,-3.50000,2.83300,35.77200,12.98400,254.67500,-5.09600,0.01800,-210.87100,-2.00000,-212.87100,,-217.94900,,,-83.27400,-83.27400,-2.49600,-85.77000,-49.88200,37.55300
2020-12-31,182.958,7.534,37.322,44.856,-87.598,-41.322,-30.642,55.849,-40.89,186.924,-7.683,-161.103,-109.54,0,-109.54,0,-278.326,0,0,14.852,14.852,-2.79,12.062,-77.128,40.095
2020-09-30,168.375,13.897,32.013,45.91,83.008,-111.105,40.33,-2.975,0.842,215.127,-2.523,0,101.407,3.399,104.806,0,102.283,0,0,-146.802,-146.802,-1.932,-148.734,170.093,36.469
2020-06-30,144.793,12.858,39.283,52.141,-31.066,-65.2,37.859,-12.717,-58.718,138.216,-2.071,-0.092,-101.118,0,-101.118,0,-103.281,0,0,5.146,5.146,-2.26,2.886,38.849,32.922
2020-03-31,138.43100,11.25000,32.08600,43.33600,46.32900,-17.69100,-6.38600,26.29600,13.08000,194.84700,-3.10700,-66.22500,-260.14600,,-260.14600,,-329.47800,,,-210.81300,-210.81300,-1.74000,-212.55300,-349.87500,27.55600
2019-12-31,260.692,7.162,-56.079,-48.917,55.265,-4.024,12.424,47.371,115.386,327.161,-2.432,0,-261.597,0,-261.597,0,-264.029,0,0,-46.324,-46.324,-2.131,-48.455,16.024,26.435
2019-09-30,208.895,6.419,29.063,35.482,-104.172,74.571,-7.578,31.583,25.02,269.397,-4.68,-1.365,-36.708,28.22,-8.488,0,-14.533,0,0,-100.536,-100.536,-2.407,-102.943,150.855,26.257
2019-06-30,189.251,6.204,37.195,43.399,-71.834,32.976,-4.392,-14.918,-36.271,196.379,-3.402,0,33.112,0,33.112,0,29.71,0,0,-88.227,-88.227,-2.812,-91.039,134.927,24.297
2019-03-31,201.02900,6.29300,26.11200,32.40500,60.53100,-82.59600,-2.39100,-21.90700,-63.33700,170.09700,-5.23700,,-29.98300,,-29.98300,,-35.22000,,,26.32300,26.32300,-1.85000,24.47300,159.54500,24.29100
2018-12-31,170.322,7.734,21.038,28.772,-9.724,-47.23,8.822,134.149,96.725,295.819,-6.217,-1.181,-166.263,0,-166.263,2,-171.661,0,0,4.016,4.016,-2.501,1.515,125.267,24.619
2018-09-30,168.524,6.032,-8.08,-2.048,-54.621,37.525,26.918,-310.017,-285.301,-118.825,-4.542,-95.64,13.702,0,13.702,0,-86.48,0,0,20.832,20.832,-2.922,17.91,-187.772,23.254
