,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1024,254,-925,-671,-69,-885,1084,-225,-223,130,-478,58,0,-172,-172,140,-452,0,323,323,-250,-250,-222,14,-135,-457,24,-222
2022-09-30,1037,260,142,402,542,939,1015,151,2584,4023,-341,39,0,-2,-2,3,-301,-481,-2165,-2646,-1000,-1000,-224,15,-3855,-133,26,-224
2022-06-30,1240,257,105,362,-1218,2532,-465,-704,-1071,531,-283,7,0,-22,-22,-7,-305,1,-1410,-1409,-200,-200,-227,9,-1827,-1601,28,-227
2022-03-31,1064.00000,257.00000,295.00000,552.00000,-937.00000,-2881.00000,-245.00000,-122.00000,-2822.00000,-1206.00000,-217.00000,5.00000,,-36.00000,-36.00000,-94.00000,-342.00000,750.00000,2824.00000,3574.00000,,,-226.00000,-30.00000,3318.00000,1770.00000,69.00000,-226.00000
2021-12-31,797,257,-203,54,482,-3244,1749,208,-109,742,-455,-891,0,-96,-96,60,-1382,-2,641,639,0,0,-208,5,436,-204,26,-208
2021-09-30,533,247,108,355,-350,182,1193,1278,1958,2846,-287,-481,0,1,1,-126,-893,204,-974,-770,0,0,-209,1,-978,975,21,-209
2021-06-30,712,243,45,288,-195,1361,-582,1099,1709,2709,-253,39,0,-4,-4,-7,-225,0,-1481,-1481,0,0,-209,37,-1653,831,38,-209
2021-03-31,693.00000,249.00000,260.00000,509.00000,-515.00000,-1138.00000,-441.00000,1640.00000,-904.00000,298.00000,-174.00000,14.00000,,-4.00000,-4.00000,-5.00000,-169.00000,593.00000,729.00000,1322.00000,,,-208.00000,-37.00000,1077.00000,1206.00000,76.00000,-208.00000
2020-12-31,693,249,-108,141,194,-2796,1083,-1058,-1704,-870,-973,716,0,-30,-30,24,-263,-103,1830,1727,-16,-16,-202,11,1520,387,37,-202
2020-09-30,226,238,-1927,-1689,21,-1069,430,347,383,-1080,510,-91,3,0,3,2133,2555,-1195,-326,-1521,-5,-5,-202,13,-1715,-240,39,-202
