,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-09-30,3041,1232,502,1734,-1088,0,-882,-1388,3387,0,-5153,-530,-5683,884,-4799,4373,0,4373,-1293,-1293,-247,-1611,1222,-232,-240
2022-06-30,3392,1251,-435,816,-2239,0,-2114,-3634,574,0,-940,520,-420,2101,1681,179,0,179,-1711,-1711,-256,-410,-2198,-1,-248
2022-03-31,4656.00000,1447.00000,-1972.00000,-525.00000,-5387.00000,,190.00000,-4074.00000,57.00000,,2584.00000,-2349.00000,235.00000,618.00000,853.00000,1554.00000,,1554.00000,-1394.00000,-1394.00000,-265.00000,-490.00000,-595.00000,302.00000,-258.00000
2021-12-31,4106,1024,-4213,-3189,1230,0,-2449,-402,515,4546,-56,-9098,-9154,4252,-356,-1443,0,-1443,-941,-941,-271,1680,-975,-407,-264
2021-09-30,1737,1239,-683,556,183,0,180,661,2954,137,2174,-4670,-2496,1080,-1279,35,0,35,-1059,-1059,-276,-160,-1460,-227,-269
2021-06-30,150,947,-422,525,2433,0,-381,1495,2170,0,-1033,-3826,-4859,1709,-3150,1522,0,1522,-230,-230,-282,-196,814,-183,-274
2021-03-31,3930.00000,1423.00000,-1276.00000,147.00000,-5742.00000,,1549.00000,-3437.00000,640.00000,,4003.00000,-1695.00000,2308.00000,-803.00000,1505.00000,-1367.00000,,-1367.00000,-362.00000,-362.00000,-283.00000,-102.00000,-2114.00000,14.00000,-276.00000
2020-12-31,-16,897,657,1554,1889,0,-2357,-1109,429,54,187,-1747,-1560,525,-981,320,0,320,0,0,-283,116,153,-377,-276
2020-09-30,299,663,-516,147,521,0,-58,402,848,0,3264,-3274,-10,-2308,-2318,790,0,790,0,0,-283,694,1201,-245,-276
2020-06-30,-7766,682,9859,10541,1676,0,-1530,-2428,347,2119,-2036,-3692,-5728,1339,-2270,2736,0,2736,0,0,-283,19,2472,533,-275
2020-03-31,1654.00000,1878.00000,-3037.00000,-1159.00000,-2193.00000,,270.00000,-1081.00000,-586.00000,,-6340.00000,-1172.00000,-7512.00000,6879.00000,-633.00000,2303.00000,,2303.00000,-500.00000,-500.00000,-283.00000,-288.00000,1232.00000,32.00000,-276.00000
2019-12-31,869,1173,-1022,151,1896,0,-4089,-2038,-1018,0,-3554,-4560,-8114,7432,-682,1343,0,1343,0,0,-1121,1081,1303,-420,-1114
2019-09-30,973,1176,-870,306,1070,0,-2100,-796,483,2,5163,-6456,-1293,645,-646,565,0,565,0,0,549,-377,737,585,557
