,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,649,129,269,398,211,12,84,307,1357,-49,0,45,58,103,-1317,-1263,-490,1378,888,0,0,-253,1599,2234,2328,23,-224
2022-09-30,597,148,181,329,-21,3,-77,-95,846,-42,0,-34,-107,-141,-958,-1141,2560,-2426,134,0,0,-252,881,763,468,19,-224
2022-06-30,541,95,146,241,24,40,134,198,975,-50,-223,-67,-244,-311,-3266,-3850,1411,2652,4063,0,0,-252,-1552,2259,-616,23,-224
2022-03-31,462.00000,112.00000,117.00000,229.00000,461.00000,-28.00000,-273.00000,160.00000,849.00000,-73.00000,,388.00000,-3435.00000,-3047.00000,-2235.00000,-5355.00000,-494.00000,557.00000,63.00000,,,-253.00000,3698.00000,3508.00000,-998.00000,40.00000,-225.00000
2021-12-31,402,92,-148,-56,59,31,185,275,497,-90,0,105,-3182,-3077,-1584,-4751,-626,-183,-809,-150,-250,-248,1338,31,-4223,32,-219
2021-09-30,378,25,-25,0,-165,16,363,214,577,-58,-618,196,-4023,-3827,1306,-3197,464,90,554,-500,-1099,-266,-79,-890,-3510,31,-223
2021-06-30,-15,203,222,425,456,-42,193,607,1099,-77,466,226,1731,1957,2016,4362,-1367,-1205,-2572,0,0,-186,1963,-795,4666,38,-155
2021-03-31,532.00000,71.00000,29.00000,100.00000,-406.00000,11.00000,-348.00000,-743.00000,-111.00000,-22.00000,,189.00000,-2047.00000,-1858.00000,1504.00000,-376.00000,-1100.00000,53.00000,-1047.00000,,485.00000,-188.00000,3231.00000,2481.00000,1994.00000,28.00000,-153.00000
2020-12-31,316,109,150,259,-139,-8,-365,-512,64,-37,0,-1,-2130,-2131,-319,-2487,-796,-67,-863,-4,-4,-183,3793,2743,320,17,-154
2020-09-30,303,80,140,220,-214,-9,248,25,549,-33,0,-53,-680,-733,-1017,-1783,-557,-13,-570,0,494,-171,1463,1216,-18,20,-153
2020-06-30,150,59,323,382,-161,-9,-146,-316,212,-38,0,-1,2159,2158,-2167,-47,-59,-2751,-2810,0,494,-171,6848,4361,4526,25,-152
