,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,61.2,68.1,146.7,214.8,24.6,-80.9,-27,249,-79.7,0,-2.1,0,-2.1,0,-81.8,-350,675,325,-445.3,-445.3,-48,-1.1,-169.4,15.9,6.3,-48
2022-09-30,189.5,88.5,8.8,97.3,21,-88.9,-6.6,280.2,-65.8,-448.9,-2.1,0,-2.1,448.9,-67.9,0,-60,-60,-281.4,-281.4,-48.6,-9.8,-399.8,-203.9,11.3,-48.6
2022-06-30,197.8,90,23.6,113.6,29.8,-63.8,-181.2,130.2,429.1,445.4,-0.8,0,-0.8,-448.9,424.8,0,-160,-160,-247.8,-247.8,-49.2,-10.4,-467.4,74.7,18.4,-49.2
2022-03-31,505.80000,94.50000,-392.00000,-297.50000,-133.10000,263.40000,191.30000,399.60000,515.00000,-447.70000,-41.00000,,-41.00000,,26.30000,,325.00000,325.00000,-555.50000,-555.50000,-49.40000,-13.70000,-293.60000,125.70000,20.50000,-49.40000
2021-12-31,141.8,96.9,163.2,260.1,19.2,-105.3,-213.3,188.6,-85.3,-242.4,-2.5,0,-2.5,-0.6,-330.8,-450,655,205,-35.6,-35.6,-47.2,-4,118.2,-21.8,8.3,-47.2
2021-09-30,204.9,90.1,16.9,107,-7.9,-78.9,-26.7,285.2,-61.4,-51.8,-6,0,-6,31.5,-87.7,450,-435,15,-126.1,-126.1,-46.8,-11.3,-169.2,25.8,11.2,-46.8
2021-06-30,151.6,104.1,49.6,153.7,48.5,-88.7,-72.1,233.2,-62.5,8.9,-15.1,0,-15.1,-31.1,-99.8,-450,390,-60,-136.6,-136.6,-47.1,-5,-248.7,-114.6,10.8,-47.1
2021-03-31,168.00000,93.90000,27.90000,121.80000,-89.50000,235.90000,158.90000,448.70000,-59.20000,-13.70000,,,,-0.80000,-73.70000,,-50.00000,-50.00000,-92.40000,-92.40000,-47.10000,-9.70000,-199.20000,172.10000,25.40000,-47.10000
2020-12-31,176.2,93.7,35.1,128.8,5.4,-157.4,-56,249,-72.4,-125.2,-31,0,-31,-2.5,-231.1,0,50,50,-30.3,-30.3,-44,-2,-26.3,-3,8.5,-44
2020-09-30,185.8,91.4,23.9,115.3,26.8,-88,-85.3,207.1,-64.8,-159.9,0,0,0,5.7,-219,0,0,0,-23.8,-23.8,-43.9,-8.8,-76.5,-87.6,10,-43.9
2020-06-30,179,87.4,11.6,99,66.1,-76,-37.2,249.5,-56.7,0,0,0,0,-1.5,-58.2,494.8,-440,54.8,-52.1,-52.1,-44,-45.7,-87,105,9.5,-44
