,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1036,-2334,-1837,-4171,56,206,54,2248,2536,-2671,5251,-583,0,-319,-319,170,4519,-2825,-629,-3454,-1744,-134,1653,155,-1780,68,1653
2022-09-30,778,799,199,998,59,-194,-123,-391,-466,1310,-2032,704,2000,-26,1974,-17,629,258,-136,122,43,-1567,-557,-4,-2006,-67,-557
2022-06-30,-453,762,1398,2160,-143,-92,17,-1290,-1471,236,-1597,-84,-2000,224,-1776,-117,-3574,1606,531,2137,1656,1656,-555,-87,3151,-187,-555
2022-03-31,711.00000,773.00000,240.00000,1013.00000,28.00000,80.00000,52.00000,-567.00000,-599.00000,1125.00000,-1622.00000,-37.00000,,121.00000,121.00000,-36.00000,-1574.00000,961.00000,234.00000,1195.00000,45.00000,45.00000,-541.00000,-64.00000,635.00000,186.00000,-541.00000
2021-12-31,1345,710,-517,193,-390,-29,185,-792,-1036,502,-1818,1508,0,154,154,516,360,1958,-2836,-878,48,790,-510,-123,-721,141,-510
2021-09-30,666,700,129,829,-130,-55,13,-214,-200,1295,-1478,-51,0,-14,-14,-1296,-2839,-86,2122,2036,47,47,-510,-66,1507,-37,-510
2021-06-30,295,673,205,878,152,-63,-63,-453,-385,788,-1336,-13,0,21,21,-132,-1460,789,212,1001,49,49,-508,-128,414,-258,-508
2021-03-31,1008.00000,685.00000,312.00000,997.00000,185.00000,73.00000,21.00000,-655.00000,-553.00000,1452.00000,-1328.00000,-23.00000,,-977.00000,-977.00000,20.00000,-2308.00000,-11.00000,1696.00000,1685.00000,48.00000,48.00000,-508.00000,-54.00000,1171.00000,315.00000,-508.00000
2020-12-31,690,658,-449,209,-529,10,221,-244,-482,417,-1611,3621,0,66,66,-132,1944,567,-1933,-1366,-695,-695,-511,-100,-2672,-311,-511
2020-09-30,131,681,702,1383,-123,22,5,56,160,1674,-1494,-58,0,-83,-83,109,-1526,986,1942,2928,-2374,-2374,-785,-101,-332,-184,-785
2020-06-30,-1132,738,2305,3043,115,-64,-27,-353,-408,1503,-1453,-179,0,-49,-49,-12,-1693,2127,-1579,548,70,70,-789,-164,-335,-525,-789
