,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,455.9,55.9,20.4,76.3,-129.1,-197.9,-350.1,1316.2,639.1,1177.1,-12.6,0.1,0,-25.9,-25.9,64.4,26,0,7.7,7.7,-108.1,-108.1,-101.3,-70.7,-272.4,1083.3,20.4,-101.3
2022-09-30,383.3,55.3,37.6,92.9,0,0,0,24.5,24.5,489.3,-23.1,-13.1,0,0,0,22.1,-14.1,0,-2,-2,-93.4,-93.4,-169.3,-43.1,-307.8,-6.6,21.2,-169.3
2022-06-30,370,57,3.7,60.7,0,0,0,-623.4,-623.4,-195.4,-19.3,-17.2,92.7,0,92.7,-87.2,-31,0,0.8,0.8,-105.7,-105.7,-177.6,-23,-305.5,-720.4,20.1,-177.6
2022-03-31,194.60000,56.60000,85.80000,142.40000,,,,-884.20000,-884.20000,-544.50000,-23.20000,-246.60000,-92.70000,,-92.70000,0.70000,-361.80000,,2.40000,2.40000,-286.80000,-286.80000,-153.70000,-38.20000,-476.30000,-1391.30000,20.00000,-153.70000
2021-12-31,449.9,55.6,26.9,82.5,-989.1,-281.7,921.3,1520.7,1171.1999,1706.8,-623.2,-20,0,2.5,2.5,-116.6,-757.3,429.6,-0.3,429.3,-253.5,-253.5,-101.4,-127,-52.6,885.6,26.9,-101.4
2021-09-30,380.2,52.4,-15.4,37,0,0,0,80.5,80.5,534.3,-19.7,0,0,0,0,-0.3,-20,0,1,1,-170,-170,-181.8,-26.4,-377.2,43.1,18.7,-181.8
2021-06-30,371.5,43.3,1.9,45.2,0,0,0,-247.7,-247.7,165.2,-10.5,-25.9,0,0,0,115.3,78.9,-458.3,3.5,-454.8,-97.4,-97.4,-188.7,-44.6,-785.5,-509.2,18.3,-188.7
2021-03-31,306.00000,52.00000,20.80000,72.80000,,,,-843.50000,-843.50000,-460.90000,-12.40000,,,,,1.60000,-10.80000,,2.20000,2.20000,2.70000,2.70000,-142.30000,-38.30000,-175.70000,-703.20000,20.80000,-142.30000
2020-12-31,428.5,52.5,-32.3,20.2,-1294.4,172,2682.1,267.9,1827.6,2386,-25.4,-4.8,0,3.2,3.2,0,-27,0,-19.3,-19.3,-1.9,-1.9,-162.3,-37.4,-220.9,2322.2,18.3,-162.3
2020-09-30,334.9,53.3,23.5,76.8,1435.6,121,-3110.7,1343.2,-210.9,200.8,-16.4,-62.8,0,0,0,0,-79.2,0,16.8,16.8,-13.1,-13.1,-104.6,-80.9,-181.8,-2.7,17.6,-104.6
2020-06-30,-14.3,55.8,320.1,375.9,-876.6,115,2084.9,-1559.9,-236.6,125,-7.2,1.6,0,0,0,0,-5.6,592.6,-4.8,587.8,-4.3,-4.3,-166,-32,385.5,588.5,16.2,-166
2020-03-31,271.70000,52.90000,37.40000,90.30000,876.60000,-115.00000,-2084.90000,-25.90000,-1349.20000,-987.20000,-26.40000,2.10000,,,,,-24.30000,-6.00000,1.70000,-4.30000,-198.60000,-198.60000,-152.10000,-36.20000,-391.20000,-1613.20000,18.70000,-152.10000
2019-12-31,449.8,50.5,22.5,73,-1005.1,310.4,1904.4,355.4,1565.1,2087.9,-25.2,-2.6,0,1.9,1.9,0,-25.9,0,2,2,-58.5,-58.5,-239.1,6.4,-289.2,1865.3,18.9,-239.1
