,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-525,-4414,3739,-675,356,290,-504,2003,1939,739,8148,3619,-3691,37,-3654,517,-3343,-5663,-269,-5932,0,0,2389,-8,2578,-26,2389
2022-09-30,1413,1491,-193,1298,-176,-278,96,-1455,-1558,1153,-3031,-1435,1466,-5,1461,-133,-3138,3096,-289,2807,0,0,-815,-17,1975,-10,-815
2022-06-30,880,1443,-190,1253,-185,-40,568,-277,107,2240,-2566,-668,695,-15,680,-239,-2793,276,602,878,0,0,-775,69,172,-381,-775
2022-03-31,820.00000,1480.00000,-17.00000,1463.00000,5.00000,28.00000,-160.00000,-271.00000,-488.00000,1795.00000,-2551.00000,-1516.00000,1530.00000,-17.00000,1513.00000,-145.00000,-2699.00000,2291.00000,-44.00000,2247.00000,,,-799.00000,-44.00000,1404.00000,500.00000,-799.00000
2021-12-31,664,1474,-240,1234,-130,-302,395,-651,-835,1063,-2626,-1806,1768,-51,1717,-20,-2735,1075,1202,2277,0,0,-774,-54,1449,-223,-774
2021-09-30,1276,1436,79,1515,-252,115,151,337,563,3354,-2453,-1110,263,846,1109,-132,-2586,58,-1138,-1080,0,0,-799,1289,-590,178,-799
2021-06-30,698,1368,-48,1320,-292,62,170,-288,-233,1785,-2421,-1598,1616,-21,1595,-53,-2477,2093,-772,1321,0,0,-758,2,565,-127,-758
2021-03-31,941.00000,1385.00000,-53.00000,1332.00000,377.00000,91.00000,-467.00000,-290.00000,-185.00000,2088.00000,-2215.00000,-1584.00000,1601.00000,-855.00000,746.00000,-84.00000,-3137.00000,532.00000,1187.00000,1719.00000,5.00000,5.00000,-783.00000,244.00000,1185.00000,136.00000,-783.00000
2020-12-31,-150,1405,597,2002,-114,23,542,56,238,2090,-2499,-1851,1862,-94,1768,-58,-2640,-870,-579,-1449,2670,2670,-699,-16,506,-44,-699
2020-09-30,1234,1430,570,2000,-223,99,75,111,175,3409,-2305,-2342,2332,-112,2220,-66,-2493,857,-1364,-507,18,18,-722,254,-957,-41,-722
2020-06-30,-892,1350,1456,2806,-185,36,19,-141,-111,1803,-2271,-2426,3755,-1434,2321,-73,-2449,175,55,230,17,17,-684,26,-411,-1057,-684
2020-03-31,890.00000,1301.00000,206.00000,1507.00000,466.00000,-92.00000,-657.00000,-673.00000,-843.00000,1554.00000,-2832.00000,-1392.00000,,1270.00000,1270.00000,-68.00000,-3022.00000,1662.00000,1569.00000,3231.00000,40.00000,40.00000,-707.00000,29.00000,2593.00000,1125.00000,-707.00000
2019-12-31,607,1345,498,1843,16,-119,374,200,122,2572,-3038,-243,3343,-3152,191,-234,-3324,221,639,860,343,342,-678,219,743,-9,-678
2019-09-30,1323,1348,-212,1136,-242,107,162,-86,122,2581,-2619,-789,-2302,2990,688,-125,-2845,927,-1343,-416,14,1004,-678,455,365,101,-678
2019-06-30,748,1245,189,1434,-84,-79,-64,-189,-365,1817,-2929,-1456,1451,-68,1383,-73,-3075,931,732,1663,14,13,-663,176,1189,-69,-663
2019-03-31,893.00000,1238.00000,-91.00000,1147.00000,388.00000,-31.00000,-636.00000,-415.00000,-801.00000,1239.00000,-2536.00000,-860.00000,851.00000,-94.00000,757.00000,-74.00000,-2713.00000,1536.00000,-408.00000,1128.00000,13.00000,987.00000,-649.00000,-33.00000,1433.00000,-41.00000,-649.00000
2018-12-31,454,1249,-72,1177,-57,52,90,-98,-112,1519,-2637,-999,-2718,3629,911,-65,-2790,561,497,1058,1004,1004,-636,-13,1413,142,-636
2018-09-30,1066,1197,783,1980,-261,34,531,-1165,-681,2365,-2377,-855,852,-158,694,-87,-2625,1295,-457,838,14,14,-636,66,282,22,-636
2018-06-30,502,1161,188,1349,-91,-31,185,-52,60,1911,-2288,-1908,1866,-38,1828,-13,-2381,-216,340,124,799,799,-600,-5,318,-152,-600
2018-03-31,622.00000,1089.00000,153.00000,1242.00000,64.00000,101.00000,-327.00000,-204.00000,-473.00000,1391.00000,-2087.00000,,,-102.00000,-102.00000,-75.00000,-2264.00000,753.00000,791.00000,1544.00000,21.00000,21.00000,-599.00000,-19.00000,947.00000,74.00000,-599.00000
2017-12-31,703,1056,225,1281,-163,20,350,-461,-338,1646,-2211,-4071,0,4025,4025,146,-2111,918,257,1175,0,0,-625,-7,543,78,-625
2017-09-30,955,1037,310,1347,-213,95,-49,-149,-124,2178,-1910,0,0,-81,-81,4,-1987,1950,-1600,350,0,0,-625,40,-235,-44,-625
2017-06-30,689,962,97,1059,-50,-2,-42,-169,-194,1554,-1771,0,0,-104,-104,-108,-1983,570,-82,488,0,0,-600,-10,-122,-551,-600
2017-03-31,717.00000,991.00000,112.00000,1103.00000,343.00000,155.00000,-463.00000,-581.00000,-574.00000,1246.00000,-2160.00000,,,-156.00000,-156.00000,-45.00000,-2361.00000,1155.00000,1063.00000,2218.00000,,,-600.00000,-22.00000,1596.00000,481.00000,-600.00000
2016-12-31,-222,1033,367,1400,-96,-183,503,-386,74,1252,-2649,-4778,0,-85,-85,1539,-5973,-344,-807,-1151,731,731,-601,6,-1015,-5273,-601
2016-09-30,1181,979,195,1174,-238,277,-54,262,31,2386,-1859,0,0,-29,-29,-59,-1947,4940,701,5641,-7,-7,-591,21,5064,5435,-591
2016-06-30,512,937,83,1020,-177,89,57,-134,11,1543,-1748,0,0,-66,-66,-36,-1850,1968,-1183,785,0,0,-570,-10,205,-53,-570
2016-03-31,699.00000,931.00000,17.00000,948.00000,139.00000,89.00000,-210.00000,-23.00000,35.00000,1682.00000,-1645.00000,,,-44.00000,-44.00000,-69.00000,-1758.00000,751.00000,-158.00000,593.00000,7.00000,7.00000,-570.00000,-33.00000,-3.00000,-49.00000,-570.00000
2015-12-31,482,933,-192,741,316,-224,176,-108,81,1304,-2124,-17,0,-19,-19,174,-1986,-590,1358,768,1,1,-569,-31,169,586,-569
2015-09-30,935,896,363,1259,-38,-15,106,200,323,2517,-1580,-1288,0,-20,-20,-109,-2997,1188,252,1440,0,0,-570,20,890,410,-570
2015-06-30,547,901,168,1069,146,-55,-87,-215,-177,1439,-1637,0,0,2712,2712,87,1162,-766,-1636,-2402,-1499,-1499,-551,-10,-4462,-1861,-551
2015-03-31,867.00000,883.00000,200.00000,1083.00000,-41.00000,57.00000,-201.00000,-262.00000,-510.00000,1440.00000,-1425.00000,-29.00000,,35.00000,35.00000,-37.00000,-1456.00000,94.00000,1271.00000,1365.00000,15.00000,15.00000,-564.00000,-15.00000,801.00000,785.00000,-564.00000
2014-12-31,100,866,575,1441,82,-252,273,-211,-122,1419,-1629,-38,0,-16,-16,44,-1639,163,747,910,1,1,-564,-22,325,-443,-564
2014-09-30,1269,893,-48,845,94,-139,-85,564,434,2548,-1317,0,0,-11,-11,-39,-1367,-617,-83,-700,1,1,-563,4,-1258,-77,-563
