,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,46.196,20.207,-49.125,-28.918,190.613,55.535,283.738,301.016,-7.988,0,-6.677,-14.665,-0.054,-0.054,-0.009,-0.009,-38.44,0,-38.503,251.571,13.035,-38.44
2020-03-31,89.91500,19.53900,71.01800,90.55700,-36.70000,-60.14100,-55.54600,124.92600,-14.27600,,-14.07400,-28.35000,-0.05300,-0.05300,-69.96800,-69.96800,-40.47600,,-110.49700,-20.56400,13.52500,-40.47600
2019-12-31,112.842,18.082,3.618,21.7,23.827,56.48,-53.919,80.623,-14.326,0,-14.283,-28.609,-0.052,-0.052,-63.488,-63.488,-35.929,0,-99.469,-42.263,13.497,-35.929
2019-09-30,117.181,18.372,-23.849,-5.477,-21.345,-1.31,79.475,191.179,-16.513,0,-9.287,-25.8,-0.05,-0.05,-80.43,-80.43,-35.742,0,-116.222,43.301,11.889,-35.742
2019-06-30,114.612,16.801,5.129,21.93,-15.649,-3.076,-15.794,120.748,-15.955,0,-8.694,-24.649,-0.049,-0.049,-61.274,-61.274,-36.073,0,-97.396,-0.205,11.67,-36.073
2019-03-31,109.79800,15.99400,19.30500,35.29900,-35.29400,-1.59200,-18.01800,127.07900,-12.67000,,-10.41000,-23.08000,-0.04900,-0.04900,-72.34300,-72.34300,-37.88700,,-110.27900,-6.93400,11.24400,-37.88700
2018-12-31,113.564,16.271,30.542,46.813,32.879,4.829,-37.332,123.045,-15.298,0,-18.041,-33.339,-0.047,-0.047,-137.108,-137.108,-33.727,0,-170.882,-85.161,11.953,-33.727
2018-09-30,115.242,16.37,17.076,33.446,-38.516,7.102,36.625,185.313,-9.925,0,-8.157,-18.082,-0.046,-0.046,-78.399,-78.399,-33.711,0,-112.156,53.084,11.055,-33.711
2018-06-30,109.315,16.592,1.678,18.27,-30.786,9.368,20.161,147.746,-9.296,0,-9.242,-18.538,-0.046,-0.046,-69.513,-69.513,-34.066,0,-103.625,16.669,11.389,-34.066
2018-03-31,96.16700,16.71600,14.02900,30.74500,-49.79400,-1.49500,-10.69400,116.21800,-7.96500,,-10.58500,-18.55000,-0.04400,-0.04400,-68.48900,-68.48900,-34.91900,,-103.45200,-2.76600,10.55600,-34.91900
2017-12-31,47.047,16.43,71.123,87.553,4.771,-14.955,-70.072,64.528,-12.213,0.539,-12.747,-24.421,-0.043,-0.043,-64.382,-64.382,-29.922,0,-94.347,-53.583,11.028,-29.922
2017-09-30,84.7,16.552,-0.985,15.567,-25.186,6.524,30.136,130.403,-7.354,-0.056,-8.592,-16.002,-0.042,-0.042,-38.099,-38.099,-29.63,0,-67.771,50.538,10.436,-29.63
2017-06-30,80.316,16.311,2.056,18.367,-0.92,7.892,35.877,134.56,-10.851,-1.643,-10.306,-22.8,-0.041,-0.041,-48.556,-48.556,-30.851,0,-79.448,37.655,10.87,-30.851
2017-03-31,78.52100,16.20000,22.11000,38.31000,4.29600,-17.98900,6.66900,123.50000,-10.33500,,-4.93900,-15.27400,-0.04100,-0.04100,-80.68700,-80.68700,-30.59700,,-111.32500,-0.05800,9.85700,-30.59700
2016-12-31,77.788,16.616,21.424,38.04,23.835,1.817,-34.167,81.661,-19.676,-0.3,-9.244,-29.22,-0.04,-0.04,-49.705,-49.705,-28.202,1.01,-76.937,-32.25,9.896,-28.202
2016-09-30,90.569,16.387,4.343,20.73,-10.393,-2.023,41.927,153.226,-19.54,-0.5,-6.584,-26.624,-0.039,-0.039,-44.637,-44.637,-28.067,0.01,-72.733,53.737,10.71,-28.067
2016-06-30,91.616,15.901,12.09,27.991,-3.951,3.273,9.101,128.708,-24.93,-1.4,-5.894,-32.224,-0.037,-0.037,-41.344,-41.344,-29.147,0.407,-70.121,24.595,11.745,-29.147
2016-03-31,83.41600,15.41100,10.34400,25.75500,-25.37900,-12.48300,-30.68500,78.48600,-18.81000,,-5.35700,-24.16700,-0.03800,-0.03800,-40.12200,-40.12200,-28.74800,0.39500,-68.51300,-10.45800,10.34800,-28.74800
2015-12-31,93.443,13.978,9.877,23.855,20.76,-2.24,0.697,117.995,-26.781,-14.668,-8.647,-50.096,-0.036,-0.036,-69.911,-69.911,-27.392,4.117,-93.222,-27.241,10.752,-27.392
2015-09-30,96.725,12.919,8.076,20.995,-52.472,1.507,-23.874,93.846,-18.753,0,-6.565,-25.318,-0.035,-0.035,-96.812,-96.812,-26.288,0.014,-123.121,-61.313,10.852,-26.288
2015-06-30,89.706,13.562,2.826,16.388,-21.602,0.781,35.821,141.915,-16.177,0,-5.558,-21.735,-0.035,-0.035,-44.803,-44.803,-26.506,0.375,-70.969,52.246,10.845,-26.506
2015-03-31,77.92200,13.00600,15.17700,28.18300,-22.43100,-13.46400,-21.62500,84.48000,-13.34600,,-7.45500,-20.80100,-0.03400,-0.03400,-58.08300,-58.08300,-27.37500,4.25600,-81.23600,-26.23400,8.84300,-27.37500
2014-12-31,84.053,12.954,15.95,28.904,-11.658,2.608,-30.079,82.878,-26.623,0,-7.591,-34.214,-0.033,-0.033,-27.504,-27.504,-24.852,5.53,-46.859,-3.757,10.861,-24.852
2014-09-30,85.184,12.107,4.453,16.56,-54.597,-0.154,-8.063,93.681,-13.122,0,-8.414,-21.536,-0.032,-0.032,-57.463,-57.463,-24.098,0.386,-81.207,-16.902,10.811,-24.098
2014-06-30,75.14,12.087,5.193,17.28,-29.753,-3.103,12.494,104.914,-10.642,0,-4.523,-15.165,-0.032,-0.032,-28.181,-28.181,-24.26,0.551,-51.922,40.041,10.375,-24.26
2014-03-31,61.55100,12.53300,14.23300,26.76600,-38.90900,-7.27300,-29.09200,59.22500,-12.44300,,-5.28300,-17.72600,-0.03100,-0.03100,-26.34900,-26.34900,-24.39400,0.70700,-50.06700,-8.02700,8.77400,-24.39400
2013-12-31,66.885,12.477,15.344,27.821,13.34,2.542,3.454,98.16,-21.608,0,-5.573,-27.181,-0.066,-0.066,-57.803,-57.803,-23.575,6.539,-74.905,-3.983,10.308,-23.575
2013-09-30,66.358,12.102,3.155,15.257,-6.288,5.937,-0.493,81.122,-13.013,0,-5.403,-18.416,-0.042,-0.042,-12.902,-12.902,-21.726,0.284,-34.386,32.776,10.583,-21.726
2013-06-30,63.089,12.013,0.732,12.745,-12.153,5.451,26.216,102.05,-11.022,0,-3.407,-14.429,-1.745,-1.745,-38.25,-38.25,-21.865,0.288,-61.572,21.62,9.768,-21.865
2013-03-31,55.86300,12.18000,5.74100,17.92100,-42.59800,-9.38200,-45.89900,27.88500,-8.08200,,-29.66900,-37.75100,-2.64300,-2.64300,-25.73500,-25.73500,-22.02100,0.99200,-49.40700,-62.28400,8.20800,-22.02100
2012-12-31,58.619,12.214,9.229,21.443,47.224,-4.975,17.861,97.923,-14.24,-12.868,-2.825,-29.933,-0.031,-0.031,-54.23,-54.23,-21.438,5.371,-70.328,-1.793,10.573,-21.438
2012-09-30,57.66,12.143,7.919,20.062,-24.261,1.823,-1.754,75.968,-11.605,-0.041,-2.156,-13.802,-0.021,-0.021,-13.636,-13.636,-20.817,0.209,-34.265,30.85,10.686,-20.817
2012-06-30,45.329,12.086,0.766,12.852,-15.799,3.063,33.891,92.072,-13.839,-1.484,-2.118,-17.441,-0.023,-0.023,-35.676,-35.676,-20.858,0.457,-56.1,14.125,11.319,-20.858
2012-03-31,48.33400,12.28100,7.21500,19.49600,-28.51800,-5.00700,-44.61600,23.21400,-10.37200,,-1.47800,-11.85000,-0.03200,-0.03200,-30.31300,-30.31300,-21.01600,2.43800,-48.92300,-34.88300,8.88600,-21.01600
2011-12-31,42.624,12.788,36.664,49.452,18.176,2.077,4.572,96.648,-14.827,0,-2.055,-16.882,0.001,0.001,-24.682,-24.682,-20.279,3.124,-41.836,36.61,12.713,-20.279
2011-09-30,44.168,12.845,13.829,26.674,-33.973,-5.815,0.944,71.786,-13.333,0,-2.027,-15.36,-0.032,-0.032,-47.26,-47.26,-19.717,0.143,-66.866,-18.345,12.746,-19.717
2011-06-30,36.425,12.987,14.758,27.745,-26.801,-0.548,4.76,68.93,-13.812,0,-1.77,-15.582,-0.03,-0.03,-56.546,-56.546,-20.013,0.323,-76.266,-20.759,13.334,-20.013
2011-03-31,26.70500,12.79500,5.27300,18.06800,-38.71600,-1.24500,-25.82100,18.95200,-14.56300,,-1.01500,-15.57800,-0.03000,-0.03000,-21.30600,-21.30600,-20.29400,0.62100,-41.00900,-33.30700,12.11300,-20.29400
2010-12-31,24.79,13.226,32.715,45.941,3.181,1.686,3.679,74.41,-13.039,-0.585,-2.812,-16.436,-0.029,-0.029,-39.994,-39.994,-18.979,4.897,-54.105,4.081,13.906,-18.979
2010-09-30,20.623,13.507,9.421,22.928,-35.914,4.892,6.938,50.489,-7.637,0,-1.221,-8.858,-0.029,-0.029,-10.735,-10.735,-18.978,0.208,-29.534,21.012,14.089,-18.978
2010-06-30,12.181,14.033,15.063,29.096,-19.092,-2.563,-4.812,36.465,-6.136,0,-0.03,-6.166,-0.028,-0.028,-65.668,-65.668,-19.042,0.288,-84.45,-59.32,14.963,-19.042
2010-03-31,8.47500,15.19200,8.27100,23.46300,-16.18300,9.26300,-17.41900,14.51900,-8.27600,,0.63900,-7.63700,-0.02700,-0.02700,-0.70800,-0.70800,-19.59200,0.42100,-19.90600,-16.43000,14.16100,-19.59200
2009-12-31,13.528,15.841,17.407,33.248,1.279,-9.592,1.029,47.805,-10.248,0,-1.355,-11.603,-0.027,-0.027,-60.398,-60.398,-17.755,2.379,-75.801,-41.847,15.235,-17.755
2009-09-30,9.531,15.739,14.63,30.369,15.438,2.09,26.943,66.843,-6.852,0,-2.11,-8.962,-0.027,-0.027,-24.705,-24.705,-18.107,0.595,-42.244,21.823,15.227,-18.107
2009-06-30,5.416,16.805,12.353,29.158,50.46,16.065,42.863,77.437,-10.245,0,-1.902,-12.147,-0.026,-0.026,-32.009,-32.009,-18.188,1.601,-48.622,26.509,15.95,-18.188
2009-03-31,8.78800,16.88100,16.92000,33.80100,66.36400,-9.75000,5.47900,48.06800,-13.90300,,0.64800,-13.25500,-0.02500,-0.02500,-7.75500,-7.75500,-18.09900,0.17600,-25.70300,4.55300,14.73600,-18.09900
