,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-510.266,-57.222,-167.045,-224.267,158.254,119.158,253.057,-481.476,48.637,0,23.563,72.2,0,0,257.848,257.848,142.596,0,400.444,25.653,-43.674,142.596
2022-09-30,166.206,19.678,28.482,48.16,-28.271,-2.062,-34.968,179.398,-13.362,0,-3.642,-17.004,0,0,-97.238,-97.238,-46.367,0,-143.605,2.439,14.081,-46.367
2022-06-30,175.821,18.934,85.525,104.459,-40.386,-54.165,-47.364,232.916,-20.288,0,-7.79,-28.078,0,0,-98.548,-98.548,-48.731,0,-147.279,40.579,14.409,-48.731
2022-03-31,168.23900,18.61000,53.03800,71.64800,-89.59700,-62.93100,-170.72500,69.16200,-14.98700,,-12.13100,-27.11800,,,-62.06200,-62.06200,-47.49800,,-109.56000,-68.67100,15.18400,-47.49800
2021-12-31,167.944,19.438,20.898,40.336,16.195,5.008,-63.409,144.871,-11.814,0,-25.997,-37.811,-0.062,-0.062,-75.65,-75.65,-42.275,0,-117.987,-14.718,13.786,-42.275
2021-09-30,170.871,20.816,-4.339,16.477,-107.221,12.44,37.445,224.793,-8.683,0,-10.002,-18.685,-0.06,-0.06,-66.774,-66.774,-41.858,0,-108.692,90.914,14.061,-41.858
2021-06-30,149.213,17.725,-17.884,-0.159,-106.578,47.167,16.362,165.416,-6.375,0,-9.289,-15.664,-0.059,-0.059,-65.849,-65.849,-42.202,0,-108.11,44.875,13.903,-42.202
2021-03-31,110.59800,24.49500,8.22900,32.72400,-95.02400,-12.05700,-75.26600,68.05600,-9.73900,,-5.71000,-15.44900,-0.05800,-0.05800,-79.46500,-79.46500,-44.27700,,-123.80000,-76.49600,14.18200,-44.27700
2020-12-31,94.416,21.169,-14.764,6.405,-10.61,-46.615,-68.934,31.887,-4.499,-15.836,73.228,52.893,-0.056,-0.056,-68.159,-68.159,-38.634,0,-106.849,-12.574,12.863,-38.634
2020-09-30,75.749,20.984,-30.455,-9.471,-15.563,34.649,72.421,138.699,-6.614,0,6.197,-0.417,-0.055,-0.055,-21.036,-21.036,-38.385,0,-59.476,85.515,13.063,-38.385
