,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,217.65100,70.89300,-17.35100,53.54200,79.56100,-11.76600,-23.82800,-67.56400,203.62900,-32.03600,,-0.83300,-418.61600,-419.44900,0.01600,-451.46900,-2.18900,,-2.18900,2.63500,2.63500,-142.01700,,-141.57000,-382.31800,5.20200,-142.01700
2022-10-31,280.011,71.185,122.134,193.319,-68.309,-40.351,-34.28,-101.51,371.82,-89.554,0,1.197,-5.871,-4.674,8.019,-86.21,-2.175,0,-2.175,1.869,1.869,-141.916,0,-142.221,131.763,4.01,-141.916
2022-07-31,218.826,65.132,71.887,137.019,-12.623,-84.89,-7.007,-169.799,186.046,-60.361,0,5.663,2.01,7.673,6.672,-46.016,-1.474,0,-1.474,2.872,2.872,-141.86,0,-140.462,-11.375,4.565,-141.86
2022-04-30,261.679,62.156,24.385,86.541,24.218,-210.171,-11.175,-154.865,193.355,-78.42,0,-2.756,4.975,2.219,0.07,-76.131,-2.861,0,-2.861,64.033,64.033,-141.154,0,-79.982,37.285,10.04,-141.154
2022-01-31,239.71000,64.28000,25.38400,89.66400,85.07900,-16.25100,7.61000,54.38200,383.75600,-49.35900,,-1.61100,1.29000,-0.32100,,-49.68000,-2.16300,,-2.16300,11.05300,11.05300,-132.90900,,-124.01900,210.90400,6.32800,-132.90900
2021-10-31,281.75,65.916,31.664,97.58,0.156,57.041,-32.075,184.816,564.148,-92.749,0,-3.06,-1.011,-4.071,1.3,-95.519,-2.082,0,-2.082,-8.393,-8.393,-132.908,0,-143.385,322.168,4.431,-132.908
2021-07-31,177.074,59.183,0.488,59.671,-171.96,-47.57,2.959,-160.218,76.527,-53.56,-3396.246,-0.582,4.267,3.685,3.059,-3443.064,2274.117,0,2274.117,30.667,30.667,-132.419,0,2172.364,-1193.17,4.479,-132.419
2021-04-30,227.921,52.264,3.188,55.452,-16.379,-142.771,29.455,-127.799,155.573,-44.989,0,-0.516,-2.45,-2.966,0,-47.955,-252.195,0,-252.195,10.759,10.759,-132.271,0,-373.705,-267.008,8.053,-132.271
2021-01-31,222.39500,51.04300,-5.16700,45.87600,-3.44400,-11.87600,18.76800,-62.58500,205.68600,-38.90200,,-0.20600,-1.14900,-1.35500,0.95600,-39.30100,-2.16500,,-2.16500,-7.07200,-7.07200,-125.51600,,-134.75400,37.23200,7.78100,-125.51600
2020-10-31,234.526,56.007,34.281,90.288,-53.463,-88.869,15.627,-74.875,249.938,-140.221,0,-2.589,-10.058,-12.647,2.592,-150.276,-2.147,0,-2.147,9.7,9.7,-125.373,0,-117.82,-15.059,3.269,-125.373
2020-07-31,203.26,49.857,-6.249,43.608,-113.227,66.405,29.634,82.927,329.796,-87.922,-1.911,1.991,4.938,6.929,0,-82.905,990.229,0,990.229,7.746,7.746,-125.253,0.001,872.723,1123.294,3.724,-125.253
2020-04-30,227.615,50.588,15.895,66.483,35.682,35.54,-45.106,65.774,359.872,-80.345,-268.878,-1.991,-11.479,-13.47,0.062,-362.631,-2.05,0,-2.05,15.659,15.659,-124.501,0.076,-110.816,-118.346,6.167,-124.501
2020-01-31,242.95300,49.32900,-1.02500,48.30400,11.49200,-14.91500,-4.80400,-102.83900,188.41800,-57.09700,,,-4.52500,-4.52500,1.11800,-60.50400,-2.01900,,-2.01900,36.35300,36.35300,-112.24900,,-77.91500,51.51800,9.29800,-112.24900
2019-10-31,255.566,42.994,60.827,103.821,-52.455,66.221,-28.405,-9.303,350.084,-138.463,5.921,13.884,-17.433,-3.549,1.303,-134.788,0,0,0,11.788,11.788,-112.082,0,-100.294,112.702,3,-112.082
2019-07-31,199.427,41.472,6.178,47.65,8.675,-78.463,8.702,-39.758,207.319,-61.519,0,-7.22,-3.432,-10.652,2.285,-69.886,0,0,0,-102.794,-102.794,-112.684,0,-215.478,-79.128,3.193,-112.684
2019-04-30,282.636,40.725,-60.365,-19.64,-3.628,-80.7,0.57,-84.828,178.168,-47.329,473.885,-6.664,-7.412,-14.076,14.026,426.506,-374.878,0,-374.878,5.467,5.467,-112.162,0,-481.573,126.638,5.568,-112.162
2019-01-31,241.51900,40.01800,-12.45300,27.56500,36.26200,-30.90100,-1.38800,-81.65900,187.42500,-9.12500,,,7.30200,7.30200,0.14400,-1.67900,0.03800,,0.03800,-28.81200,-28.81200,-100.12500,,-128.89900,53.55300,7.94600,-100.12500
2018-10-31,261.496,58.029,53.045,111.074,-42.597,40.634,-5.287,125.954,498.524,-143.125,0,0,-0.683,-0.683,4.41,-139.398,0.039,-95,-94.961,28.914,28.914,-99.592,0,-165.639,190.154,2.939,-99.592
2018-07-31,210.353,40.792,20.308,61.1,-8.411,10.167,-10.299,28.411,299.864,-102.012,0.005,0,-9.769,-9.769,2.266,-109.51,0.038,-90,-89.962,10.754,10.754,-99.376,0,-178.584,7.411,6.265,-99.376
2018-04-30,237.522,41.193,-2.887,38.306,17.512,-37.839,-5.102,-136.664,139.164,-81.778,0.429,0,0.188,0.188,0,-81.161,0.037,-70,-69.963,-13.019,-13.019,-99.325,0,-182.307,-124.204,4.052,-99.325
2018-01-31,303.21100,39.12300,-97.03600,-57.91300,69.62900,-21.25500,2.70100,58.87900,304.17700,-52.94300,-858.10200,,2.71800,2.71800,3.02800,-905.29900,374.72600,255.00000,629.72600,-1.74400,-1.74400,-89.81400,,538.16800,-58.34700,7.33900,-89.81400
2017-10-31,218.363,35.036,45.397,80.433,-46.439,113.91,-7.031,203.696,502.492,-101.297,-520.463,0,9.946,9.946,0.885,-610.929,0,0,0,7.389,7.389,-89.669,0,-82.28,-189.219,1.724,-89.669
2017-07-31,182.551,32.793,0.869,33.662,-24.006,-25.09,-13.381,34.628,250.841,-40.417,0,0,-3.823,-3.823,3.887,-40.353,0,0,0,-39.446,-39.446,-89.834,0,-129.28,84.44,2.006,-89.834
2017-04-30,210.886,32.009,5.296,37.305,4.221,-30.279,0.865,-162.888,85.303,-41.849,0,0,-4.624,-4.624,5.005,-41.468,0,0,0,-17.514,-17.514,-89.878,0,-107.392,-60.92,4.621,-89.878
2017-01-31,235.30300,31.31900,5.67000,36.98900,36.50700,-17.51300,-16.18700,-77.04300,195.24900,-33.96900,135.94400,,3.59600,3.59600,,105.57100,,,,-23.19000,-23.19000,-76.62900,,-99.81900,194.67800,7.24000,-76.62900
2016-10-31,244.19,35.448,91.139,126.587,-26.863,48.298,-1.612,47.557,418.334,-86.059,0.766,0,3.349,3.349,1.349,-80.595,0,-145,-145,-40.067,-40.067,-76.749,-39.19,-301.006,35.546,1.738,-76.749
2016-07-31,195.776,32.612,8.801,41.413,-9.424,-26.527,-24.79,-24.638,212.551,-66.095,-171.506,0,-5.313,-5.313,0,-242.914,0,145,145,-37.755,-37.755,-76.866,2.734,33.113,-0.284,1.913,-76.866
2016-04-30,215.384,33.095,-12.517,20.578,6.24,-32.613,-3.837,-105.518,130.444,-65.074,0,0,1.09,1.09,0,-63.984,0,0,0,-1.502,-1.502,-76.741,16.307,-61.936,4.666,7.016,-76.741
2016-01-31,235.16700,31.80400,-18.96900,12.83500,50.95100,-1.43900,8.96400,30.68900,278.69100,-32.06900,,,11.08800,11.08800,,-20.98100,,-185.00000,-185.00000,3.51400,3.51400,-66.13700,20.14900,-227.47400,27.97600,7.16200,-66.13700
2015-10-31,187.443,55.944,-3.195,52.749,-56.519,-6.938,-34.986,61.555,301.747,-43.784,-2.248,0,-8.222,-8.222,0,-54.254,0,-165,-165,-22.297,-22.297,-66.073,8.811,-244.559,-1.93,1.457,-66.073
2015-07-31,146.956,33.3,14.96,48.26,51.654,-0.756,4.83,49.292,244.508,-37.844,-768.339,0,-1.955,-1.955,0,-808.138,0,350,350,1.838,1.838,-66.046,3.379,289.171,-275.226,1.711,-66.046
2015-04-30,180.435,32.968,12.434,45.402,-3.972,53.307,2.994,-26.602,199.235,-26.191,0,0,-9.553,-9.553,0,-35.744,0,0,0,3.942,3.942,-65.914,-3.905,-65.877,97.298,7.025,-65.914
2015-01-31,172.43000,32.75900,-4.10200,28.65700,31.28800,36.82400,17.24700,45.41500,246.50200,-17.74300,,,14.93200,14.93200,,-2.81100,,,,2.05700,2.05700,-54.38200,2.96300,-49.36200,192.92300,5.52400,-54.38200
2014-10-31,171.848,32.91,0.261,33.171,-35.481,84.586,-0.213,147.494,352.513,-45.594,-424.328,0,-2.623,-2.623,0,-472.545,0,0,0,-28.842,-28.842,-55.296,6.886,-77.252,-196.803,1.703,-55.296
2014-07-31,139.014,33.45,-2.597,30.853,-21.344,-23.391,-30.66,-50.536,119.331,-32.427,-0.374,0,1.016,1.016,0,-31.785,0,0,0,-9.992,-9.992,-52.766,7.776,-54.982,31.647,1.746,-52.766
2014-04-30,140.706,31.924,-2.034,29.89,-10.137,-129.001,12.884,-209.853,-39.257,-38.072,-0.101,0,-4.139,-4.139,0,-42.312,0,0,0,-13.017,-13.017,-52.761,5.927,-59.851,-140.514,5.987,-52.761
2014-01-31,154.45800,31.76000,6.05500,37.81500,46.47600,46.16100,-3.06300,122.01900,314.29200,-32.76000,-41.40100,,4.02800,4.02800,,-70.13300,,,,3.43700,3.43700,-44.83300,4.11100,-37.28500,205.83000,4.95700,-44.83300
2013-10-31,158.485,31.864,-1.088,30.776,-37.102,35.759,-4.903,19.695,208.956,-34.386,0,0,-1.809,-1.809,0,-36.195,0,0,0,-24.207,-24.207,-48.894,4.476,-68.625,104.518,1.167,-48.894
2013-07-31,113.905,31.825,11.415,43.24,-52.159,-4.876,-8.394,14.146,171.291,-21.029,-2.287,0,0.206,0.206,0,-23.11,0,0,0,-37.087,-37.087,-45.021,0.792,-81.316,66.748,4.523,-45.021
2013-04-30,126.641,31.317,5.868,37.185,4.297,3.977,5.959,-48.081,115.745,-22.049,-663.128,0,-12.935,-12.935,0,-698.112,0,0,0,-2.535,-2.535,-44.967,4.877,-42.625,-624.929,6.33,-44.967
2013-01-31,131.04500,29.84400,-11.30000,18.54400,40.50500,-3.16100,8.82900,-7.77600,141.81300,-19.13400,,,85.47700,85.47700,,66.34300,,,,23.22200,23.22200,-39.43800,13.26100,-2.95500,205.28900,5.57600,-39.43800
2012-10-31,134.286,30.867,10.521,41.388,-32.616,-23.474,0.056,58.054,233.728,-37.334,0,0,3.482,3.482,0,-33.852,0,0,0,-9.884,-9.884,-43.795,2.794,-50.885,149.171,2.519,-43.795
2012-07-31,112.407,28.92,1.286,30.206,-35.077,-14.375,3.332,-71.591,71.022,-33.991,0,0,12.915,12.915,0,-21.076,0,0,0,-4.722,-4.722,-38.723,2.193,-41.252,8.438,3.062,-38.723
2012-04-30,128.935,28.892,-7.595,21.297,-16.843,-29.844,-13.74,-89.361,60.871,-27.011,0,0,3.748,3.748,0,-23.263,0,0,0,-24.828,-24.828,-39.586,2.705,-61.709,-23.839,4.889,-39.586
2012-01-31,129.33300,30.81500,3.05200,33.86700,38.60500,2.99500,7.52700,-11.04000,152.16000,-29.40300,-0.16800,,0.99800,0.99800,,-28.57300,,,,-7.23200,-7.23200,-33.60000,1.92900,-38.90300,85.48800,6.24000,-33.60000
2011-10-31,118.495,31.238,-1.856,29.382,-33.183,-19.948,0.841,23.177,171.054,-39.768,0,0,-58.263,-58.263,0,-98.031,0,0,0,-69.042,-69.042,-38.984,1.616,-106.41,-34.234,2.409,-38.984
2011-07-31,99.964,30.646,3.032,33.678,-22.135,-55.487,-43.634,-90.136,43.506,-19.036,0,0,-21.455,-21.455,0,-40.491,-350.093,0,-350.093,-39.154,-39.154,-34.066,3.336,-419.977,-416.34,2.578,-34.066
2011-04-30,110.702,31.084,-16.554,14.53,0.885,-23.108,32.638,-14.645,110.587,-18.264,0,0,4.322,4.322,0,-13.942,247.657,0,247.657,-1.238,-1.238,-34.021,5.36,217.758,314.891,4.002,-34.021
2011-01-31,150.03500,31.19700,5.27700,36.47400,24.26200,6.49100,25.86500,-21.17700,165.33200,-15.45700,-7.20700,,4.14300,4.14300,,-18.52100,,,,10.28400,10.28400,-30.90400,3.74700,-16.87300,130.96800,8.24000,-30.90400
