,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,176.818,149.669,-6.081,143.588,-48.063,30.927,21.092,341.498,-110.788,0,18.25,0,18.25,-2.119,-94.657,0,0,-167.268,-167.268,-10.692,-177.96,83.2,58.374
2022-09-30,108.154,152.071,62.07,214.141,30.796,20.957,47.001,369.296,-97.988,0.008,2.248,0,2.248,0.203,-95.529,-75,-75,-145.783,-145.783,-8.691,-229.474,32.316,50.702
2022-06-30,119.537,151.695,31.401,183.096,35.251,-3.416,38.798,341.431,-118.167,0,1.905,0,1.905,1.036,-115.226,75,0,-157.585,-157.585,-8.323,-165.908,46.499,51.882
2022-03-31,119.16300,143.71400,71.78200,215.49600,-39.19800,-6.07200,-112.20800,222.45100,-131.35900,-872.09900,691.80200,,691.80200,-5.24200,-316.89800,,75.00000,-80.91200,-80.91200,-54.92300,-60.83500,-156.74400,56.22700
2021-12-31,160.534,158.44,41.304,199.744,-8.871,-12.293,26.622,386.9,-109.695,-583.187,-148.415,0,-148.415,-2.657,-843.954,0,0,-258.308,-258.308,-10.917,-269.225,-728.427,48.955
2021-09-30,178.916,156.314,9.819,166.1329,-10.821,-11.287,44.688,389.737,-116.247,0,510.683,0,510.683,-1.453,392.983,0,0,-81.021,-81.021,-12.136,-93.157,684.483,49.018
2021-06-30,156.497,154.175,68.37,222.5451,11.176,-2.012,-0.909,378.133,-154.569,0,-4.66,0,-4.66,-0.391,-159.62,0,0,-86.463,-86.463,-12.381,-98.844,122.672,50.481
2021-03-31,155.69500,147.72800,57.29500,205.02300,-15.58000,-22.35900,-110.92500,249.79300,-164.71900,-15.63800,143.87000,,143.87000,0.17900,-36.30800,,,-36.83100,-36.83100,-63.94600,-100.77700,105.55700,54.30500
2020-12-31,113.37,143.474,45.98,189.4539,-4.942,3.818,-11.731,291.093,-167.445,-128.105,-332.485,0,-332.485,10.101,-617.934,0,0,-58.547,-58.547,-12.529,-71.076,-390.517,50.51
2020-09-30,158.623,134.64,17.755,152.3951,20.107,-26.372,90.955,401.973,-228.759,0,6.153,0,6.153,-2.059,-224.665,0,0,2.809,2.809,-13.369,-10.56,171.111,50.217
2020-06-30,161.915,131.257,66.225,197.482,-31.633,-9.129,-60.706,298.691,-120.239,0,30.447,0,30.447,0.155,-89.637,0,0,-17.071,-17.071,-13.095,-30.166,187.043,49.191
2020-03-31,123.14600,131.84100,56.65700,188.49800,-73.91300,12.97000,-88.40100,223.24300,-215.42900,0.10600,141.03700,,141.03700,-36.45200,-110.73800,,,-61.00400,-61.00400,-50.83500,-111.83900,-8.31700,47.49300
2019-12-31,119.1,130.896,27.98,158.876,-26.327,-7.719,4.164,282.14,-133.666,-43.92,-410.682,0,-410.682,-1.496,-589.764,185.15,185.15,-213.973,-213.973,-14.15,-42.973,-345.481,46.878
2019-09-30,137.89,121.737,49.386,171.123,-0.017,-34.959,-11.628,297.385,-152.633,0,-752.009,0,-752.009,-0.342,-904.984,823.4041,823.4041,24.041,24.041,-11.16,836.285,223.358,46.815
2019-06-30,113.915,114.075,65.069,179.144,5.639,-13.346,24.87,317.929,-133.349,0.055,268.153,-547.793,-279.64,3.507,-409.427,0,0,-72.377,-72.377,-11.317,-83.694,-174.115,48.142
2019-03-31,107.13000,119.82300,54.16600,173.98900,-43.76600,8.86300,-120.26900,160.85000,-142.42900,-121.46400,-10.38100,547.79300,537.41200,-37.27800,236.24100,-690.00000,-690.00000,-15.09800,-15.09800,-40.19700,-745.29500,-346.60300,45.30500
2018-12-31,94.015,130.408,39.271,169.679,-16.834,4.978,22.461,286.155,-117.334,0,288.423,0,288.423,0.612,171.701,119.9449,119.9449,-233.909,-233.909,-12.16,-126.124,330.416,44.998
2018-09-30,107.583,121.918,72.999,194.917,3.278,-30.309,7.981,310.481,-86.698,0,-59.75,0,-59.75,-2.199,-148.647,-0.4369,-0.4369,-422.019,-422.019,-11.078,-433.534,-271.768,46.632
2018-06-30,43.061,115.207,46.831,162.038,1.53,8.831,14.582,219.681,-88.634,0,-329.704,0,-329.704,0.236,-418.102,870.882,870.882,-34.417,-34.417,-12.538,823.927,612.881,47.497
2018-03-31,53.71400,108.94500,44.06900,153.01400,-18.41900,35.01300,-14.71800,192.01000,-113.07500,-0.07900,2.38400,,2.38400,-0.71500,-111.48500,,,2.95300,2.95300,-33.61400,-30.66100,51.02900,44.68600
2017-12-31,27.52,104.246,50.205,154.451,-40.631,45.019,15.47,197.441,-106.852,-171.872,76.991,0,76.991,-0.42,-202.153,0,0,-40.625,-40.625,-10.273,-50.898,-54.979,42.205
2017-09-30,63.911,101.924,31.805,133.729,-5.158,4.118,38.651,236.291,-119.74,0,17.384,0,17.384,-0.023,-102.379,0,0,-112.954,-112.954,-6.784,-119.738,16.281,41.848
2017-06-30,56.752,93.852,49.805,143.657,15.611,2.214,24.224,224.633,-97.005,-197.191,0.065,0,0.065,-0.808,-294.939,0,0,-96.998,-96.998,-8.513,-105.511,-170.584,41.269
2017-03-31,74.58300,91.13000,67.28200,158.41200,-19.87600,-46.56100,-90.37700,142.61800,-91.18100,-0.01000,231.83200,,231.83200,-0.33500,140.30600,,,-54.93700,-54.93700,-33.92100,-88.85800,199.08500,38.98600
2016-12-31,96.234,88.688,64.899,153.587,-25.447,-3.751,-65.599,184.222,-75.938,-92.503,-0.209,0,-0.209,3.931,-164.719,0,0,-61.706,-61.706,-6.985,-68.691,-57.614,39.202
2016-09-30,76,89.177,26.872,116.049,4.691,12.498,59.799,251.848,-79.87,-2.936,-26.033,0,-26.033,-1.633,-110.472,0,0,-79.913,-79.913,-6.15,-86.063,55.159,38.652
2016-06-30,73.635,89.753,37.373,127.126,1.88,-2.931,43.608,244.369,-78.141,0,-61.508,0,-61.508,0.842,-138.807,0,0,-82.24,-82.24,-5.914,-88.154,13.732,34.911
2016-03-31,74.85800,85.32200,35.56500,120.88700,15.90600,12.09900,-4.37200,191.37300,-82.34000,,29.26600,,29.26600,-2.35400,-55.42800,,,-90.37500,-90.37500,-26.49600,-116.87100,23.43900,31.74100
2015-12-31,88.42,84.97,83.134,168.104,-15.54,-19.418,-9.432,247.092,-78.837,-18.702,10.124,0,10.124,0.543,-86.872,0,0,-92.677,-92.677,-31.844,-124.521,33.002,33.711
2015-09-30,88.04,79.416,29.391,108.807,-26.415,17.751,-14.239,182.608,-133.064,0.5,19.24,0,19.24,-1.128,-114.452,0,0,-58.582,-58.582,-6.503,-65.085,-0.977,31.046
2015-06-30,67.2,78.666,-1.235,77.431,18.26,16.756,119.392,264.023,-96.013,-106.883,-86.655,0,-86.655,-1.827,-291.378,0,0,-51.316,-51.316,0.106,-51.21,-75.109,32.251
2015-03-31,77.74600,75.03600,25.28900,100.32500,-32.55200,6.91300,-78.34200,99.72900,-137.06900,-16.06200,210.35100,,210.35100,-0.08200,57.13800,,,-38.24000,-38.24000,-17.97300,-56.21300,93.90700,29.66900
2014-12-31,97.107,72.287,-17.556,54.731,-8.184,-5.935,43.703,195.541,-92.32,0,234.4929,-277.109,-42.6161,-1.477,-136.413,0,0,-30.386,-30.386,0.836,-29.55,24.311,51.154
