,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1548,64,453,517,79,1006,2883,1981,4046,0,13145,-4321,8824,-11579,-2755,2695,-227,2468,-643,-643,-732,-1889,-796,495,-612
2022-09-30,1640,58,239,297,-35,752,-355,1457,3394,0,-11860,-4047,-15907,-5783,-21690,19557,-232,19325,-978,257,-687,-2633,16262,-2034,-622
2022-06-30,1496,144,11,155,355,-301,405,981,2632,0,19931,-3718,16213,-17903,-1690,9347,606,9953,-785,205,-697,-9393,68,1010,-626
2022-03-31,1429.00000,385.00000,-411.00000,-26.00000,642.00000,-1024.00000,-2979.00000,-2392.00000,-989.00000,,24996.00000,-6343.00000,18653.00000,-5946.00000,12707.00000,-3750.00000,487.00000,-3263.00000,-1257.00000,-1257.00000,-576.00000,-7054.00000,-12150.00000,-432.00000,-531.00000
2021-12-31,1306,558,4,562,-90,283,1021,1626,3494,0,1323,-10008,-8685,-372,-9057,-2155,-257,-2412,-630,-631,-604,8371,4724,-839,-533
2021-09-30,1490,421,-418,3,49,-388,-752,32,1525,0,-3075,2520,-555,3867,3312,-1307,86,-1221,-352,1133,-595,-4035,-4718,119,-538
2021-06-30,1103,419,846,1265,-97,212,-41,-953,1415,-10511,27088,-11664,15424,4109,9022,-867,4,-863,8,8,-540,-7773,-9168,1269,-492
2021-03-31,1826.00000,375.00000,-1012.00000,-637.00000,-342.00000,564.00000,-876.00000,-409.00000,780.00000,,-1124.00000,-9280.00000,-10404.00000,4332.00000,-6072.00000,-3660.00000,165.00000,-3495.00000,-39.00000,-39.00000,-550.00000,9814.00000,5730.00000,438.00000,-493.00000
2020-12-31,1456,553,-14,539,161,-175,1252,-60,1935,0,-14169,1280,-12889,6146,-6743,-4371,-166,-4537,-9,-9,-540,10282,5196,388,-492
2020-09-30,1532,232,62,294,-363,1398,-351,-1433,393,0,-19493,7557,-11936,8794,-3142,-4237,-1170,-5407,-61,-61,-557,9065,3040,291,-494
2020-06-30,3655,384,-5784,-5400,282,748,5957,4772,3027,0,-30752,6893,-23859,6001,-17858,-12901,-13652,-26553,10,10,-546,40765,13676,-1155,-491
2020-03-31,915.00000,328.00000,1252.00000,1580.00000,-452.00000,-1014.00000,-7101.00000,-3191.00000,-696.00000,,4392.00000,-2102.00000,2290.00000,-25669.00000,-23379.00000,8936.00000,2950.00000,11886.00000,-1499.00000,-1499.00000,-566.00000,16686.00000,26507.00000,2432.00000,-503.00000
2019-12-31,1381,411,196,607,759,-181,1248,1127,3115,75,-2670,1149,-1521,-2819,-4265,-6178,5308,-870,-935,-935,-564,2909,540,-610,-509
2019-09-30,1392,325,269,594,-766,-724,89,-1382,604,0,-2020,-896,-2916,-326,-3242,-2786,-5045,-7831,-980,-980,-581,12285,2893,255,-518
2019-06-30,1374,307,326,633,-436,1107,549,236,2243,0,-3373,-2235,-5608,-5852,-11460,2884,5820,8704,-769,-769,-487,2123,9571,354,-432
2019-03-31,1271.00000,272.00000,399.00000,671.00000,320.00000,358.00000,-3015.00000,-541.00000,1401.00000,,442.00000,-431.00000,11.00000,-6034.00000,-6023.00000,-502.00000,2482.00000,1980.00000,-804.00000,-804.00000,-499.00000,3399.00000,4076.00000,-546.00000,-436.00000
2018-12-31,1351,290,522,812,725,-1186,2335,-26,2137,0,2757,-1021,1736,-4051,-2315,-2054,984,-1070,-724,-724,-497,2829,538,360,-442
2018-09-30,1400,272,-329,-57,-412,132,-531,-179,1164,0,2051,-909,1142,-337,805,646,-1898,-1252,-443,-443,-509,58,-2146,-177,-446
2018-06-30,1356,287,40,327,-353,-15,-551,-66,1617,0,7186,-6037,1149,-2358,-1209,-1396,2750,1354,-834,-834,-410,258,368,776,-355
2018-03-31,1239.00000,280.00000,-45.00000,235.00000,1675.00000,176.00000,-1113.00000,1448.00000,2922.00000,,-129.00000,519.00000,390.00000,-1640.00000,-1250.00000,-549.00000,-24.00000,-573.00000,-807.00000,-807.00000,-421.00000,-471.00000,-2272.00000,-600.00000,-358.00000
2017-12-31,2091,258,-745,-487,-1185,53,1101,-740,864,-19,-3730,-1690,-5420,48,-5391,5002,-3385,1617,-482,-482,-417,4322,5040,513,-362
2017-09-30,1126,291,158,449,-413,1328,-364,920,2495,0,-2275,1069,-1206,-3529,-4735,-1620,2871,1251,-527,-527,-427,1640,1937,-303,-364
2017-06-30,1097,289,179,468,-615,-671,-169,-935,630,-1323,5716,1164,6880,-4706,851,5492,-4378,1114,-678,-678,-324,-1557,-1445,36,-269
2017-03-31,1074.00000,279.00000,42.00000,321.00000,1065.00000,-405.00000,419.00000,195.00000,1590.00000,,-2840.00000,-424.00000,-3264.00000,-2356.00000,-5620.00000,-2773.00000,5303.00000,2530.00000,-628.00000,-628.00000,-334.00000,2586.00000,4154.00000,124.00000,-271.00000
2016-12-31,1047,276,79,355,-445,-138,1931,-197,1205,0,823,633,1456,-1159,297,958,847,1805,-415,104,-311,-2752,-1154,348,-270
2016-09-30,1006,356,-92,264,238,-164,172,264,1534,0,449,-6168,-5719,-1796,-7515,-2050,-924,-2974,-471,-471,-338,10099,6316,335,-275
2016-06-30,989,291,125,416,-779,81,-1317,-920,485,0,2376,279,2655,-1836,819,831,-479,352,-492,-492,-297,-532,-969,335,-256
2016-03-31,943.00000,270.00000,339.00000,609.00000,51.00000,-946.00000,-1465.00000,-1276.00000,276.00000,,1313.00000,-818.00000,495.00000,-1403.00000,-908.00000,-1325.00000,846.00000,-479.00000,-533.00000,-533.00000,-324.00000,1764.00000,428.00000,-204.00000,-260.00000
2015-12-31,1022,286,206,492,479,38,3929,378,1892,0,3842,-4202,-360,-2366,-2726,-371,-1540,-1911,-545,-545,-300,3820,1064,230,-259
2015-09-30,1073,272,224,496,305,187,-2550,408,1977,0,181,-5020,-4839,-212,-5051,492,-2380,-1888,-557,-557,-326,5268,2497,-577,-263
2015-06-30,1044,278,-172,106,-123,207,1392,246,1396,0,-2849,-1231,-4080,-517,-4597,3432,-1847,1585,-508,-1008,-312,3197,3462,261,-265
2015-03-31,1004.00000,252.00000,99.00000,351.00000,-268.00000,-229.00000,-1642.00000,-1095.00000,260.00000,,540.00000,-4135.00000,-3595.00000,-291.00000,-3886.00000,647.00000,-800.00000,-153.00000,-403.00000,-403.00000,-319.00000,4292.00000,3417.00000,-209.00000,-251.00000
2014-12-31,1057,264,347,611,-185,129,-444,-663,1005,0,-5622,-659,-6281,-4065,-10346,3855,574,4429,-494,-494,-299,5901,9537,196,-252
