,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-436.496,-550.482,68.314,-482.1679,0,0,358.309,358.309,-560.355,477.384,1.901,724.213,46.1,46.1,54.162,1303.76,-1201.514,-1201.514,8.984,8.984,544.069,-9.986,-658.447,100.605,-45.923,544.069
2022-09-30,192.931,179.549,-45.001,134.5479,0,0,-113.048,-113.048,214.431,-243.661,-1.753,-5.556,-46.1,-46.1,-15.587,-312.657,297.4051,297.4051,-0.348,-0.348,-179.846,-0.764,116.447,10.477,14.326,-179.846
2022-06-30,201.858,182.929,-89.123,93.806,0,0,-4.246,-4.246,291.418,-78.026,-0.148,-0.75,0,0,-22.425,-101.349,-71.2041,-71.2041,4.207,4.207,-179.862,17.306,-229.553,-50.914,20.256,-179.862
2022-03-31,41.70700,188.00400,65.81000,253.81400,,,-241.01500,-241.01500,54.50600,-155.69700,,-717.90700,,,-16.15000,-889.75400,975.31300,975.31300,-12.84300,-12.84300,-184.36100,-6.55600,771.55300,-60.16800,11.34100,-184.36100
2021-12-31,61.461,177.355,-20.758,156.5969,0,0,77.507,77.507,295.565,-128.641,-1.092,-0.246,-6.47,-6.47,-17.079,-153.528,130.6219,130.6219,6.205,6.205,-179.438,-0.608,-43.219,94.389,14.149,-179.438
2021-09-30,68.111,178.845,4.611,183.456,0,0,-177.432,-177.432,74.135,-118.222,-1.159,-168.029,-9.018,-9.018,-16.006,-312.434,271.491,271.491,1.657,1.657,-179.078,-0.718,93.352,-154.489,13.2,-179.078
2021-06-30,276.522,171.001,-254.647,-83.646,0,0,127.497,127.497,320.373,47.191,-2.767,-35.723,-56.635,-56.635,199.213,151.279,-67.2289,-67.2289,22.554,22.554,-178.832,-76.922,-300.429,176.984,22.699,-178.832
2021-03-31,46.63100,169.76900,11.67000,181.43900,,,-159.24100,-159.24100,68.82900,-133.08000,-0.87400,,-6.50000,-6.50000,-18.17600,-158.63000,210.65900,210.65900,-4.55600,-4.55600,-180.99200,4.37900,29.49000,-66.11900,10.95300,-180.99200
2020-12-31,246.755,172.608,-216.563,-43.9551,0,0,157.639,157.639,360.439,318.598,-0.817,0,-11.4,-11.4,-31.69,274.691,-400.9882,-400.9882,1.3,1.3,-178.437,-1.4,-579.525,53.091,2.056,-178.437
2020-09-30,38.562,161.402,20.667,182.0691,0,0,-32.487,-32.487,188.144,-1.941,-0.644,-0.069,0,0,-13.266,-15.92,-740.4102,-740.4102,1.051,1.051,-178.392,-6.335,-924.086,-755.208,8.946,-178.392
2020-06-30,-7.113,168.338,50.464,218.802,0,0,101.97,101.97,313.659,-94.358,-1.151,-0.443,-6.85,-6.85,-10.238,-113.04,730.2283,730.2283,2.58,2.58,-178.159,-11.495,543.154,754.496,20.145,-178.159
2020-03-31,64.89200,190.09700,-36.80200,153.29500,,,-92.77200,-92.77200,125.41500,-95.89800,-1.73400,-118.06900,,,-15.47000,-231.17100,268.67990,268.67990,-4.61000,-4.61000,-181.30200,-9.01000,73.75800,-40.87100,6.52700,-181.30200
2019-12-31,37.104,178.28,15.917,194.197,0,0,87.209,87.209,318.51,-75.374,-3.115,-1.738,0,0,-15.023,-95.25,-40.8819,-40.8819,3.086,3.086,-175.618,-5.444,-218.858,6.777,7.514,-175.618
2019-09-30,108.284,161.639,-16.813,144.826,0,0,-34.696,-34.696,218.414,-131.167,-9.615,-11.848,0,0,-13.332,-165.962,157.9002,157.9002,-0.332,-0.332,-175.551,-1.234,-19.217,24.782,7.12,-175.551
2019-06-30,92.475,168.431,-10.381,158.05,0,0,62.139,62.139,312.664,-135.639,-9.441,-5.228,0,0,-8.148,-158.456,22.9647,22.9647,4.236,4.236,-175.334,-0.501,-148.634,0.521,12.501,-175.334
2019-03-31,30.45200,166.59100,25.92000,192.51100,,,-105.89600,-105.89600,117.06700,-184.66000,-23.93400,-39.42300,-19.22200,-19.22200,-43.97800,-311.21700,372.22010,372.22010,-5.96300,-5.96300,-178.02300,-0.49800,187.73600,-4.01000,8.51900,-178.02300
2018-12-31,158.557,169.057,-77.068,91.9889,0,0,60.46,60.46,311.006,-44.663,-24.748,-47.546,0,0,-2.128,-119.085,-51.37,-51.37,1.658,1.658,-168.232,-0.936,-218.881,-32.191,7.815,-168.232
2018-09-30,65.744,161.754,18.757,180.511,0,0,-15.041,-15.041,231.214,-111.846,-15.446,-44.142,0,0,-9.863,-181.297,143.226,143.226,-0.541,-0.541,-168.351,-3.528,-29.194,9.484,7.279,-168.351
2018-06-30,85.678,160.247,-11.1,149.147,0,0,66.936,66.936,301.761,-102.402,-10.781,-237.895,0,0,-8.406,-359.484,-18.215,-18.215,3.691,3.691,-168.046,-3.929,-186.499,-254.299,8.689,-168.046
2018-03-31,45.15200,164.13100,33.52300,197.65400,,,-151.23800,-151.23800,91.56800,-114.99200,-12.60200,-1428.97400,,,-5.44400,-1562.01200,1085.83500,1085.83500,70.24200,70.24200,-169.00600,-1.81900,985.25200,-483.20800,7.38400,-169.00600
2017-12-31,7.771,147.126,48.374,195.5,0,0,-1.172,-1.172,202.099,-98.985,-11.57,-25.577,0,0,20.085,-116.047,66.5517,66.5517,522.942,522.942,-147.019,56.471,498.945,587.813,7.166,-147.019
2017-09-30,24.324,132.542,51.916,184.458,0,0,-9.59,-9.59,199.192,-78.149,-22.519,-155.905,0,0,-5.858,-262.431,255.5093,255.5093,5.805,5.805,-145.587,-12.663,103.064,46.867,7.761,-145.587
2017-06-30,81.122,132.067,-7.213,124.854,8.971,-5.869,-47.35,-8.136,197.84,-83.524,-3.905,-26.036,0,0,-3.202,-116.667,42.957,42.957,5.118,5.118,-145.333,-0.988,-98.246,-4.609,8.543,-145.333
2017-03-31,58.50700,128.61400,1.07600,129.69000,-8.97100,5.86900,-27.14600,-66.36000,121.83700,-73.13600,-17.13200,-12.18700,,,-1.84800,-104.30300,32.43510,32.43510,-4.30800,-4.30800,-2.06000,10.59500,36.66200,59.14400,6.54900,-2.06000
2016-12-31,49.525,129.34,-13.487,115.853,6.996,39.073,-50.591,-44.075,121.303,-76.794,-6.805,-15.594,0,0,70.322,-28.871,-174.0567,-174.0567,5.548,5.548,-145.409,-2.047,-315.964,-221.644,7.106,-145.409
2016-09-30,7.8,128.259,20.232,148.491,-8.742,0.304,36.944,59.551,215.842,-80.538,-14.432,0.182,0,0,-9.779,-104.567,254.0059,254.0059,7.733,7.733,-127.866,-5.475,128.398,221.139,5.957,-127.866
2016-06-30,-13.133,117.925,33.365,151.29,9.897,-8.443,-77.981,-12.525,125.632,-82.611,-4.192,-257.213,0,0,48.744,-295.272,412.8115,412.8115,20.616,20.616,-127.665,-12.084,293.678,119.044,9.028,-127.665
2016-03-31,63.04100,89.95300,-8.11200,81.84100,-8.15100,-30.93400,30.81500,-63.76400,81.11800,-80.68300,-6.13200,-19.34000,,,-1.12600,-107.28100,125.62990,125.62990,-1.97500,-1.97500,-104.93100,0.53700,19.26100,-10.43600,6.88500,-104.93100
2015-12-31,5.94,88.278,53.82,142.098,6.888,41.994,-3.324,73.627,221.665,-87.428,-12.403,-85.583,0,0,-41.405,-226.819,-288.7578,-288.7578,-6.839,-6.839,-102.796,4.342,-394.051,-398.378,6.649,-102.796
2015-09-30,23.517,88.575,47.655,136.23,6.153,-1.158,0.062,-19.39,140.357,-61.998,-4.693,-6.261,0,0,-6.263,-79.215,427.876,427.876,4.534,4.534,-100.483,-10.918,321.009,375.801,6.159,-100.483
2015-06-30,54.007,89.817,-7.383,82.434,1.506,-4.824,0.732,37.785,174.226,-64.185,-10.653,-15.283,0,0,15.689,-74.432,-8.1519,-8.1519,5.09,5.09,-100.69,-0.58,-104.332,-2.507,7.921,-100.69
2015-03-31,41.73900,88.04300,11.15700,99.20000,3.43700,-17.99500,0.59300,-135.42700,5.51200,-74.36600,-4.86200,-6.43100,,,9.47900,-76.18000,168.14210,168.14210,4.36400,4.36400,-102.53900,-1.10400,68.86300,-6.32800,6.85600,-102.53900
2014-12-31,13.403,91.049,21.372,112.421,9.474,44.177,15.946,45.272,171.096,-58.359,10.773,-81.727,0,0,-19.373,-148.686,305.2138,305.2138,6.934,6.934,-385.28,-1.845,-74.976,-58.055,6.495,-385.28
2014-09-30,0.858,91.028,38.438,129.466,3.225,-10.682,16.042,-24.073,106.251,-87.942,-8.637,0,0,0,0,-96.579,81.8784,81.8784,19.538,19.538,-52.157,-14.253,35.006,38.645,8.671,-52.157
2014-06-30,272.376,90.736,-221.53,-130.794,-3.377,-9.557,-21.46,-1.622,139.96,-81.173,-9.052,-15.585,0,0,0,-105.81,-24.6333,-24.6333,15.401,15.401,-52.126,0.346,-61.012,-24.563,7.317,-52.126
