,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,188,255,142,397,415,626,-263,-432,346,898,-241,-845,102,-984,22,-28,-6,-101,-101,-191,3,-295,-363,0,-191
2022-09-30,-9,255,-445,-190,-55,-218,78,676,481,597,-180,0,30,-150,-7,0,-7,-265,-265,-183,26,-429,-77,0,-183
2022-06-30,-837,274,1245,1519,-156,-203,111,-364,-612,321,-174,0,10,-164,-4,0,-4,-226,-226,-184,15,-399,-263,0,-184
2022-03-31,80.00000,277.00000,-11.00000,266.00000,-204.00000,-205.00000,74.00000,242.00000,-93.00000,72.00000,-177.00000,,-89.00000,-266.00000,-11.00000,,-11.00000,-236.00000,-236.00000,-185.00000,-37.00000,-469.00000,-662.00000,,-185.00000
2021-12-31,336,273,81,354,-434,19,256,169,10,774,-129,-196,74,-251,-3,-41,-44,-328,-328,-186,0,-558,-73,205,-186
2021-09-30,16,262,137,399,41,32,-81,-91,-99,416,-111,0,29,-82,-15,0,-15,-106,-106,-188,9,-300,13,0,-188
2021-06-30,-77,278,51,329,-74,31,82,125,164,506,-121,0,165,44,-9,-832,-841,0,0,-188,-1,-1030,-469,0,-188
2021-03-31,-605.00000,292.00000,788.00000,1080.00000,341.00000,88.00000,-11.00000,-13.00000,405.00000,678.00000,-180.00000,,6.00000,-174.00000,-36.00000,,-36.00000,,,-187.00000,-32.00000,-255.00000,250.00000,,-187.00000
2020-12-31,951,307,-1355,-1048,101,103,-41,417,580,377,-127,130,-70,-67,128,-204,-76,0,0,-186,-7,-269,71,210,-186
2020-09-30,-270,316,0,316,-19,92,-180,-52,-159,219,-167,0,53,-114,-21,0,-21,0,0,-186,6,-201,-71,0,-186
2020-06-30,-344,339,834,1173,419,-135,-308,-364,-388,230,-168,0,49,-119,466,737,1203,0,0,-186,5,1022,1122,0,-186
2020-03-31,-16098.00000,15128.00000,1103.00000,16231.00000,179.00000,-140.00000,-182.00000,326.00000,183.00000,478.00000,-325.00000,,7.00000,-318.00000,-115.00000,,-115.00000,,,-186.00000,-26.00000,-327.00000,-239.00000,,-186.00000
2019-12-31,94,353,204,557,-208,124,300,423,639,1357,-304,-99,17,-386,182,-542,-360,0,0,-185,7,-538,441,0,-185
2019-09-30,117,356,-330,26,-148,-21,-97,693,427,360,-199,0,103,-96,-161,0,-161,-250,-250,-187,29,-569,-330,0,-187
2019-06-30,-11,359,422,781,-23,-83,139,-152,-119,593,-238,0,-69,-307,-18,0,-18,0,0,-186,9,-195,65,0,-186
2019-03-31,71.00000,350.00000,,350.00000,-204.00000,-220.00000,-93.00000,123.00000,-394.00000,-184.00000,-235.00000,,-21.00000,-256.00000,-48.00000,,-48.00000,,,-187.00000,3.00000,-232.00000,-650.00000,,-187.00000
2018-12-31,302,353,189,542,-168,-4,336,274,438,1089,-214,-57,-103,-374,-11,-57,-68,-1461,-1461,-186,-1,-1716,-1042,0,-186
2018-09-30,38,353,-12,341,-1,-53,140,-134,-48,240,-93,-20,71,-42,-25,-19,-44,0,0,-221,-10,-275,-114,0,-221
2018-06-30,-38,392,-67,325,-160,-148,217,-27,-118,139,-161,0,133,-28,0,-119,-119,-835,-835,-200,335,-819,-752,0,-200
2018-03-31,-19.00000,388.00000,-233.00000,155.00000,125.00000,-134.00000,101.00000,16.00000,108.00000,294.00000,-69.00000,,-65.00000,-134.00000,-648.00000,-181.00000,-829.00000,-190.00000,-190.00000,-203.00000,-331.00000,-1553.00000,-1399.00000,,-203.00000
2017-12-31,-80,387,-586,-199,-940,223,219,211,-287,-214,-152,10,-102,-244,3751,-338,3413,-477,-477,-208,-21,2707,2253,0,-208
2017-09-30,-357,426,0,426,-149,19,6,-267,-391,-196,-210,-3365,-174,-3749,0,-280,-280,0,0,-198,7146,6668,2755,0,-198
2017-06-30,-20,158,86,244,-83,152,94,-31,132,-43,-63,0,0,-63,0,-272,-272,0,0,0,1359,1087,995,0,0
