,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,301.674,15.201,37.839,53.04,73.466,-50.572,-2.898,-3.957,-56.2009,298.513,-51.858,-19.849,0,0,-24.745,-24.745,-7.172,-103.624,0.794,0.794,-248.457,-248.457,0,-247.663,4.093,14.942
2022-09-30,322.387,15.608,26.108,41.716,86.789,1.936,-32.836,9.219,94.4199,458.523,-36.481,6.316,0,0,-15.407,-15.407,-6.433,-52.005,-5.643,-5.643,-184.679,-184.679,0,-190.322,171.009,16.558
2022-06-30,273.36,15.833,41.37,57.203,-156.284,-90.403,67.17,-31.843,-199.549,131.014,-77.577,-1.475,0.884,0,382.557,382.557,-6.497,297.892,4.924,1.47,-266.2,-266.2,0,-264.73,117.253,16.277
2022-03-31,294.20300,14.59900,16.32600,30.92500,-132.95200,-208.67300,18.32900,-36.13200,-325.47900,-0.35100,-21.49700,-8.41900,-330.35600,,62.88300,62.88300,-6.24100,-303.63000,,3.45400,-7.67700,-7.67700,,-4.22300,-311.67600,16.33200
2021-12-31,321.314,12.301,35.384,47.685,-54.747,-128.379,7.727,6.865,-141.24,227.759,-15.655,-8.374,0,0,-597.7492,-597.7492,11.456,-610.322,4.742,4.742,8.551,8.551,0,13.293,-386.209,18.092
2021-09-30,337.205,12.355,17.41,29.765,40.059,-96.873,42.951,-19.839,-25.574,341.396,-12.387,4.715,0,0,-192.2929,-192.2929,-1.573,-201.538,-5.438,-5.438,12.674,12.674,0,7.236,128.432,16.7
2021-06-30,403.762,12.674,18.938,31.612,-93.04,-12.995,26.76,-15.3,-24.261,411.113,-6.329,-2.687,0,0,-19.683,-19.683,-2.38,-31.079,3.624,2.667,17.326,17.326,0,19.993,405.36,17.329
2021-03-31,315.19400,12.82500,18.27400,31.09900,-146.50000,-39.54600,36.85900,-23.23300,-170.82000,175.47300,-8.16900,-7.23900,,,-114.81900,-114.81900,-18.85600,-149.08300,,0.95700,-6.65800,-6.65800,,-5.70100,-1.53400,18.36200
2020-12-31,471.736,11.151,-134.123,-122.972,81.664,-9.186,28.42,15.432,66.163,414.927,-6.547,1.136,0,0,-326.367,-326.367,-0.195,-331.973,-0.586,-0.586,7.396,7.396,0,6.81,105.683,17.247
2020-09-30,347.654,13.822,22.977,36.799,30.258,25.309,-2.952,-2.55,124.325,508.778,-12.656,-6.601,0,0,-347.061,-347.061,-24.89,-391.208,-0.82,-0.82,21.5499,21.5499,0,20.73,153.404,20.008
