,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,270.87,94.82,25.722,120.542,137.259,98.372,27.883,339.237,730.649,-321.34,-321.401,-642.741,87.23,87.23,-82.225,-82.225,-101.652,0,-96.647,-8.739,15.301,-101.652
2022-09-30,234.137,87.236,17.824,105.06,-193.055,-60.925,-20.616,-338.472,0.725,-185.855,0,-185.855,89.239,89.239,-121.828,-121.828,-101.862,0,-134.451,-319.581,13.681,-101.862
2022-06-30,396.478,83.36,11.571,94.931,83.041,-61.127,-35.69,75.13,566.539,-152.842,0,-152.842,-1.33,-1.33,-184.355,-184.355,-102.622,0,-288.307,125.39,12.534,-102.622
2022-03-31,187.22700,77.64600,52.56600,130.21200,-376.98700,186.01500,13.48600,-258.37300,59.06600,-112.28800,,-112.28800,-1.19700,-1.19700,-314.71200,-314.71200,-103.46700,,-419.37600,-472.59800,12.31600,-103.46700
2021-12-31,221.338,75.427,26.815,102.242,8.581,-42.183,-62.824,-56.697,266.883,-246.076,0,-246.076,-1.213,-1.213,-194.104,-194.104,-59.171,0,-254.488,-233.681,11.912,-59.171
2021-09-30,224.4,69.824,14.268,84.092,-206.949,-24.098,22.998,-245.562,62.93,-165.551,0,-165.551,-1.16,-1.16,-137.14,-137.14,-59.369,0,-197.669,-300.29,12.543,-59.369
2021-06-30,370.022,64.853,7.176,72.029,91.853,39.987,-6.603,189.739,631.79,-115.194,0,-115.194,-1.121,-1.121,-193.508,-193.508,-59.896,0,-254.525,262.071,10.876,-59.896
2021-03-31,181.35400,60.05400,32.58400,92.63800,-301.40700,205.82800,-25.29000,-96.87500,177.11700,-100.51900,,-100.51900,-1.08600,-1.08600,-206.76800,-206.76800,-60.57000,,-268.42400,-191.82600,12.31800,-60.57000
2020-12-31,135.893,58.49,55.959,114.449,131.77,-80.815,10.915,139.198,389.54,-132.048,0,-132.048,88.928,88.928,-54.218,-54.218,-46.621,-15.811,-27.722,229.77,10.296,-46.621
2020-09-30,190.61,54.651,21.381,76.032,-226.532,53.214,19.954,-254.805,11.837,-74.184,0,-74.184,-8.563,-8.563,23.072,23.072,-46.542,0,-32.033,-94.38,12.528,-46.542
2020-06-30,338.678,52.547,-7.185,45.362,217.405,115.759,-0.572,525.166,909.206,-56.65,0,-56.65,-103.535,-103.535,37.753,37.753,-40.644,-1.237,-107.663,744.893,7.504,-40.644
2020-03-31,83.77700,51.43600,8.27300,59.70900,-303.13200,244.90200,0.83200,-59.55400,83.93200,-29.32800,,-29.32800,621.50000,621.50000,-258.02300,-258.02300,-40.84900,,322.62800,377.23200,6.94500,-40.84900
2019-12-31,144.179,51.394,3.611,55.005,209.991,-36.755,-9.107,198.205,397.389,-72.936,0,-72.936,-248.467,-248.467,-32.9319,-32.9319,-41.453,0,-322.852,1.601,5.381,-41.453
2019-09-30,122.133,49.819,5.698,55.517,-79.622,-1.738,-4.282,-112.197,65.453,-59.096,0,-59.096,154.064,154.064,-140.281,-140.281,-41.518,0,-27.735,-21.378,7.355,-41.518
2019-06-30,219.21,48.998,5.405,54.403,148.182,-103.539,-4.237,88.285,361.898,-54.502,0,-54.502,-139.158,-139.158,-124.33,-124.33,-42.105,0,-305.593,1.803,8.776,-42.105
2019-03-31,76.83200,45.76700,22.88500,68.65200,-291.79000,165.08700,19.20800,-158.50800,-13.02400,-28.42700,,-28.42700,218.60300,218.60300,-123.61300,-123.61300,-37.62300,,57.36700,15.91600,9.62400,-37.62300
2018-12-31,136.851,45.968,12.73,58.698,147.731,-63.691,1.962,145.426,340.975,-84.65,0,-84.65,-167.021,-167.021,-36.379,-36.379,-37.928,0,-241.328,14.997,6.134,-37.928
