,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,313.8,87.6,47.9,135.5,-294,-49.4,26.6,340,78.8,528.1,-30.9,-30.8,279.1,279.1,0,217.4,0,0,4.4,4.4,-31.8,-27.4,718.9,54.7
2022-09-30,231.1,83.9,23.7,107.6,-43.4,-28.5,25.9,189,144.3,483,-87.8,0,385.6,385.6,0,297.8,0,0,-494.2,-494.2,-32.4,-526.6,254,54.7
2022-06-30,173.4,80.8,28.5,109.3,-134.7,-17.7,17.2,207.2,40.7,323.4,-39.9,0,334,334,0,294.1,0,0,-795.1,-795.1,-35.2,-830.3,-213.5,54.7
2022-03-31,138.30000,79.70000,-17.50000,62.20000,15.40000,-13.50000,35.50000,103.60000,195.60000,396.10000,-122.60000,,77.20000,77.20000,,-45.40000,,,-680.20000,-680.20000,-65.80000,-746.00000,-395.60000,53.20000
2021-12-31,198.8,76.4,59.3,135.7,-203.1,0.1,-1.3,242.8,32.3,366.8,-151.3,-1.5,-113.4999,-113.4999,0.4,-265.9,0,0,-566.5,-566.5,-67.1,-633.6,-533,53.1
2021-09-30,163.2,69.9,-6.5,63.4,-5,0.6,-2.3,118.8,172.2,398.8,-69,-63.1,-175.4001,-175.4001,0,-307.5,0,0,-73.5,-73.5,-45.2,-118.7,-27.2,52.7
2021-06-30,137.5,62.7,41.9,104.6,53.1,-5.4,2.9,78.8,176.1,418.2,-23.5,0,-254.7,-254.7,0,-278.2,0,0,-85.7,-85.7,-35.2,-120.9,19.1,52.6
2021-03-31,107.20000,58.20000,34.70000,92.90000,82.50000,-14.70000,-12.40000,67.10000,115.80000,315.90000,-52.10000,-10.30000,-411.10000,-411.10000,,-473.50000,989.40000,989.40000,9.90000,9.90000,-43.30000,956.00000,798.40000,49.50000
2020-12-31,146.7,55.4,34,89.4,-173.3,-11.2,41.6,150.4,60.4,296.5,-32.3,-31,-3,-3,1.3,-65,0,0,-30.2,-30.2,-21.8,-52,179.5,48.7
2020-09-30,123.4,52.6,54,106.6,-47.6,-13.1,-13.9,44.8,-9.2,220.8,-35.1,-6.1,-183.8,-183.8,0.4,-224.6,0,0,2.5,2.5,-32.8,-30.3,-34.1,49.3
2020-06-30,113.8,51.2,50.1,101.3,-25.1,-24.6,18.7,51.1,31.9,247,-30.9,0,243.1,243.1,0,212.2,0,0,-147.8,-147.8,-21.1,-168.9,290.3,48.9
2020-03-31,104.60000,48.30000,49.10000,97.40000,69.60000,6.70000,-9.00000,46.50000,117.40000,319.40000,-27.60000,-3.10000,35.70000,35.70000,-0.40000,4.60000,,,-882.50000,-882.50000,-37.90000,-920.40000,-596.40000,44.80000
2019-12-31,118.2,43.8,52.3,96.1,-157.2,-23.3,13.9,139.5,-23.9,190.4,-47.2,-34.6,-17.8001,-17.8001,0,-99.6,0,0,-19.8,-19.8,-24,-43.8,47,43.7
2019-09-30,82,40.8,58.4,99.2,19,-19.7,8.4,37.4,40,221.2,-17.5,0,-9.6,-9.6,0,-27.1,0,0,-21.2,-21.2,-19.5,-40.7,153.4,42.4
2019-06-30,72.7,39.2,53.2,92.4,-22.1,-2.9,3.4,57.7,30,195.1,-17.3,0,-319.3,-319.3,0,-336.6,0,0,-28.8,-28.8,-24.5,-53.3,-194.8,45
2019-03-31,58.80000,39.70000,35.30000,75.00000,63.60000,-2.60000,-18.00000,39.40000,67.50000,201.30000,-10.20000,,-28.80000,-28.80000,,-39.00000,,,-25.80000,-25.80000,-32.00000,-57.80000,104.50000,43.00000
2018-12-31,185.3,38.7,-83.7,-45,-120,-14.4,19.5,124.2,39.9,180.2,-11.6,-15.7,-100.2,-100.2,0,-127.5,0,0,-89.8,-89.8,-19.8,-109.6,-56.9,42.6
2018-09-30,58.7,37.1,41.1,78.2,9.1,-8.2,4.2,33.4,39.8,176.7,-18.2,0,29.3,29.3,0,11.1,0,0,24.9,24.9,-15.5,9.4,197.2,43.2
2018-06-30,49.3,36.1,50.3,86.4,-20,-3.5,4.5,23,6.6,142.3,-11.6,-6,24.6,24.6,0,7,0,0,10,10,-22.8,-12.8,136.5,40.6
2018-03-31,41.60000,34.10000,27.20000,61.30000,48.90000,-7.30000,-13.60000,31.30000,36.80000,139.70000,-11.60000,,-13.90000,-13.90000,,-25.50000,,,-70.40000,-70.40000,-19.20000,-89.60000,24.60000,36.50000
2017-12-31,-29,14.7,93,107.7,-89.8,-8.3,29.6,117,78.8,157.5,-13.7,0,79,79,0,65.3,0,0,-308.4,-308.4,-9.2,-317.6,-94.8,34.5
2017-09-30,26.7,14.4,38.1,52.5,13.5,7.9,3.4,50.4,83.2,162.4,-21.7,0,-7.2,-7.2,0,-28.9,0,0,-70.8,-70.8,-10,-80.8,52.7,34.3
2017-06-30,23,14.4,27.5,41.9,-4.5,13.3,-11.6,67.1,79.9,144.8,-86.4,0,4.5,4.5,0,-81.9,0,0,-20.8,-20.8,-12.2,-33,29.9,35.1
2017-03-31,10.70000,14.50000,18.20000,32.70000,42.40000,-3.50000,-8.30000,53.10000,86.30000,129.70000,-13.50000,,-17.80000,-17.80000,,-31.30000,,,29.50000,29.50000,-13.70000,15.80000,114.20000,33.30000
2016-12-31,25.179,14.576,37.017,51.593,-70.688,-18.445,1.684,96.746,24.257,101.029,-16.881,-0.013,19.009,19.009,0,2.115,0,0,-33.292,-33.292,-8.388,-41.68,61.464,32.058
2016-09-30,6.291,14.089,26.862,40.951,10.766,-16.536,-1.454,33.197,28.897,76.139,-5.92,-1.427,0.549,0.549,0,-6.798,0,0,-5.68,-5.68,-12.528,-18.208,51.133,31.093
2016-06-30,-1.388,12.588,21.5,34.088,-36.898,-7.492,11.296,63.365,35.241,67.941,-14.443,-20.66,-0.11,-0.11,0,-35.213,0,0,5.187,5.187,-9.543,-4.356,28.372,30.347
2016-03-31,2.11800,12.04700,11.82100,23.86800,38.92000,-0.52700,-11.42600,44.89200,74.60500,100.59100,-29.95600,,-4.24800,-4.24800,,-34.20400,,,-32.21500,-32.21500,-9.44100,-41.65600,24.73100,28.90200
2015-12-31,-2.534,11.07,27.243,38.313,-87.387,-6.661,7.325,95.508,32.779,68.558,-8.345,0,4.463,4.463,0,-3.882,0,0,-56.229,-56.229,-5.882,-62.111,2.565,28.087
2015-09-30,8.169,10.713,12.041,22.754,11.4,-4.51,-1.459,35.624,34.142,65.065,-13.325,-38.025,36.335,36.335,0,-15.015,0,0,20.896,20.896,-11.627,9.269,59.319,26.476
2015-06-30,0.792,8.972,18.223,27.195,-14.098,-1.621,2.922,52.836,56.318,84.305,-10.761,0,12.567,12.567,0,1.806,0,0,13.692,13.692,-4.762,8.93,95.041,21.645
2015-03-31,1.56000,8.29100,11.12100,19.41200,23.62100,-6.29600,-11.30500,38.43100,43.64700,64.61900,-4.92700,,21.05100,21.05100,,16.12400,,,28.95500,28.95500,-6.60000,22.35500,103.09800,18.88000
2014-12-31,6.813,7.532,42.603,50.135,-69.028,-21.364,14.227,45.016,-21.584,35.364,-5.395,0,-7.447,-7.447,0,-12.842,0,0,9.053,9.053,-6.417,2.636,25.158,16.681
2014-09-30,4.056,7.533,7.321,14.854,10.912,-7.788,2.553,20.534,37.608,56.518,-5.78,-0.017,-2.429,-2.429,0.017,-8.209,0,0,6.943,6.943,-1.103,5.84,54.149,14.667
2014-06-30,6.081,8.731,9.974,18.705,-16.891,-6.633,7.295,24.5,19.012,43.798,-9.704,0.017,3.769,3.769,-0.017,-5.935,0,0,-6.815,-6.815,-0.024,-6.839,30.979,14.716
2014-03-31,8.39300,6.93500,12.30800,19.24300,19.11900,3.32600,-6.04200,34.38200,33.26600,60.90200,-11.31800,-0.01700,8.97100,8.97100,,-2.36400,,,2.16600,2.16600,-3.05400,-0.88800,57.09500,12.93000
2013-12-31,12.016,6.846,8.152,14.998,-22.669,-3.749,-0.569,30.736,19.654,46.668,-7.148,0,-35.438,-35.438,0,-42.586,0,0,-32.415,-32.415,-0.016,-32.431,-28.673,12.125
2013-09-30,11.029,7.2,11.012,18.212,1.39,-14.969,-3.201,11.049,-3.857,25.384,-3.16,-1.65,-7.824,-7.824,0,-12.634,0,0,8.88,8.88,-0.356,8.524,21.078,11.778
2013-06-30,8.979,6.624,5.646,12.27,-6.548,-11.855,9.298,12.61,15.972,37.221,-2.035,-0.006,-10.295,-10.295,0,-12.336,0,0,1.126,1.126,0.441,1.567,26.084,10.707
2013-03-31,12.24900,6.58700,-1.66400,4.92300,5.74700,-4.52000,4.95700,12.86400,20.93900,38.11100,-1.53400,-5.97900,-71.66500,-71.66500,,-79.17800,,,14.46400,14.46400,1.45300,15.91700,-25.59100,9.29900
