,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,471,202,55,257,253,0,521,774,1502,-103,-378,-1,-1,-5,-487,633,-600,33,-313,-313,-305,-489,-1074,692,84,-305
2022-09-30,552,169,72,241,233,0,357,590,1383,-128,-59,76,76,6,-105,-6,-344,-350,-476,-476,-298,654,-470,-29,89,-298
2022-06-30,978,168,142,310,-549,0,543,-6,1282,-117,12,-3,-3,9,-99,-4,119,115,-569,-569,-283,380,-357,207,89,-283
2022-03-31,1086.00000,180.00000,348.00000,528.00000,-429.00000,,-1887.00000,-2316.00000,-702.00000,-122.00000,-28.00000,-8.00000,-8.00000,-1.00000,-159.00000,-4.00000,825.00000,821.00000,-466.00000,-466.00000,-279.00000,779.00000,855.00000,-142.00000,105.00000,-279.00000
2021-12-31,807,178,-296,-118,34,0,719,753,1442,-138,-475,11,11,10,-592,239,0,239,-379,-379,-285,-745,-1170,-432,85,-285
2021-09-30,542,179,39,218,22,0,542,564,1324,-117,-31,4,4,-4,-148,-3,0,-3,-260,-260,-278,628,87,982,87,-278
2021-06-30,827,193,219,412,-222,0,141,-81,1158,-82,-269,-6,-6,0,-357,-505,0,-505,-282,-282,-254,1088,47,922,98,-254
2021-03-31,998.00000,197.00000,346.00000,543.00000,-404.00000,,-1545.00000,-1949.00000,-408.00000,-69.00000,,4.00000,4.00000,-2.00000,-67.00000,-4.00000,,-4.00000,-77.00000,-77.00000,-245.00000,65.00000,-261.00000,-772.00000,78.00000,-245.00000
2020-12-31,379,194,224,418,335,144,257,586,1383,-70,-83,5,5,1,-147,-2504,1000,-1504,34,34,-249,957,-762,942,71,-249
2020-09-30,320,185,181,366,466,-15,338,735,1421,-78,3,-1,-1,-6,-82,496,-1000,-504,32,32,-240,-72,-784,677,72,-240
2020-06-30,580,179,177,356,-76,11,232,280,1216,-82,-276,46,46,-7,-319,-1267,807,-460,22,22,-238,-43,-719,231,75,-238
2020-03-31,767.00000,183.00000,150.00000,333.00000,-313.00000,-140.00000,-1376.00000,-1738.00000,-638.00000,-118.00000,-193.00000,57.00000,57.00000,9.00000,-245.00000,1497.00000,193.00000,1690.00000,44.00000,44.00000,-250.00000,-144.00000,1340.00000,325.00000,72.00000,-250.00000
2019-12-31,396,167,190,357,-46,246,195,317,1070,-141,1275,-10,-10,-15,1109,-304,-325,-629,-159,-159,-233,1015,-6,2285,68,-233
2019-09-30,306,170,173,343,353,-155,89,401,1050,-121,60,-9,-9,-4,-74,-303,-224,-527,-176,-176,-236,-48,-987,-81,67,-236
2019-06-30,344,185,325,510,-128,-50,-69,-337,517,-87,-5195,84,84,-45,-5243,-1042,101,-941,-69,-69,-223,-269,-1502,-6182,60,-223
2019-03-31,727.00000,125.00000,64.00000,189.00000,-309.00000,79.00000,-1058.00000,-1192.00000,-276.00000,-72.00000,-140.00000,27.00000,27.00000,-2.00000,-187.00000,6459.00000,748.00000,7207.00000,77.00000,77.00000,-214.00000,-244.00000,6826.00000,6410.00000,57.00000,-214.00000
2018-12-31,159,123,293,416,132,26,403,534,1109,-92,-243,5,5,-7,-337,-254,-75,-329,21,21,-228,-27,-563,115,47,-228
2018-09-30,279,124,167,291,178,-33,222,336,906,-85,-391,2,2,1,-473,-4,-100,-104,-151,-151,-215,-45,-515,-85,47,-215
2018-06-30,536,122,51,173,-31,-105,247,68,777,-77,-119,-12,-12,-1,-209,-3,-74,-77,-234,-234,-199,-16,-526,-132,49,-199
2018-03-31,696.00000,125.00000,55.00000,180.00000,-357.00000,135.00000,-1079.00000,-1240.00000,-364.00000,-57.00000,-21.00000,9.00000,9.00000,-1.00000,-70.00000,589.00000,249.00000,838.00000,-218.00000,-218.00000,-195.00000,-131.00000,294.00000,-37.00000,50.00000,-195.00000
2017-12-31,30,125,377,502,-206,76,394,224,756,-81,-26,8,8,2,-97,-2,0,-2,-268,-268,-203,-9,-482,127,38,-203
2017-09-30,397,120,31,151,70,-41,185,246,794,-73,-217,-33,-33,2,-321,-57,-100,-157,-160,-160,-195,-31,-543,112,36,-195
2017-06-30,507,116,55,171,-172,-8,255,64,742,-79,-1,1,1,2,-77,-251,0,-251,-179,-179,-188,-63,-681,36,33,-188
2017-03-31,578.00000,120.00000,53.00000,173.00000,-146.00000,60.00000,-1120.00000,-1150.00000,-399.00000,-61.00000,-411.00000,11.00000,11.00000,,-461.00000,982.00000,100.00000,1082.00000,-127.00000,-127.00000,-176.00000,-82.00000,697.00000,-96.00000,42.00000,-176.00000
2016-12-31,441,108,56,164,8,84,284,290,895,-80,-725,6,6,1,-798,-3,50,47,-141,-141,-187,-3,-284,-362,25,-187
2016-09-30,384,109,-8,101,118,-5,255,398,883,-56,-11,0,0,-1,-68,-3,0,-3,-192,-192,-179,-33,-407,414,26,-179
2016-06-30,480,110,32,142,-105,-60,292,188,810,-63,-2,-2,-2,3,-64,-3,-252,-255,-171,-171,-170,-25,-621,56,27,-170
2016-03-31,490.00000,111.00000,59.00000,170.00000,-175.00000,36.00000,-1076.00000,-1241.00000,-581.00000,-50.00000,-75.00000,-2.00000,-2.00000,1.00000,-126.00000,344.00000,252.00000,596.00000,-108.00000,-108.00000,-167.00000,-76.00000,245.00000,-456.00000,31.00000,-167.00000
2015-12-31,381,111,-34,77,66,-29,358,441,899,-76,-450,-2,-2,6,-522,-52,0,-52,-30,-30,-177,-8,-267,44,21,-177
2015-09-30,331,108,125,233,156,-21,276,313,877,-72,-171,27,27,1,-215,593,-50,543,-518,-518,-168,-2,-145,400,21,-168
2015-06-30,429,103,27,130,-273,53,229,76,635,-85,-244,-3,-3,-2,-334,-2,50,48,-432,-432,-165,-9,-558,-174,22,-165
2015-03-31,495.00000,101.00000,108.00000,209.00000,-1.00000,-128.00000,-1068.00000,-1227.00000,-523.00000,-90.00000,-16.00000,-87.00000,-87.00000,-1.00000,-194.00000,491.00000,,491.00000,-196.00000,-196.00000,-152.00000,-79.00000,64.00000,-854.00000,24.00000,-152.00000
2014-12-31,299,99,152,251,124,98,232,428,978,-82,-138,-181,-181,-5,-406,-776,0,-776,-127,-127,-160,-35,-1098,-691,19,-160
2014-09-30,304,98,26,124,210,-46,293,455,883,-82,-33,-119,-119,-1,-235,476,0,476,-196,-196,-154,-5,121,644,23,-154
