,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-06-30,438,94,49,143,-242,-54,320,57,638,-103,-64,2,2,0,-165,593,-100,493,-206,-206,-150,-10,127,625,18,-150
2014-03-31,456.00000,97.00000,74.00000,171.00000,-150.00000,47.00000,-932.00000,-1007.00000,-380.00000,-98.00000,-319.00000,,,1.00000,-416.00000,-3.00000,100.00000,97.00000,-8.00000,-8.00000,-138.00000,-69.00000,-118.00000,-923.00000,33.00000,-138.00000
2013-12-31,307,92,97,189,-16,59,223,270,766,-110,-32,3,3,-8,-147,-276,0,-276,-52,-52,-150,-6,-484,129,29,-150
2013-09-30,259,89,93,182,54,20,237,297,738,-96,-17,8,8,0,-105,494,0,494,-102,-102,-141,-9,242,944,34,-141
2013-06-30,395,90,33,123,-163,-26,87,-88,430,-103,-90,-10,-10,1,-202,-3,0,-3,-79,-79,-141,-5,-228,-33,24,-141
2013-03-31,424.00000,87.00000,75.00000,162.00000,-120.00000,53.00000,-1151.00000,-1179.00000,-593.00000,-87.00000,2.00000,92.00000,92.00000,1.00000,8.00000,-202.00000,,-202.00000,35.00000,35.00000,-129.00000,-68.00000,-364.00000,-1038.00000,42.00000,-129.00000
2012-12-31,263,95,225,320,4,-2,31,-11,572,-69,-141,-6,-6,2,-214,-2,0,-2,47,47,-139,-15,-109,257,154,-139
2012-09-30,247,87,-22,65,45,10,278,372,684,-97,-24,34,34,2,-85,-3,0,-3,-24,-24,-128,-9,-164,540,3,-128
2012-06-30,337,84,-5,79,-92,-82,295,153,569,-98,-67,-3,-3,0,-168,-2,0,-2,-82,-82,-125,-6,-215,94,9,-125
2012-03-31,354.00000,83.00000,38.00000,121.00000,-101.00000,-136.00000,-758.00000,-978.00000,-503.00000,-50.00000,-60.00000,-5.00000,-5.00000,-1.00000,-116.00000,-4.00000,,-4.00000,77.00000,77.00000,-121.00000,-97.00000,-145.00000,-703.00000,11.00000,-121.00000
2011-12-31,260,82,118,200,21,18,222,250,710,-76,-104,-2,-2,-2,-184,-3,0,-3,39,39,-133,-19,-116,399,5,-133
2011-09-30,135,85,95,180,192,-58,247,350,665,-60,-21,31,31,-2,-52,-178,0,-178,-115,-115,-123,-4,-420,55,4,-123
2011-06-30,289,82,-25,57,102,80,115,360,706,-75,-9,33,33,-2,-53,-4,0,-4,-212,-212,-118,-9,-343,329,5,-118
2011-03-31,331.00000,83.00000,98.00000,181.00000,-172.00000,68.00000,-764.00000,-888.00000,-376.00000,-66.00000,-103.00000,,,1.00000,-168.00000,-2.00000,,-2.00000,89.00000,89.00000,-117.00000,-98.00000,-128.00000,-564.00000,7.00000,-117.00000
2010-12-31,206,83,72,155,32,-22,246,311,672,-75,-236,33,33,-4,-282,-2,0,-2,-73,-73,-119,-5,-199,199,4,-119
2010-09-30,171,84,-54,30,177,-496,-119,-423,-222,-55,1025,1,1,-1,970,-553,0,-553,10,10,-112,-11,-666,185,3,-112
2010-06-30,242,93,-145,-52,-352,399,287,333,523,-56,8,38,38,-1,-11,-2,0,-2,8,8,-112,-3,-109,343,5,-112
2010-03-31,252.00000,97.00000,183.00000,280.00000,-73.00000,64.00000,-737.00000,-783.00000,-251.00000,-79.00000,-87.00000,19.00000,19.00000,5.00000,-142.00000,-2.00000,,-2.00000,10.00000,10.00000,-109.00000,-55.00000,-156.00000,-610.00000,6.00000,-109.00000
2009-12-31,25,88,47,135,-127,123,78,75,235,-96,-66,36,36,4,-122,-2,0,-2,6,6,-109,-1,-106,-36,3,-109
2009-09-30,225,94,10,104,144,-14,208,312,641,-63,4,9,9,-4,-54,-2,0,-2,8,8,-115,-11,-120,522,4,-115
2009-06-30,-189,408,-37,371,-107,33,195,32,214,-71,66,2,2,5,2,-401,0,-401,9,9,-105,-1,-498,-123,4,-105
2009-03-31,180.00000,90.00000,56.00000,146.00000,9.00000,-18.00000,-786.00000,-776.00000,-450.00000,-68.00000,-2.00000,6.00000,6.00000,2.00000,-62.00000,395.00000,,395.00000,11.00000,11.00000,-102.00000,-44.00000,260.00000,-271.00000,,-102.00000
