,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,109.548,22.794,58.577,81.371,-14.056,0.532,107.916,100.831,291.75,-11.936,0,5.448,5.448,0,-0.088,-1.563,-1.563,-143.607,-143.607,-38.904,-184.074,131.288,64.355
2022-09-30,-963.068,1069.149,38.543,1107.692,0,0,61.94,61.94,206.564,-8.063,0,10.999,10.999,0,-3.464,-1.568,-1.568,-147.818,-147.818,-6.379,-155.765,31.116,52.905
2022-06-30,73.123,25.027,58.973,84,0,0,-31.369,-31.369,125.754,-7.983,0,-8.334,-8.334,0,-16.317,-1.617,-1.617,-60.104,-60.104,-32.641,-94.362,2.637,64.357
2022-03-31,86.10900,24.75400,39.61700,64.37100,,,-90.93600,-90.93600,59.54400,-9.21700,,-0.93800,-0.93800,,-10.15500,-1.60300,-1.60300,-59.17400,-59.17400,-11.50600,-72.28300,-23.95900,49.27100
2021-12-31,161.557,24.991,37.034,62.025,-19.256,-14.169,15.513,66.877,290.459,-12.848,-9.151,-2.971,-2.971,0,-23.108,-1.58,-1.58,-56.508,-56.508,-47.33,-105.418,160.794,49.863
2021-09-30,89.93,23.211,-13.28,9.931,0,0,-8.931,-8.931,90.93,-8.258,-1690.823,246.285,246.285,0,-1454.658,-2.444,-2.444,-51.597,-51.597,-13.102,-67.143,-1434.48,42.256
2021-06-30,98.254,12.985,17.196,30.181,0,0,-6.738,-6.738,121.697,-5.249,0,106.056,106.056,0,100.807,896,896,-175.893,-175.893,-55.419,664.688,890.204,27.44
2021-03-31,143.76600,13.08000,18.94400,32.02400,,,-27.32500,-27.32500,148.46500,-3.75200,,-177.25800,-177.25800,,-181.01000,-29.74000,-29.74000,3.93000,3.93000,-13.56800,-39.37800,-80.42100,20.35100
2020-12-31,148.538,13.101,29.362,42.463,-22.54,14.55,-85.978,52.666,243.667,-3.917,0,-49.105,-49.105,0,-53.022,-2.157,-2.157,-70.658,-70.658,-28.477,-101.292,99.125,17.45
2020-09-30,91.761,15.754,44.868,60.622,0,0,32.811,32.811,185.194,-1.821,0,20.732,20.732,0,18.911,436.02,436.02,-159.861,-159.861,-17.082,259.077,467.45,17.128
2020-06-30,96.425,14.171,41.171,55.342,0,0,68.664,68.664,220.431,-0.424,0,17.063,17.063,0,16.639,-2.361,-2.361,7.281,7.281,-10.745,-5.825,235.17,16.725
2020-03-31,12.52200,15.16300,31.92300,47.08600,,,-29.94400,-29.94400,29.66400,-1.82800,,7.92100,7.92100,,6.09300,-2.56600,-2.56600,-20.09600,-20.09600,-10.01600,-32.67800,-0.93900,13.81100
2019-12-31,31.291,17.277,9.322,26.599,-12.656,-0.953,-3.11,20.691,78.581,-3.212,0.944,-277.85,-277.85,0,-280.118,-2.656,-2.656,-21.338,-21.338,-4.587,-28.581,-228.476,13.339
2019-09-30,14.801,12.808,15.53,28.338,0,0,3.906,3.906,47.045,-5.613,-271.353,116.666,116.666,0,-160.3,571.118,571.118,-126.204,-126.204,-16.122,428.792,312.61,12.137
2019-06-30,18.223,9.81,14.264,24.074,0,0,7.539,7.539,49.836,-4.343,0,-21.608,-21.608,0,-25.951,-2.73,-2.73,1.91,1.91,-10.477,-11.297,13.485,10.837
2019-03-31,31.57900,10.14200,11.87900,22.02100,,,-22.14200,-22.14200,31.45800,-4.07300,,-17.93100,-17.93100,,-22.00400,-2.74500,-2.74500,-21.56200,-21.56200,-5.00000,-29.30700,-21.31100,8.08200
2018-12-31,41.251,8.817,0.958,9.775,17.215,13.364,-2.635,51.023,102.049,-6.611,0,-393.786,-34.604,0,-41.215,-3.656,-3.656,-42.306,-42.306,-11.034,-56.996,4.258,14.244
