,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-385,274,591,865,-125,-60,378,-64,366,846,-968,0,-2,-2,-103,-1073,435,100,535,0,0,-224,-155,156,-71,0,-224
2022-09-30,344,349,69,418,-58,-57,-57,79,-208,554,-641,0,-3,-3,-78,-722,144,0,144,0,0,-222,-9,-87,-255,0,-222
2022-06-30,192,335,-23,312,-16,-31,92,275,424,928,-627,0,-3,-3,-59,-689,-1800,-350,-2150,0,0,-223,2356,-17,222,0,-223
2022-03-31,288.00000,359.00000,-19.00000,340.00000,-93.00000,-13.00000,147.00000,-81.00000,-273.00000,355.00000,-520.00000,,-3.00000,-3.00000,-69.00000,-592.00000,-1084.00000,350.00000,-734.00000,,,-222.00000,-8.00000,-964.00000,-1201.00000,,-222.00000
2021-12-31,427,445,-385,60,84,-16,68,-40,220,707,-677,0,-3,-3,-68,-748,97,0,97,1000,1000,-213,-16,868,827,0,-213
2021-09-30,463,388,-260,128,-45,30,-78,177,166,757,-542,0,-2,-2,-93,-637,-25,-500,-525,0,0,-212,-11,-748,-628,0,-212
2021-06-30,58,377,301,678,-40,29,84,-45,78,814,-622,0,-4,-4,-49,-675,1025,-950,75,0,0,-212,-16,-153,-14,0,-212
2021-03-31,335.00000,454.00000,-132.00000,322.00000,161.00000,14.00000,43.00000,-93.00000,-124.00000,533.00000,-604.00000,,-2.00000,-2.00000,107.00000,-499.00000,471.00000,-750.00000,-279.00000,,,-212.00000,-18.00000,-509.00000,-475.00000,,-212.00000
2020-12-31,242,395,-103,292,-96,-9,-66,120,38,572,-678,0,-4,-4,-55,-737,-4,1900,1896,0,0,-211,-15,1670,1505,0,-211
2020-09-30,454,202,44,246,-108,-5,11,75,1,701,-687,0,-4,-4,-74,-765,222,185,407,0,0,-212,0,195,131,0,-212
2020-06-30,309,307,11,318,24,-18,-17,-50,83,710,-676,0,-9,-9,-62,-747,871,-635,236,0,0,-211,-8,17,-20,0,-211
2020-03-31,74.00000,295.00000,-749.00000,-454.00000,51.00000,,-66.00000,-96.00000,-180.00000,-560.00000,-616.00000,,-5.00000,-5.00000,-38.00000,-659.00000,1222.00000,-250.00000,972.00000,,,-211.00000,-36.00000,725.00000,-494.00000,,-211.00000
2019-12-31,-111,148,548,696,43,-23,53,-32,145,730,-753,0,-8,-8,-31,-792,195,0,195,0,0,-205,1,-9,-71,0,-205
2019-09-30,391,367,38,405,11,15,81,120,316,1112,-684,0,-10,-10,-51,-745,123,0,123,0,0,-206,-8,-91,276,0,-206
2019-06-30,312,357,72,429,125,-29,-40,54,66,807,-674,0,-11,-11,-21,-706,421,-50,371,0,0,-205,-3,163,264,0,-202
2019-03-31,320.00000,345.00000,-424.00000,-79.00000,92.00000,,-143.00000,-181.00000,-423.00000,-182.00000,-554.00000,,-9.00000,-9.00000,-67.00000,-630.00000,772.00000,50.00000,822.00000,,,-204.00000,-25.00000,593.00000,-219.00000,,-201.00000
2018-12-31,138,381,155,536,6,-19,-16,51,178,852,-727,0,-10,-10,-44,-781,609,-450,159,0,0,-193,-95,-129,-58,0,-184
