,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,43,856,-129,727,-56,89,-6,-97,673,-221,8,36,36,4,-173,-404,596,192,-393,-393,-485,20,-666,-163,20,-485
2022-09-30,682,134,76,210,20,-90,-29,77,969,-128,-727,-93,-93,2,-946,1497,-1044,453,58,58,-392,-20,99,80,60,-392
2022-06-30,639,138,-1,137,6,-117,2,-248,528,-178,-90,-69,-69,-4,-341,9,575,584,-316,-316,-436,-13,-181,-19,16,-436
2022-03-31,603.00000,138.00000,103.00000,241.00000,-197.00000,-215.00000,-18.00000,-458.00000,386.00000,-122.00000,,-22.00000,-22.00000,3.00000,-141.00000,5.00000,413.00000,418.00000,-239.00000,-239.00000,-378.00000,-5.00000,-204.00000,45.00000,29.00000,-378.00000
2021-12-31,188,713,40,753,114,-35,-35,165,1106,-193,0,63,63,0,-130,-5,-376,-381,-214,-214,-496,-15,-1106,-126,28,-496
2021-09-30,681,140,39,179,-10,2,-5,134,994,-137,0,-29,-29,-7,-173,-24,-246,-270,-120,-120,-387,-7,-784,21,49,-387
2021-06-30,741,137,-53,84,-18,1,-2,-198,627,-130,0,-5,-5,-12,-147,0,86,86,-220,-220,-420,4,-550,-58,20,-420
2021-03-31,728.00000,137.00000,31.00000,168.00000,-170.00000,-40.00000,-13.00000,-298.00000,598.00000,-107.00000,,-29.00000,-29.00000,-6.00000,-142.00000,25.00000,365.00000,390.00000,-342.00000,-342.00000,-376.00000,-6.00000,-334.00000,107.00000,38.00000,-376.00000
2020-12-31,692,139,44,183,76,-37,-3,88,963,-161,-1,48,48,3,-111,-1078,1284,206,-664,-664,-492,-1,-951,-101,22,-492
2020-09-30,745,134,45,179,-59,-38,14,38,962,-90,0,-61,-61,0,-151,-7,-303,-310,-63,-63,-378,-76,-827,-8,53,-378
2020-06-30,675,133,-37,96,332,-205,1,255,1026,-77,-1,20,20,0,-58,0,-510,-510,48,48,-411,40,-833,143,16,-411
2020-03-31,748.00000,133.00000,-113.00000,20.00000,-211.00000,29.00000,-38.00000,,768.00000,-82.00000,-351.00000,-26.00000,-26.00000,,-459.00000,,17.00000,17.00000,77.00000,77.00000,-373.00000,-29.00000,-308.00000,-29.00000,16.00000,-373.00000
2019-12-31,682,133,-38,95,84,-8,29,193,970,-109,0,85,85,0,-24,-687,296,-391,-170,-170,-474,15,-1020,-65,17,-474
2019-09-30,627,130,54,184,113,-6,34,103,914,-80,-1711,-72,-72,0,-1863,1561,0,1561,-137,-137,-370,0,1054,85,49,-370
2019-06-30,618,128,33,161,-33,-31,-13,-135,644,-75,0,-39,-39,0,-114,-39,0,-39,-69,-69,-404,0,-512,20,17,-404
2019-03-31,600.00000,128.00000,-27.00000,101.00000,-145.00000,-32.00000,37.00000,-96.00000,605.00000,-71.00000,,-27.00000,-27.00000,,-98.00000,302.00000,,302.00000,-328.00000,-328.00000,-366.00000,,-392.00000,117.00000,17.00000,-366.00000
2018-12-31,643,126,-26,100,117,-22,19,119,862,-115,0,118,118,1,4,-783,546,-237,-272,-272,-469,0,-978,-115,12,-469
2018-09-30,562,127,133,260,4,-6,-32,75,897,-105,-1,-54,-54,-1,-161,-255,0,-255,-101,-101,-366,0,-722,8,50,-366
2018-06-30,675,129,19,148,11,3,-27,-142,681,-98,0,-39,-39,5,-132,166,0,166,-304,-304,-404,0,-542,-18,19,-404
