,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,580.3,248.2,100,348.2,-41.8,-134.6,418.6,349.4,1277.9,-141.3,0,0,-22.8,-22.8,0,-164.1,-719.3002,-719.3002,-213,-213,-180.3,-17.1,-1129.7,-15.9,44,-180.3
2022-09-30,546.2,256,97.9,353.9,11.8,-125.2,32.2,-106.9,793.2,-110.3,0,0,-20.5,-20.5,0,-130.8,-325.0998,-325.0998,-222.8,-222.8,-166.1,-20.7,-734.7,-72.3,41.3,-166.1
2022-06-30,507.20000,263.50000,121.90000,385.40000,-72.40000,-65.00000,-42.80000,-52.20000,840.40000,-121.50000,,,-32.30000,-32.30000,,-153.80000,-272.70000,-272.70000,-181.80000,-181.80000,-153.00000,-19.40000,-626.90000,59.70000,41.20000,-153.00000
2022-03-31,437.9,305.5,61.7,367.2,-142.5,-72.8,49.1,-57.4,747.7,-112.7,0,0,-30,-30,0,-142.7,-206.1,-206.1,-236.2,-236.2,-140.8,-18,-601.1,3.9,47,-140.8
2021-12-31,352.8,314.1,78.7,392.8001,55.5,-55.2,-8.8,107.8,853.4,-90.7,0,0,-35.6,-35.6,0,-126.3,-362.9,-362.9,-152.3,-152.3,-128.7,-23,-666.9,60.2,50.9,-128.7
2021-09-30,242,292,104.8,396.7999,15.1,-30.6,11.6,-27.1,611.7,-66.3,0,0,-29.7,-29.7,0,-96,-415.8,-415.8,21.2,21.2,-121.2,-24.3,-540.1,-24.4,55.7,-121.2
2021-06-30,252.80000,288.30000,77.90000,366.20000,-3.00000,-19.20000,27.50000,10.90000,629.90000,-86.30000,,,-26.40000,-26.40000,,-112.70000,-391.20000,-391.20000,12.20000,12.20000,-113.10000,-27.40000,-519.50000,-2.30000,56.60000,-113.10000
2021-03-31,116,305.3,78.4,383.7,-103.9,0.9,6.6,-50.5,449.2,-47.3,0,0,-15.9,-15.9,0,-63.2,-369.201,-369.201,20.1,20.1,-106.6,-21,-476.7,-90.7,55,-106.6
2020-12-31,36.2,305.5,158.5,464,9.9,-3.9,-41.9,9.5,509.7,-21.4,0,0,-30.1,-30.1,0,-51.5,-302.0001,-302.0001,10.6,10.6,-96,-68.4,-455.8,2.4,51.2,-96
2020-09-30,73.6,307.8,96.5,404.3,-9.4,-3.5,17.2,-22.1,455.8,-6.1,0,0,-35.4,-35.4,-0.2,-41.7,-331.2998,-331.2998,18.6,18.6,-95.3,-16,-424,-9.9,49.7,-95.3
2020-06-30,123.60000,322.90000,19.20000,342.10000,39.70000,24.90000,1.40000,36.10000,501.80000,-9.50000,,,-7.60000,-7.60000,0.20000,-16.90000,-412.10010,-412.10010,11.00000,11.00000,-90.40000,-16.20000,-507.70000,-22.80000,42.40000,-90.40000
2020-03-31,99.9,346,-44.4,301.6,-126.5,23.2,-9.2,-29.8,371.7,-9.2,0,4.7,-31,-26.3,0,-35.5,-239.3,-239.3,20,20,-88,-25,-332.3,3.9,40.7,-88
2019-12-31,311.1,335,-246.7,88.3,41.1,25.8,-3,-3.9,395.5,-14.1,0,0,-28.9,-28.9,0,-43,-257.2,-257.2,11.3,11.3,-87.7,-23.6,-357.2,-4.7,43.5,-87.7
2019-09-30,108.9,332.2,-48.8,283.4,88.3,0.3,-15.3,3.7,396,-17.2,0,0,-11,-11,-0.2,-28.4,-315.7,-315.7,20.2,20.2,-87.3,-17,-399.8,-32.2,45.3,-87.3
