,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-05-31,266.74400,51.50600,119.77000,171.27600,5.97100,-31.68800,-450.98800,-394.81900,43.20100,-78.96800,,-7.14300,-7.14300,,-86.11100,263.46730,-0.45800,263.00930,-178.71000,-178.71000,-3.41600,80.88300,37.97300,45.02500
2019-02-28,192.556,46.638,64.85,111.488,-28.694,-94.755,-196.3781,-255.7031,48.341,-61.313,0,-0.203,-0.203,0,-61.516,311.2522,0.693,311.9452,-268.006,-268.006,-4.734,39.204,26.029,13.608
2018-11-30,190.311,45.298,65.378,110.676,-6.273,-67.345,-188.2209,-297.2419,3.745,-72.085,0,0.036,0.036,0,-72.049,290.2178,-2.86,287.3578,-244.745,-244.745,-4.14,38.473,-29.831,7.169
2018-08-31,220.89,44.968,82.664,127.632,-3.532,-97.326,-343.538,-468.486,-119.964,-91.146,0,0.615,0.615,0,-90.531,321.896,2.931,324.827,-131.847,-131.847,-4.542,188.438,-22.057,25.236
2018-05-31,238.65600,45.34300,85.02900,130.37200,31.97000,130.66500,-382.54300,-138.17900,230.84900,-79.40000,,-5.01700,-5.01700,,-84.41700,125.31300,0.23800,125.55100,-201.99800,-201.99800,-3.64700,-80.09400,66.33800,28.99800
2018-02-28,122.146,46.767,126.722,173.489,-37.48,49.857,-243.099,-183.063,112.572,-69.256,0,1.002,1.002,0,-68.254,107.792,-0.466,107.326,-117.639,-117.639,-4.737,-15.049,29.269,9.516
2017-11-30,148.84,45.097,81.98,127.077,3.892,-208.782,-268.934,-550.136,-274.219,-72.449,0,-5.172,-5.172,0,-77.621,408.2973,0.322,408.6193,-67.531,-67.531,-3.901,337.187,-14.653,15.778
2017-08-31,181.424,44.184,64.001,108.185,5.012,-83.522,-335.761,-400.005,-110.396,-75.598,0,-0.157,-0.157,0,-75.755,316.0052,-0.422,315.5832,-140.103,-140.103,-4.703,170.777,-15.374,17.859
2017-05-31,211.70200,43.89400,71.82100,115.71500,47.64300,112.31600,-348.55600,-135.92400,191.49300,-79.41600,,-0.81700,-0.81700,,-80.23300,103.59690,0.63100,104.22790,-180.77700,-180.77700,-2.92000,-79.46900,31.79100,18.72600
2017-02-28,152.603,43.221,83.229,126.45,-60.385,-90.388,-320.284,-398.318,-119.265,-102.1,0,3.562,3.562,16.791,-81.747,341.367,-0.818,340.549,-74.67,-74.67,-4.55,261.329,60.317,19.569
