,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2690,63,-517,-454,-16,-74,119,309,2619,-58,1000,0,0,0,55,997,0,0,0,-374,-374,-1691,0,-2065,1551,-1691
2022-09-30,224,54,1869,1923,-9,38,20,869,3076,-64,0,0,0,0,-1,-65,-1105,0,-1105,-368,-368,-1629,-1,-3103,-92,-1629
2022-06-30,891,57,1304,1361,3,70,12,-2831,-514,-38,0,0,0,0,-78,-116,0,0,0,-507,-507,-1634,0,-2141,-2771,-1634
2022-03-31,1959.00000,52.00000,-19.00000,33.00000,1.00000,-20.00000,-59.00000,1067.00000,3075.00000,-45.00000,,,,,11.00000,-34.00000,,,,-576.00000,-576.00000,-1645.00000,-11.00000,-2232.00000,809.00000,-1645.00000
2021-12-31,1624,54,179,233,-11,-61,160,761,2663,-67,0,1176,0,0,145,1254,0,0,0,-703,-703,-1659,1,-2361,1556,-1659
2021-09-30,-2720,62,4735,4797,-12,-54,116,930,3063,-49,0,0,0,0,16,-33,0,0,0,-322,-322,-1591,-6,-1919,1111,-1591
2021-06-30,2150,65,102,167,10,154,-15,-2667,-361,-27,0,0,0,0,47,20,-1500,0,-1500,-325,-325,-1595,-157,-3577,-3918,-1595
2021-03-31,1421.00000,63.00000,518.00000,581.00000,-5.00000,18.00000,-98.00000,979.00000,3040.00000,-26.00000,,,,,-3.00000,-29.00000,430.00000,,430.00000,-325.00000,-325.00000,-1601.00000,-676.00000,-2172.00000,839.00000,-1601.00000
2020-12-31,1922,65,-341,-276,19,-134,29,732,2541,-69,0,0,0,0,33,-36,0,0,0,0,0,-1600,-83,-1683,822,-1600
2020-09-30,-956,62,3068,3130,-11,49,71,-1337,898,-56,0,0,0,0,12,-44,0,0,0,0,0,-1564,0,-1564,-710,-1564
2020-06-30,1938,65,4,69,7,92,-2,-248,1817,-54,0,0,0,0,43,-11,1993,-3000,-1007,0,0,-1563,-6,-2576,-770,-1563
