,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-03-31,1550.00000,65.00000,-18.00000,47.00000,5.00000,-5.00000,-45.00000,1102.00000,3129.00000,-52.00000,,,,,,-52.00000,-1000.00000,3000.00000,2000.00000,,,-1563.00000,-10.00000,427.00000,3504.00000,-1563.00000
2019-12-31,-1814,63,3715,3778,13,-105,78,523,2563,-86,0,0,-36,-36,136,14,0,0,0,-499,-499,-1571,8,-2062,515,-1571
2019-09-30,-2602,57,4501,4558,0,51,18,785,2882,-81,0,-421,-31,-31,97,-436,-1144,0,-1144,0,0,-1497,4,-2637,-191,-1497
2019-06-30,1997,53,21,74,-5,121,14,-2002,103,-41,0,0,-1,-1,16,-26,0,0,0,-195,-195,-1499,-2,-1696,-1619,-1499
2019-03-31,1121.00000,53.00000,273.00000,326.00000,-16.00000,-25.00000,-189.00000,641.00000,2289.00000,-38.00000,,,-1831.00000,-1831.00000,-81.00000,-1950.00000,16265.00000,-12800.00000,3465.00000,-151.00000,-151.00000,-1502.00000,-129.00000,1683.00000,2022.00000,-1502.00000
2018-12-31,1251,59,139,198,45,-276,106,306,1825,-106,0,0,-12800,-12800,55,-12851,-864,12800,11936,-356,-356,-1506,-107,9967,-1059,-1506
2018-09-30,1944,64,-71,-7,-43,42,79,847,2716,-60,0,-15,0,0,19,-56,0,0,0,-367,-367,-1324,0,-1691,969,-1324
2018-06-30,1877,51,244,295,-11,135,6,-1165,1041,-38,0,0,0,0,-2,-40,0,0,0,-437,-437,-1328,-2,-1767,-766,-1328
2018-03-31,1895.00000,53.00000,-269.00000,-216.00000,9.00000,-30.00000,-164.00000,1087.00000,2809.00000,-34.00000,,,,,-7.00000,-41.00000,,,,-513.00000,-513.00000,-1257.00000,-23.00000,-1793.00000,975.00000,-1257.00000
2017-12-31,4968,54,-2956,-2902,6,-238,99,-1269,757,-48,0,-415,-133,-133,331,-265,0,0,0,-558,-558,-1263,0,-1821,-1329,-1263
2017-09-30,1867,51,-506,-455,-29,12,79,722,2199,-60,0,0,88,88,16,44,0,0,0,-759,-759,-1175,0,-1934,309,-1175
2017-06-30,1990,52,-93,-41,15,123,-44,-2587,-730,-58,0,0,43,43,-1,-16,0,0,0,-1049,-1049,-1182,-9,-2240,-2986,-1182
2017-03-31,1402.00000,52.00000,-85.00000,-33.00000,18.00000,-68.00000,-189.00000,1280.00000,2675.00000,-33.00000,,,2.00000,2.00000,-199.00000,-230.00000,,,,-551.00000,-551.00000,-1187.00000,-38.00000,-1776.00000,669.00000,-1187.00000
2016-12-31,10278,55,-10360,-10305,-6,-88,126,339,296,-61,0,3150,534,534,50,3673,0,0,0,-518,-518,-1191,16,-1693,2276,-1191
2016-09-30,1094,51,1574,1625,-24,-18,101,-295,2442,-51,0,0,207,207,-58,98,1043,0,1043,-171,-171,-1106,-827,-1061,1479,-1106
2016-06-30,1654,49,-1650,-1601,-17,151,-15,-1767,-1630,-51,0,0,-56,-56,10,-97,0,0,0,-173,-173,-1107,11,-1269,-2996,-1107
2016-03-31,1218.00000,49.00000,-41.00000,8.00000,20.00000,-79.00000,-188.00000,1453.00000,2718.00000,-26.00000,,,56.00000,56.00000,4.00000,34.00000,,,,-168.00000,-168.00000,-1108.00000,-30.00000,-1306.00000,1446.00000,-1108.00000
2015-12-31,1248,75,-196,-121,-6,-92,128,560,1753,-67,0,0,-33,-33,-10,-110,0,0,0,-36,-36,-1108,-37,-1181,462,-1108
2015-09-30,1528,50,167,217,-10,-46,52,1101,2843,-63,0,0,255,255,-184,8,-1000,0,-1000,-63,-63,-1021,17,-2067,784,-1021
2015-06-30,1449,51,-129,-78,-6,167,12,-2675,-1251,-51,0,0,-147,-147,186,-12,0,0,0,-263,-263,-1024,-1,-1288,-2551,-1024
2015-03-31,1018.00000,49.00000,74.00000,123.00000,25.00000,-62.00000,-166.00000,1272.00000,2498.00000,-48.00000,,,147.00000,147.00000,,99.00000,-793.00000,,-793.00000,-192.00000,-192.00000,-1026.00000,-233.00000,-2244.00000,353.00000,-1026.00000
2014-12-31,1236,59,-198,-139,-18,-164,59,435,1603,-47,0,-9,369,369,-196,117,699,0,699,-260,-260,-1028,-51,-640,1080,-1028
2014-09-30,1397,49,-1,48,-2,-58,57,782,2301,-56,0,0,-189,-189,203,-42,0,0,0,-275,-275,-952,16,-1211,1048,-952
2014-06-30,1262,50,-208,-158,10,129,-12,-2499,-1366,-33,0,-93,91,91,61,26,0,0,0,-132,-132,-955,0,-1087,-2427,-955
2014-03-31,1175.00000,50.00000,-231.00000,-181.00000,2.00000,-91.00000,-109.00000,1088.00000,2125.00000,-27.00000,,,98.00000,98.00000,5.00000,76.00000,-525.00000,,-525.00000,-272.00000,-272.00000,-957.00000,-2.00000,-1756.00000,445.00000,-957.00000
2013-12-31,488,54,1000,1054,-23,-161,63,-57,1516,-41,0,0,157,157,1,117,-376,0,-376,-252,-252,-960,-1081,-2669,-1036,-960
2013-09-30,1396,52,-66,-14,22,-17,72,1112,2418,-49,0,0,285,285,10,246,0,0,0,-156,-156,-883,15,-1024,1640,-883
2013-06-30,1266,52,-154,-102,-2,115,7,-2379,-1223,-26,0,0,274,274,-197,51,996,0,996,-135,-135,-883,-10,-32,-1204,-883
2013-03-31,1385.00000,54.00000,-550.00000,-496.00000,81.00000,-70.00000,-218.00000,766.00000,1664.00000,-15.00000,,,,,203.00000,188.00000,,,,-91.00000,-91.00000,-886.00000,,-977.00000,875.00000,-886.00000
2012-12-31,1105,56,50,106,0,-122,25,522,1765,-47,0,0,1049,1049,-810,192,0,0,0,-487,-487,-892,136,-1243,714,-892
2012-09-30,657,56,851,907,200,60,26,720,2205,-38,0,0,0,0,256,218,187,0,187,-235,-235,-834,-883,-1765,658,-834
2012-06-30,1226,57,-1509,-1452,-11,146,4,-1717,-1922,-23,0,0,0,0,246,223,0,0,0,-94,-94,-836,1,-929,-2628,-836
2012-03-31,1195.00000,56.00000,-1090.00000,-1034.00000,13.00000,-51.00000,-68.00000,1669.00000,1837.00000,-16.00000,,,,,303.00000,287.00000,,,,-266.00000,-266.00000,-838.00000,-134.00000,-1238.00000,886.00000,-838.00000
2011-12-31,837,69,-189,-120,-10,-154,14,418,1017,-30,0,0,0,0,243,213,0,0,0,-327,-327,-843,167,-1003,227,-843
2011-09-30,1174,63,-99,-36,3,48,-12,952,2085,-35,0,0,0,0,119,84,0,0,0,-425,-425,-790,25,-1190,979,-790
2011-06-30,444,61,37,98,-7,151,-28,-2552,-1583,-27,0,0,0,0,125,98,1494,0,1494,-567,-567,-795,-15,117,-1368,-795
2011-03-31,938.00000,60.00000,-384.00000,-324.00000,-5.00000,-21.00000,-66.00000,1241.00000,2062.00000,-13.00000,,,,,5.00000,-8.00000,,,,21.00000,21.00000,-794.00000,-163.00000,-936.00000,1118.00000,-794.00000
2010-12-31,920,68,417,485,-4,-185,42,-345,1045,-52,0,0,0,0,228,176,0,0,0,15,15,-793,171,-607,614,-793
2010-09-30,1131,71,-1258,-1187,3,32,47,1560,1431,-47,0,0,0,0,109,62,210,-200,10,50,50,-730,23,-647,846,-730
2010-06-30,1043,68,-74,-6,74,163,-33,-2692,-1750,-31,0,0,0,0,35,4,22,0,22,18,18,-729,-1,-690,-2436,-729
2010-03-31,813.00000,69.00000,-269.00000,-200.00000,-58.00000,-3.00000,-8.00000,1173.00000,2041.00000,-38.00000,,,,,55.00000,17.00000,,200.00000,200.00000,21.00000,21.00000,-706.00000,-154.00000,-639.00000,1419.00000,-706.00000
2009-12-31,726,73,103,176,-8,-48,15,675,1436,-101,0,0,0,0,42,-59,0,0,0,32,32,-706,138,-536,841,-706
2009-09-30,882,71,61,132,12,115,18,977,1872,-60,0,0,0,0,215,155,-500,-393,-893,6,6,-663,9,-1541,486,-663
2009-06-30,1011,69,-40,29,-29,152,-52,-2912,-1908,-69,0,0,-9,-9,99,21,-375,-442,-817,40,40,-663,13,-1427,-3314,-663
2009-03-31,589.00000,78.00000,-278.00000,-200.00000,18.00000,-168.00000,-6.00000,1281.00000,2043.00000,-43.00000,,-10244.00000,,,406.00000,-9881.00000,4221.00000,630.00000,4851.00000,11.00000,11.00000,-661.00000,-421.00000,3780.00000,-4058.00000,-661.00000
