,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-661,3287,979,4266,3336,-393,456,793,4098,7703,-5699,0,0,1623,-429,1194,1074,-3431,-1455,3945,2490,1911,1911,-1509,-549,2343,6615,736,-1509
2022-09-30,1019,3252,1540,4792,-1406,-657,-602,-359,-4781,1030,-7299,0,0,3567,105,3672,-947,-4574,4661,0,4661,383,383,-1502,141,3683,139,793,-1502
2022-06-30,-454,3148,1092,4240,1013,-239,245,-444,-2977,809,-7255,0,35,8494,93,8587,-1199,168,-1688,0,-1688,0,0,-1499,385,-2802,-1825,892,-1499
2022-03-31,8113.00000,3348.00000,-4722.00000,-1374.00000,2384.00000,-1147.00000,-128.00000,-1292.00000,-848.00000,5891.00000,-4797.00000,,6544.00000,-8601.00000,4682.00000,-3919.00000,-468.00000,-2640.00000,-299.00000,,-299.00000,589.00000,589.00000,-1487.00000,-666.00000,-1863.00000,1388.00000,707.00000,-1487.00000
2021-12-31,4623,3074,133,3207,-1056,-1127,95,-999,-2427,5403,-7632,0,0,2801,-476,2325,401,-4906,-2000,0,-2000,4,4,-1413,-131,-3540,-3043,449,-1413
2021-09-30,6823,2959,27,2986,-940,-1086,670,1315,95,9904,-4441,0,0,-6481,295,-6186,-2,-10629,4974,0,4974,427,427,-1410,-142,3849,3124,543,-1410
2021-06-30,5061,2857,709,3566,-252,-306,122,432,174,8801,-3868,0,0,-3010,63,-2947,-98,-6913,-500,0,-500,-90,-90,-1410,-334,-2334,-446,619,-1410
2021-03-31,3361.00000,2902.00000,2335.00000,5237.00000,-426.00000,180.00000,303.00000,-2407.00000,-3250.00000,5348.00000,-4388.00000,,,1435.00000,86.00000,1521.00000,866.00000,-2001.00000,,,,-1736.00000,-1736.00000,-1411.00000,-873.00000,-4020.00000,-673.00000,425.00000,-1411.00000
2020-12-31,5857,3003,-1169,1834,358,-117,50,344,2679,10370,-4061,0,123,-3564,1476,-2088,-386,-6412,0,0,0,0,0,-1353,-96,-1449,2509,461,-1353
2020-09-30,4276,3123,414,3537,301,-299,147,471,366,8179,-3716,0,0,-821,3272,2451,499,-766,-1750,0,-1750,-9615,-9615,-1404,-24,-12793,-5380,452,-1404
2020-06-30,5105,3063,275,3338,1020,277,91,296,2714,11157,-3408,0,0,-2459,-4670,-7129,-73,-10610,-1700,0,-1700,9,9,-1403,-97,-3191,-2644,492,-1403
2020-03-31,5661.00000,3050.00000,745.00000,3795.00000,-796.00000,-548.00000,117.00000,-1219.00000,-3298.00000,6158.00000,-3268.00000,,,-237.00000,112.00000,-125.00000,-343.00000,-3736.00000,9172.00000,,9172.00000,-3726.00000,-3726.00000,-1408.00000,726.00000,4764.00000,7186.00000,449.00000,-1408.00000
2019-12-31,6905,2968,311,3279,-779,-105,-32,65,-296,9888,-4666,0,-1958,-1682,1620,-62,2201,-4485,1593,-1632,-39,-2726,-2726,-1362,-1017,-5144,259,415,-1362
2019-09-30,5990,2679,136,2815,-646,67,297,1091,1906,10711,-4672,0,0,388,863,1251,-489,-3910,-396,636,240,-4826,-4826,-1386,239,-5733,1068,431,-1386
2019-06-30,4179,2554,644,3198,725,-931,235,28,210,7587,-3554,0,0,-1323,1436,113,153,-3288,294,-686,-392,-3034,-3034,-1414,254,-4586,-287,470,-1414
2019-03-31,3974.00000,2625.00000,115.00000,2740.00000,-235.00000,-512.00000,196.00000,-24.00000,-1755.00000,4959.00000,-3321.00000,,,633.00000,205.00000,838.00000,-239.00000,-2722.00000,-726.00000,1682.00000,956.00000,-2240.00000,-2240.00000,-1414.00000,596.00000,-2102.00000,135.00000,389.00000,-1414.00000
2018-12-31,5195,2493,330,2823,-1265,148,-219,221,-1118,6900,-3890,0,358,-1013,2557,1544,168,-1820,-1098,-1707,-2805,-2256,-2256,-1368,961,-5468,-388,343,-1368
2018-09-30,6398,2274,455,2729,-818,-59,156,270,-292,8835,-3851,0,0,2431,-1666,765,-349,-3435,-336,-284,-620,-2432,-2432,-1373,-182,-4607,793,383,-1373
2018-06-30,5006,2122,629,2751,267,-207,201,400,-344,7413,-4530,0,0,1935,1053,2988,349,-1193,-842,-151,-993,-3862,-3862,-1400,-905,-7160,-940,387,-1400
2018-03-31,4454.00000,2196.00000,-210.00000,1986.00000,102.00000,-96.00000,73.00000,777.00000,-156.00000,6284.00000,-2910.00000,,,-745.00000,-696.00000,-1441.00000,-440.00000,-4791.00000,-327.00000,2142.00000,1815.00000,-1625.00000,-1625.00000,-1400.00000,-162.00000,-1372.00000,121.00000,433.00000,-1400.00000
2017-12-31,-687,2140,-1474,666,347,-55,20,478,7262,7241,-4069,0,0,-1545,723,-822,-339,-5230,-6578,5,-6573,129,129,-1278,69,-7653,-5642,307,-1278
2017-09-30,4516,2055,-942,1113,-510,-485,-254,728,635,6264,-2979,0,-12299,7486,552,8038,924,-6316,-364,7,-357,-862,-862,-1278,-63,-2560,-2612,326,-1278
2017-06-30,2808,1988,365,2353,-513,-528,237,39,-454,4707,-2778,0,924,-2850,3175,325,91,-1438,6578,-447,6131,-1199,-1199,-1287,-161,3484,6753,328,-1287
2017-03-31,2964.00000,1946.00000,439.00000,2385.00000,-105.00000,-232.00000,188.00000,-452.00000,-1451.00000,3898.00000,-1952.00000,,,866.00000,-1746.00000,-880.00000,54.00000,-2778.00000,,435.00000,435.00000,-913.00000,-913.00000,-1229.00000,-39.00000,-1746.00000,-626.00000,397.00000,-1229.00000
2016-12-31,3562,1930,-1051,879,165,237,-6,727,3709,8150,-3530,0,-319,1473,-1243,230,175,-3444,-1500,-441,-1941,-449,-449,-1233,-275,-3898,808,308,-1233
2016-09-30,3378,1928,449,2377,-834,-14,-187,213,3,5758,-2463,0,-532,2341,-2391,-50,362,-2683,0,-990,-990,40,40,-1231,-27,-2208,867,324,-1231
2016-06-30,1330,1917,1488,3405,-208,-47,-59,352,-890,3845,-2286,0,-50,537,-2452,-1915,81,-4170,2734,460,3194,-620,-620,-1233,-192,1149,824,364,-1233
2016-03-31,2046.00000,2015.00000,383.00000,2398.00000,942.00000,-57.00000,434.00000,-898.00000,-389.00000,4055.00000,-1346.00000,0.00000,-14569.00000,-36.00000,-219.00000,-255.00000,650.00000,-15520.00000,,956.00000,956.00000,-450.00000,-450.00000,-1228.00000,-60.00000,-782.00000,-12247.00000,448.00000,-1228.00000
2015-12-31,3613,2146,227,2373,-687,-124,-226,361,-558,5428,-2328,0,-375,3380,166,3546,1885,2728,1490,473,1963,-355,-355,-1133,-387,88,8243,296,-1133
2015-09-30,3109,2275,-211,2064,-241,-151,218,-184,562,5735,-1206,0,-14,668,-6642,-5974,-1973,-9167,7986,19,8005,-807,-807,-1140,-15,6043,2611,309,-1140
2015-06-30,2706,2191,-138,2053,-594,-352,-233,-215,-1319,3440,-1767,0,-467,2005,-1330,675,264,-1295,0,-6,-6,-564,-564,-1146,-229,-1945,210,332,-1146
