,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1638,569,-94,475,161,53,14,62,2292,-908,0,0,0,-4,-912,-106,-2,-108,-785,-785,-797,13,-1677,-297,-797
2022-09-30,1895,563,87,650,0,-4,30,399,2903,-993,0,0,0,-26,-1019,1469,-52,1417,-2024,-2024,-806,-1,-1414,470,-806
2022-06-30,1835,559,33,592,-94,-64,4,-487,1931,-709,0,0,0,5,-704,-198,-51,-249,-730,-730,-813,449,-1343,-116,-813
2022-03-31,1630.00000,555.00000,60.00000,615.00000,-236.00000,-105.00000,-43.00000,34.00000,2236.00000,-816.00000,,,,-20.00000,-836.00000,2624.00000,-100.00000,2524.00000,-2743.00000,-2743.00000,-743.00000,-491.00000,-1453.00000,-53.00000,-743.00000
2021-12-31,1711,556,-133,423,-43,43,12,286,2529,-933,0,0,0,16,-917,121,200,321,-1445,-1445,-755,12,-1867,-255,-755
2021-09-30,1673,553,61,614,-13,24,22,-64,2284,-736,0,0,0,15,-721,574,0,574,-1761,-1761,-695,398,-1484,79,-695
2021-06-30,1798,550,74,624,-56,-29,-2,-164,2261,-570,0,24,24,-20,-566,1984,140,2124,-2738,-2738,-700,-420,-1734,-39,-700
2021-03-31,1341.00000,549.00000,54.00000,603.00000,-105.00000,-21.00000,-1.00000,145.00000,1958.00000,-519.00000,,0.00000,,14.00000,-505.00000,-47.00000,-15.00000,-62.00000,-1347.00000,-1347.00000,-650.00000,-14.00000,-2073.00000,-620.00000,-650.00000
2020-12-31,1380,557,-102,455,60,11,-27,341,2547,-603,0,5,5,3,-595,-1222,-125,-1347,-749,-749,-652,-4,-2752,-800,-652
2020-09-30,1363,555,156,711,-177,19,29,-601,1601,-683,0,0,0,19,-664,-389,-1,-390,-400,-400,-655,402,-1043,-106,-655
2020-06-30,1132,551,80,631,281,24,-37,419,2237,-693,0,0,0,83,-610,543,0,543,0,0,-659,6,-110,1517,-659
2020-03-31,1474.00000,547.00000,91.00000,638.00000,-74.00000,59.00000,1.00000,107.00000,2155.00000,-799.00000,,0.00000,,-8.00000,-807.00000,2691.00000,-1.00000,2690.00000,-2556.00000,-2556.00000,-660.00000,-471.00000,-997.00000,351.00000,-660.00000
2019-12-31,1403,559,249,808,55,20,99,138,2345,-947,0,5,5,14,-928,-562,-1,-563,-642,-642,-673,14,-1864,-447,-673
