,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,106.696,68.576,-12.041,56.535,148.156,12.018,25.237,15.915,69.729,239.128,-90.73,-1.9,0,0,-92.63,147.537,-147.537,0,-75.872,-75.872,0,1.006,-74.866,78.078,10.687,0
2022-09-30,110.983,66.533,26.688,93.221,82.353,-107.971,19.112,-35.988,-29.653,174.551,-121.436,0,0,0,-121.436,0,85,85,-76.439,-76.439,-90.631,1.792,-80.278,-49.347,10.946,-90.631
2022-06-30,144.402,63.11,14.773,77.883,25.64,-56.75,147.994,-26.757,142.218,363.483,-96.356,0,0,0,-96.356,-147.537,247.537,100,-201.7,-201.7,-90.803,0.678,-191.825,101.818,12.367,-90.803
2022-03-31,139.79100,85.58100,35.30400,120.88500,-174.89500,-119.55000,20.22500,56.56200,-316.63600,-54.94000,-114.02600,,,,-114.02600,147.53700,,147.53700,-264.46900,-264.46900,-154.79600,-2.00700,-273.73500,-462.69500,16.97800,-154.79600
2021-12-31,81.669,65.196,49.204,114.4,147.953,-211.265,172.671,-82.705,-0.758,187.326,-98.433,0,0,0,-98.433,0,0,0,-96.704,-96.704,0,1.33,-95.374,-3.217,13.436,0
2021-09-30,169.813,59.426,27.141,86.567,-127.304,-20.959,-57.273,-22.421,-107.603,148.777,-61.165,0,0,0,-61.165,0,0,0,-230.213,-230.213,-62.954,0.87,-292.297,-204.642,16.04,-62.954
2021-06-30,178.696,58.058,28.221,86.279,0.681,48.069,69.572,-4.517,181.795,446.227,-57.422,0,0,0,-57.422,0,0,0,-395.644,-395.644,-64.825,0.717,-459.752,-70.946,17.331,-64.825
2021-03-31,185.93000,77.25300,35.65200,112.90500,-53.98200,63.88300,96.09400,-24.49200,30.55400,329.93200,-70.29400,,,,-70.29400,,,,-183.64700,-183.64700,-33.14600,0.10400,-216.68900,45.24100,16.26000,-33.14600
2020-12-31,111.997,57.17,11.438,68.608,95.874,-163.63,109.657,-30.874,-21.602,160.47,-74.949,0,0,0,-74.949,-244.524,244.524,0,-323.572,-323.572,-0.137,4.252,-319.457,-233.213,10.344,-0.137
2020-09-30,147.476,57.69,63.558,121.248,-99.833,-5.713,215.691,16.231,92.284,361.008,-51.918,0,0,0,-51.918,-253.716,0,-253.716,-110.434,-110.434,-17.193,-2.92,-384.263,-73.297,11.089,-17.193
2020-06-30,189.96,56.642,15.79,72.432,-114.358,172.793,3.599,-34.176,174.91,437.302,-56.898,0,0,0,-56.898,0,-500,-500,-0.659,-0.659,-17.424,-1.052,-519.135,-138.336,10.029,-17.424
2020-03-31,43.58800,78.57900,15.37000,93.94900,59.30300,-104.89900,-112.45900,33.25000,-126.62900,10.90800,-82.90200,-0.23000,,,-83.13200,498.24000,500.00000,998.24000,-35.02600,-35.02600,-21.59300,-4.76300,936.85800,861.17300,13.80900,-21.59300
2019-12-31,95.907,58.806,27.153,85.959,32.443,-38.145,17.963,6.499,-23.856,158.363,-100.91,-201.519,0,0,-302.429,0,0.012,0.012,-11.078,-11.078,0,-0.223,-11.289,-155.061,9.4,0
2019-09-30,123.669,56.308,14.489,70.797,-9.339,-19.3,85.82,-28.19,20.591,216.385,-57.651,0,0,0,-57.651,0,10.914,10.914,-339.033,-339.033,-4.157,-0.022,-332.298,-173.993,8.613,-4.157
